source_path,capability,exported_symbols,sp_requirement_ids,related_business_requirement_ids,current_active_equivalent,target_architecture,database_dependencies,environment_variables,permissions,security_implications,tests,migration_classification,migration_status,evidence,notes
apps/web/src/core/shared-platform.ts,Inbound mail webhook verification + idempotent event recording,verifyInboundMailSignature; recordInboundMailEvent; PLATFORM_INBOUND_MAIL_IDEMPOTENCY_CONFLICT (error code),SP018,,none,services/api/src/core/inbound-mail.js,inbound_mail_events,INBOUND_MAIL_WEBHOOK_SECRET,none (unauthenticated webhook; secured by HMAC instead),"HMAC-SHA256 signature with timing-safe compare; idempotent on (organization,provider,provider_message_id) with payload-digest divergence detection (replay-with-different-content is rejected, not silently accepted)",services/api/tests/inbound-mail.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/inbound-mail.js,
apps/web/src/core/shared-platform.ts,Entity tagging,createTagDefinition; listTagDefinitions; assignEntityTag; removeEntityTag; listEntityTags,SP019,,none,services/api/src/core/tags.js,tag_definitions; entity_tags,none,platform.extensibility.manage,Tag assignment is scoped to an active tag definition of the matching entity type - cannot assign an inactive or cross-entity-type tag,services/api/tests/tags.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/tags.js,
apps/web/src/core/shared-platform.ts,Effective-dated configuration + feature flags,getEffectiveConfiguration; listConfigurationVersions; writeConfigurationVersion; setFeatureFlag; listFeatureFlags; isFeatureFlagEnabled,SP020,,none,services/api/src/core/configuration.js,configuration_versions; feature_flags,none,platform.configuration.manage,"Advisory-lock-serialized versioning (pg_advisory_xact_lock) prevents concurrent effective-dated writes from racing; role/user-scoped feature-flag rule evaluation",services/api/tests/configuration.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/configuration.js,
apps/web/src/core/shared-platform.ts,Privacy requests + retention policy,assertPrivacyTransition; createPrivacyRequest; transitionPrivacyRequest; listPrivacyRequests; writeRetentionPolicy; listRetentionPolicies,SP021,,none,services/api/src/core/privacy.js,privacy_requests; privacy_retention_policies,none,platform.privacy.manage,Explicit finite-state-machine transition table (received->verified->in_progress->completed, no illegal jumps) enforced via assertPrivacyTransition on every transition including inside the DB transaction,services/api/tests/privacy.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/privacy.js,
apps/web/src/core/shared-platform.ts,Shared reporting datasets/definitions/runs,PLATFORM_REPORT_DATASETS; assertPlatformReportDataset; listPlatformReportDatasets; createReportDefinition; listReportDefinitions; createReportRun; listReportRuns,SP022,,packages/reporting-engine (existence and scope not yet confirmed against this dataset-registry pattern),services/api/src/core/report-registry.js (tentative) OR fold into packages/reporting-engine if it already owns dataset registration,report_definitions; report_runs,none,crm.reports.view; sales.reports.view; procurement.reports.view; accounting.reports.view,"Explicitly blocks scheduled delivery (schedule!=null -> 409 PLATFORM_REPORT_SCHEDULE_UNAVAILABLE) - a deliberate T01 scope limit, not a bug to silently drop",services/api/tests/report-registry.test.mjs (new, pending reporting-engine overlap check),NEEDS_REDESIGN,deferred,not yet ported,Deferred pending a dedicated packages/reporting-engine overlap audit before creating a possibly-duplicate module; does not block Phase 4-6 (auth/session/shell) so it is out of this prompt's critical path.
apps/web/src/core/shared-platform.ts,AI governance (policy gate; request/evaluation logging),assertAiActionPolicy; setAiPolicy; listAiPolicies; recordAiEvaluation; recordAiRequest; AI_POLICY_MISSING (error code); AI_APPROVAL_REQUIRED (error code); AI_TOOL_DENIED (error code); AI_POLICY_DISABLED (error code),SP023,,none,services/api/src/core/ai-governance.js,ai_policies; ai_requests; ai_evaluations,none,platform.ai.manage,"Fail-closed default (no configured policy = AI disabled, not silently allowed); execute-type requests with requiresApproval=true are explicitly blocked from bypassing the normal approval workflow (AI_APPROVAL_REQUIRED) - AI can never self-approve its own execution",services/api/tests/ai-governance.test.mjs (new),PORT_NOW_PLATFORM,ported,services/api/src/core/ai-governance.js,
apps/web/src/core/shared-platform.ts,Generic workflow-run engine (shared-platform side effects only: notify/approval-stub actions),executeWorkflowRun,SP024,,packages/workflows (existence and scope not yet confirmed against this specific generic-engine pattern),services/api/src/core/workflow-runtime.js (tentative) OR fold into packages/workflows if it already owns run execution,workflow_definitions; workflow_runs; notifications; notification_preferences; organization_memberships,none,none (system-internal trigger path),"Deliberately restricted action vocabulary (only notify/approval-stub; any other action type throws) so the generic engine can never perform an unreviewed business-state mutation; idempotent via (organization,idempotency_key)",services/api/tests/workflow-runtime.test.mjs (new, pending packages/workflows overlap check),NEEDS_REDESIGN,deferred,not yet ported,"Deferred pending a packages/workflows overlap audit (that package's stated purpose is ""workflow infra"" per the architecture rules, making it the more likely correct home than services/api). Does not block Phase 4-6."
apps/web/src/core/navigation/administration.ts,Settings/administration navigation data (workspaceSettingsNavigation),workspaceSettingsNavigation,SP025,,none,apps/web/src/shell/navigation/moduleNavigationRegistry.ts (Settings section only; folded into the single registry rather than kept as a parallel nav tree per Phase 7's explicit no-duplicate-nav-tree rule),none,none,varies per item,none,apps/web tests (new; Phase 7 registry tests),NEEDS_REDESIGN,partially-ported,apps/web/src/shell/navigation/moduleNavigationRegistry.ts,Only the route/label/permission shape is reused; full Settings screen implementations remain deferred (Phase 17 explicitly allows this).
apps/web/src/core/components/notification-preferences.tsx,Notification preferences UI,NotificationPreferencesPanel (default export inferred),SP017,,none,apps/web/src/shell/notifications/ (Phase 13; rebuilt against React Aria/design-system per the mandated stack, not copied),none,none,notifications.view,client-side only; no direct security surface,apps/web Playwright/unit tests (new; Phase 13),NEEDS_REDESIGN,deferred,not built this pass,"UI rebuild deferred beyond this prompt's committed scope; the underlying API (notification-preferences.js) is ported and testable now, unblocking a future UI pass."
apps/web/src/core/components/platform-governance-console.tsx,Platform governance admin console UI (configuration/flags/retention/privacy/reports/AI policy/tags in one screen),PlatformGovernanceConsole (default export inferred),SP020; SP021; SP022; SP023,,none,apps/web/src/app/(workspace)/settings/platform/ (Phase 17; deferred full build),none,none,platform.configuration.manage; platform.privacy.manage; platform.reports.manage; platform.ai.manage,client-side only,apps/web tests (new; deferred),NEEDS_REDESIGN,deferred,not built this pass,"Large multi-capability admin screen; Phase 17 explicitly permits deferring full settings screens not required to activate ported platform code. The APIs it would call are ported; the screen is not."
apps/web/src/core/components/user-administration.tsx,User/role administration UI (594 lines: user list; role assignment; scope grants; invitations),UserAdministration (default export inferred),SP010; SP011,,none,apps/web/src/app/(workspace)/settings/users/ and /roles/ (Phase 17; deferred full build),none,none,users.manage; roles.assign,client-side only; calls requestJson() against the ported access-admin/auth routes,apps/web tests (new; deferred),NEEDS_REDESIGN,deferred,not built this pass,Same rationale as platform-governance-console.tsx - API ported, screen deferred.
apps/web/src/app/(app)/integrations/page.tsx,Integrations settings page (API keys + OAuth connections + webhook/outbox status),default export (page component),SP016,,none,apps/web/src/app/(workspace)/settings/integrations/ (Phase 17; deferred full build),none,none,integrations.manage,server component; requireWorkspace()-gated,apps/web tests (new; deferred),NEEDS_REDESIGN,deferred,not built this pass,Depends also on orchestration/integrations (getOutboxQueueStatus etc.) which was NOT among the 42 recovered files - a further gap to resolve before this screen can be built.
apps/web/src/app/(app)/settings/page.tsx,Settings index page,default export; metadata,SP025,,none,apps/web/src/app/(workspace)/settings/page.tsx (Phase 17; minimal real index now; full sub-screens deferred),none,none,varies,server component; requireWorkspace()-gated,apps/web tests (new),NEEDS_REDESIGN,ported,apps/web/src/app/(workspace)/settings/page.tsx,Minimal honest index built this pass (links only to what is real); does not claim full settings implementation.
apps/web/src/app/(app)/settings/platform/page.tsx,Platform governance settings page,default export; metadata,SP020; SP021; SP022; SP023,,none,apps/web/src/app/(workspace)/settings/platform/ (Phase 17; deferred),none,none,platform.configuration.manage,server component,apps/web tests (new; deferred),NEEDS_REDESIGN,deferred,not built this pass,Paired with platform-governance-console.tsx above.
apps/web/src/app/(app)/settings/roles/page.tsx,Roles and permissions settings page,default export; metadata,SP010; SP011,,none,apps/web/src/app/(workspace)/settings/roles/ (Phase 17; deferred),none,none,roles.view,server component,apps/web tests (new; deferred),NEEDS_REDESIGN,deferred,not built this pass,Paired with user-administration.tsx above.
apps/web/src/app/api/approvals/route.ts,Approvals API route (create + list mine),GET; POST,SP026,F-varies (per-module approval targets),apps/web/src/orchestration/approvals and orchestration/work/approvals were referenced but NOT among the 42 recovered files - their current live status is unconfirmed,services/api/src/core/approvals.js (Phase 14, tentative pending confirmation of whether orchestration/approvals already exists live),approvals table (name unconfirmed),none,approvals.manage,Command-based approval creation (commandKey+commandPayload) rather than free-form state mutation,services/api/tests/approvals.test.mjs (new; Phase 14),NEEDS_REDESIGN,deferred,not yet investigated,"Flagged rather than assumed: the two orchestration modules this route calls were not in the recovered set, so whether Phase 14's approval engine is greenfield or already-live-but-undiscovered needs a dedicated check before porting."
apps/web/src/app/api/business-data/[resource]/import/route.ts,Business-data bulk import route,POST,SP027,,services/api/src/core/master-data.js already exports createBusinessDataRecord/beginImportJob/completeImportJob live (confirmed by direct read),apps/web/src/app/api/business-data/[resource]/import/route.ts (thin route rebuild only; core logic already live),tenant.operation_idempotency and business-data tables (already live),none,business_data.import,Uses the existing live idempotency/import primitives; no new security surface,apps/web tests (new),NEEDS_REDESIGN,deferred,services/api/src/core/master-data.js verified live,Lowest-risk/lowest-priority route in the set - its core logic is already active.
apps/web/src/app/api/crm/lead-acquisition/enrichment/route.ts,CRM lead enrichment route,POST (inferred),F001-F030,F001-F030,unknown,services/api/src/modules/crm/ (Prompt 3),unknown,unknown,crm.leads.manage,not reviewed this pass,deferred to Prompt 3,PORT_IN_PROMPT_3_CRM,deferred,not reviewed this pass,CRM-specific; explicitly out of this prompt's scope per the brief.
apps/web/src/app/api/crm/lead-intelligence/sla/route.ts,CRM lead SLA route,GET/POST (inferred),F001-F030,F001-F030,unknown,services/api/src/modules/crm/ (Prompt 3),unknown,unknown,crm.leads.manage,not reviewed this pass,deferred to Prompt 3,PORT_IN_PROMPT_3_CRM,deferred,not reviewed this pass,CRM-specific; explicitly out of this prompt's scope per the brief.
apps/web/src/app/api/crm/leads/[id]/follow-up/route.ts,CRM lead follow-up route,POST (inferred),F001-F030,F001-F030,unknown,services/api/src/modules/crm/ (Prompt 3),unknown,unknown,crm.leads.manage,not reviewed this pass,deferred to Prompt 3,PORT_IN_PROMPT_3_CRM,deferred,not reviewed this pass,CRM-specific; explicitly out of this prompt's scope per the brief.
apps/web/src/app/api/crm/public/meetings/bookings/[token]/route.ts,CRM public meeting booking route (unauthenticated token-based),GET/PATCH (inferred),F001-F030,F001-F030,unknown,services/api/src/modules/crm/ (Prompt 3),unknown,unknown,none (public token-authenticated),not reviewed this pass,deferred to Prompt 3,PORT_IN_PROMPT_3_CRM,deferred,not reviewed this pass,CRM-specific; explicitly out of this prompt's scope per the brief.
apps/web/src/app/api/invitations/accept/route.ts,Invitation acceptance route (sets password; creates session; validates roles),POST,SP010,,depends on session.js + access-administration.js + auth-mailer.js (all ported and tested this pass),apps/web/src/app/(auth)/invitations/accept/ + apps/web/src/app/api/invitations/accept/route.ts (Phase 4 rebuild calling the ported services/api modules),sessions; users; organization_invitation_roles; roles; role_permissions,none,none (pre-auth flow; rate-limited),Rate-limited (enforceRateLimit); password policy enforced (passwordPolicyIssues - not among the 42 recovered files, a further gap noted below,apps/web/tests (new; Phase 4),PORT_NOW_ACCESS_SESSION,deferred,services/api/src/core/session.js + access-administration.js + auth-mailer.js (logic only),Logic dependencies are ported and unit-tested; the actual apps/web route handler and (auth)/invitations UI were NOT built this pass (only login/logout were) - do not read the logic-layer port as route completion.
(gap - referenced but not recovered),Password policy validation,passwordPolicyIssues,SP010,,none found live under this name,services/api/src/core/password-policy.js (new; minimum-length/complexity checks rebuilt conservatively pending no recovered source),none,none,none,Referenced by invitations/accept route and presumably the reset-password flow; not among the 42 recovered files - third disclosed recovery gap,services/api/tests/password-policy.test.mjs (new),PORT_NOW_ACCESS_SESSION,ported,services/api/src/core/password-policy.js,Disclosed gap per Phase 1 instruction; rebuilt with a conservative minimum (12 chars; not purely numeric; not the account email) rather than left unimplemented.
apps/web/src/app/api/invitations/route.ts,Invitation issuance route,POST,SP010,,depends on access-administration.js + auth-mailer.js + entitlements.js (all ported and tested this pass),apps/web/src/app/api/invitations/route.ts (Phase 4 rebuild),organization_invitations; organization_invitation_roles,none,users.manage; roles.assign,Billing usage increment (seat-style) is enforced before invitation creation,apps/web/tests (new; Phase 4),PORT_NOW_ACCESS_SESSION,deferred,services/api/src/core/access-administration.js + auth-mailer.js + entitlements.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/app/api/platform/ai/route.ts,AI governance API route,GET; POST,SP023,,services/api/src/core/ai-governance.js (ported and tested this pass),apps/web/src/app/api/platform/ai/route.ts (thin rebuild calling the ported module),none (delegates),none,platform.ai.manage,none beyond ai-governance.js's own,apps/web/tests (new),PORT_NOW_PLATFORM,deferred,services/api/src/core/ai-governance.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/app/api/platform/integrations/api-keys/[id]/route.ts,API key revocation route,DELETE,SP016,,services/api/src/core/api-keys.js (ported and tested this pass),apps/web/src/app/api/platform/integrations/api-keys/[id]/route.ts (thin rebuild),none (delegates),none,integrations.manage,none beyond api-keys.js's own,apps/web/tests (new),PORT_NOW_PLATFORM,deferred,services/api/src/core/api-keys.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/app/api/platform/integrations/oauth/[id]/route.ts,OAuth connection revocation route,DELETE,SP016,,services/api/src/core/oauth.js (ported and tested this pass),apps/web/src/app/api/platform/integrations/oauth/[id]/route.ts (thin rebuild),none (delegates),none,integrations.manage,none beyond oauth.js's own,apps/web/tests (new),PORT_NOW_PLATFORM,deferred,services/api/src/core/oauth.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/app/api/platform/integrations/oauth/callback/[provider]/route.ts,OAuth provider callback route,GET,SP016,,services/api/src/core/oauth.js (ported and tested this pass; state-replay rejection covered),apps/web/src/app/api/platform/integrations/oauth/callback/[provider]/route.ts (thin rebuild),none (delegates),none,integrations.manage,none beyond oauth.js's own,apps/web/tests (new; must include state-replay negative test),PORT_NOW_PLATFORM,deferred,services/api/src/core/oauth.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/app/api/platform/integrations/oauth/route.ts,OAuth connection begin/list route,GET; POST,SP016,,services/api/src/core/oauth.js (ported and tested this pass),apps/web/src/app/api/platform/integrations/oauth/route.ts (thin rebuild),none (delegates),none,integrations.manage,none beyond oauth.js's own,apps/web/tests (new),PORT_NOW_PLATFORM,deferred,services/api/src/core/oauth.js (logic only),Route handler not built this pass - logic layer only.
apps/web/src/app/api/platform/mail/inbound/route.ts,Inbound mail webhook route,POST,SP018,,services/api/src/core/inbound-mail.js (ported and tested this pass),apps/web/src/app/api/platform/mail/inbound/route.ts (thin rebuild),none (delegates),INBOUND_MAIL_WEBHOOK_SECRET,none (HMAC-authenticated),none beyond inbound-mail.js's own,apps/web/tests (new),PORT_NOW_PLATFORM,deferred,services/api/src/core/inbound-mail.js (logic only),Route handler not built this pass - logic layer only.
