route,method,class,module,permission,record_scope,field_scope,billing_write,audit
api/auth/reset-password/route.ts,POST,PUBLIC_AUTH,,n/a,Single-use hashed reset token is the credential; same-origin.,,no,n/a
api/auth/verify-email/route.ts,POST,PUBLIC_AUTH,,n/a,Single-use hashed verification token (mailbox control) is the credential; same-origin.,,no,n/a
api/billing/cancel/route.ts,POST,WORKSPACE_PLATFORM,,BILLING_PERMISSIONS.manage,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/billing/checkout/route.ts,POST,WORKSPACE_PLATFORM,,BILLING_PERMISSIONS.checkout,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/billing/health/route.ts,GET,WORKSPACE_PLATFORM,,BILLING_PERMISSIONS.audit,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials logged
api/billing/plans/route.ts,GET,WORKSPACE_PLATFORM,,BILLING_PERMISSIONS.view,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials logged
api/billing/profile/route.ts,PATCH,WORKSPACE_PLATFORM,,BILLING_PERMISSIONS.manage,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/billing/seats/route.ts,POST,WORKSPACE_PLATFORM,,BILLING_PERMISSIONS.manage,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/billing/summary/route.ts,GET,WORKSPACE_PLATFORM,,BILLING_PERMISSIONS.view,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials logged
api/billing/sync/route.ts,POST,WORKSPACE_PLATFORM,,BILLING_PERMISSIONS.manage,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials logged
api/billing/verify/route.ts,POST,WORKSPACE_PLATFORM,,BILLING_PERMISSIONS.checkout,organisation (RLS) + the route permission; domain scoping per the protection note,,no,denials audited
api/billing/webhook/route.ts,POST,WEBHOOK,,n/a,"HMAC-SHA256 over the exact raw body (previous secret accepted during rotation), size-limited; stores the event, the worker applies it.",,no,n/a
api/crm/[resource]/[id]/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/[resource]/[id]/route.ts,PATCH,WORKSPACE_MODULE,crm,(checked in handler),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/[resource]/[id]/route.ts,DELETE,WORKSPACE_MODULE,crm,(checked in handler),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/[resource]/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/[resource]/route.ts,POST,WORKSPACE_MODULE,crm,(checked in handler),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/accounts/[id]/contact-relationships/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/accounts/[id]/customer-360/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/accounts/[id]/hierarchy/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/accounts/[id]/hierarchy/route.ts,PATCH,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/accounts/[id]/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/accounts/[id]/route.ts,PATCH,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/accounts/[id]/route.ts,DELETE,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/accounts/duplicates/route.ts,POST,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/accounts/merge/preview/route.ts,POST,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/accounts/merge/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/accounts/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/accounts/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/attachments/[entityType]/[entityId]/[id]/download/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/attachments/[entityType]/[entityId]/[id]/route.ts,DELETE,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/attachments/[entityType]/[entityId]/[id]/versions/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/attachments/[entityType]/[entityId]/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/attachments/[entityType]/[entityId]/route.ts,POST,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/calls/[id]/cancel/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/calls/[id]/complete/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/calls/[id]/events/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/calls/[id]/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/calls/[id]/route.ts,PATCH,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/calls/[id]/start/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/calls/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/calls/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/contacts/[id]/opportunity-roles/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/contacts/[id]/reactivate/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/contacts/[id]/relationships/[relationshipId]/primary/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/contacts/[id]/relationships/[relationshipId]/route.ts,PATCH,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/contacts/[id]/relationships/[relationshipId]/route.ts,DELETE,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/contacts/[id]/relationships/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/contacts/[id]/relationships/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/contacts/[id]/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/contacts/[id]/route.ts,PATCH,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/contacts/[id]/route.ts,DELETE,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/contacts/duplicates/route.ts,POST,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/contacts/merge/preview/route.ts,POST,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/contacts/merge/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/contacts/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/contacts/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.accountsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/custom-fields/definitions/[entityType]/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/custom-fields/definitions/[entityType]/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.settingsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/custom-fields/definitions/by-id/[id]/active/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.settingsManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/custom-fields/values/[entityType]/[entityId]/history/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/custom-fields/values/[entityType]/[entityId]/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/custom-fields/values/[entityType]/[entityId]/route.ts,PATCH,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/dashboard/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/duplicate-rules/[id]/status/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.dataQualityManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/duplicate-rules/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.dataQualityManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/duplicate-rules/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.dataQualityManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/duplicate-scan/[jobId]/matches/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.dataQualityManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/duplicate-scan/[jobId]/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.dataQualityManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/duplicate-scan/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.dataQualityManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/duplicate-scan/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.dataQualityManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/email-history/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/email-threads/[id]/route.ts,GET,WORKSPACE_MODULE,crm,(module view permission),company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/follow-ups/[id]/cancel/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/follow-ups/[id]/complete/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/follow-ups/[id]/history/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/follow-ups/[id]/reminders/[reminderId]/acknowledge/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/follow-ups/[id]/reminders/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/follow-ups/[id]/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/follow-ups/[id]/route.ts,PATCH,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/follow-ups/[id]/snooze/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/follow-ups/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
api/crm/follow-ups/route.ts,POST,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.activitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,yes,denials logged
api/crm/forecast/calibration/route.ts,GET,WORKSPACE_MODULE,crm,CRM_PERMISSIONS.opportunitiesManage,company/branch scope + record ownership unless crm.records.view_all (crm-data-operations-and-customization/record-policy.js),leads: crm.leads.view_sensitive; contacts: crm.contacts.view_sensitive; accounts: crm.accounts.view_sensitive,no,denials logged
