contract_id,feature_id,requirement_id,module,capability,current_route,target_route,backend_endpoint,http_method,domain_command,permission,record_scope,field_scope,request_contract,response_contract,query_parameters,mutation_parameters,lifecycle_rules,validation_behavior,concurrency_behavior,audit_behavior,approval_behavior,offline_behavior,mobile_behavior,cross_module_behavior,existing_e2e_evidence,target_screen,target_component,migration_status,notes
FC-0014,TBD,TBD,Accounting / Finance,TBD,/accounting/payables,/accounting/payables,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/payables/page.tsx; kind=PAGE
FC-0015,TBD,TBD,Accounting / Finance,TBD,/accounting/planning,/accounting/planning,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/planning/page.tsx; kind=PAGE
FC-0016,TBD,TBD,Accounting / Finance,TBD,/accounting/receivables/[id],/accounting/receivables/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/receivables/[id]/page.tsx; kind=PAGE
FC-0017,TBD,TBD,Accounting / Finance,TBD,/accounting/receivables/new,/accounting/receivables/new,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/receivables/new/page.tsx; kind=PAGE
FC-0018,TBD,TBD,Accounting / Finance,TBD,/accounting/receivables,/accounting/receivables,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/receivables/page.tsx; kind=PAGE
FC-0019,TBD,TBD,Accounting / Finance,TBD,/accounting/reports,/accounting/reports,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/reports/page.tsx; kind=PAGE
FC-0020,TBD,TBD,Accounting / Finance,TBD,/accounting/settings,/accounting/settings,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/settings/page.tsx; kind=PAGE
FC-0021,TBD,TBD,Accounting / Finance,TBD,/accounting/tax,/accounting/tax,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/accounting/tax/page.tsx; kind=PAGE
FC-0022,TBD,TBD,Platform / Shared,TBD,/approvals,/approvals,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/approvals/page.tsx; kind=PAGE
FC-0023,TBD,TBD,Assets,TBD,/assets/[resource],/assets/[resource],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/assets/[resource]/page.tsx; kind=PAGE
FC-0024,TBD,TBD,Assets,TBD,/assets,/assets,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/assets/page.tsx; kind=PAGE
FC-0025,TBD,TBD,Platform / Shared,TBD,/audit-logs/activity,/audit-logs/activity,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/audit-logs/activity/page.tsx; kind=PAGE
FC-0026,TBD,TBD,Platform / Shared,TBD,/audit-logs/history,/audit-logs/history,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/audit-logs/history/page.tsx; kind=PAGE
FC-0027,TBD,TBD,Platform / Shared,TBD,/audit-logs,/audit-logs,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/audit-logs/page.tsx; kind=PAGE
FC-0028,TBD,TBD,Platform / Shared,TBD,/audit-logs/security,/audit-logs/security,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/audit-logs/security/page.tsx; kind=PAGE
FC-0029,TBD,TBD,Platform / Shared,TBD,/billing,/billing,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/billing/page.tsx; kind=PAGE
FC-0030,TBD,TBD,CRM,TBD,/crm/[resource],/crm/[resource],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/[resource]/page.tsx; kind=PAGE
FC-0031,TBD,TBD,CRM,TBD,/crm/accounts/[id],/crm/accounts/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/accounts/[id]/page.tsx; kind=PAGE
FC-0032,TBD,TBD,CRM,TBD,/crm/accounts,/crm/accounts,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/accounts/page.tsx; kind=PAGE
FC-0033,TBD,TBD,CRM,TBD,/crm/activities,/crm/activities,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/activities/page.tsx; kind=PAGE
FC-0034,TBD,TBD,CRM,TBD,/crm/assignment-rules,/crm/assignment-rules,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/assignment-rules/page.tsx; kind=PAGE
FC-0035,TBD,TBD,CRM,TBD,/crm/calendar,/crm/calendar,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/calendar/page.tsx; kind=PAGE
FC-0036,TBD,TBD,CRM,TBD,/crm/calls,/crm/calls,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/calls/page.tsx; kind=PAGE
FC-0037,TBD,TBD,CRM,TBD,/crm/contacts/[id],/crm/contacts/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/contacts/[id]/page.tsx; kind=PAGE
FC-0038,TBD,TBD,CRM,TBD,/crm/contacts,/crm/contacts,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/contacts/page.tsx; kind=PAGE
FC-0039,TBD,TBD,CRM,TBD,/crm/data-management,/crm/data-management,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/data-management/page.tsx; kind=PAGE
FC-0040,TBD,TBD,CRM,TBD,/crm/duplicate-rules,/crm/duplicate-rules,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/duplicate-rules/page.tsx; kind=PAGE
FC-0041,TBD,TBD,CRM,TBD,/crm/features,/crm/features,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/features/page.tsx; kind=PAGE
FC-0042,TBD,TBD,CRM,TBD,/crm/follow-ups,/crm/follow-ups,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/follow-ups/page.tsx; kind=PAGE
FC-0043,TBD,TBD,CRM,TBD,/crm/forecast,/crm/forecast,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/forecast/page.tsx; kind=PAGE
FC-0044,TBD,TBD,CRM,TBD,/crm/inbox,/crm/inbox,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/inbox/page.tsx; kind=PAGE
FC-0045,TBD,TBD,CRM,TBD,/crm/lead-lifecycle,/crm/lead-lifecycle,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/lead-lifecycle/page.tsx; kind=PAGE
FC-0046,TBD,TBD,CRM,TBD,/crm/lead-scoring,/crm/lead-scoring,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/lead-scoring/page.tsx; kind=PAGE
FC-0047,TBD,TBD,CRM,TBD,/crm/leads-next/[id]/edit,/crm/leads/[id]/edit,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/leads-next/[id]/edit/page.tsx; kind=PAGE; superseded-dual-path-pre-cutover
FC-0048,TBD,TBD,CRM,TBD,/crm/leads-next/[id],/crm/leads/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/leads-next/[id]/page.tsx; kind=PAGE; superseded-dual-path-pre-cutover
FC-0049,TBD,TBD,CRM,TBD,/crm/leads-next/new,/crm/leads/new,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/leads-next/new/page.tsx; kind=PAGE; superseded-dual-path-pre-cutover
FC-0050,TBD,TBD,CRM,TBD,/crm/leads-next,/crm/leads,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/leads-next/page.tsx; kind=PAGE; superseded-dual-path-pre-cutover
FC-0051,TBD,TBD,CRM,TBD,/crm/leads/[id],/crm/leads/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/leads/[id]/page.tsx; kind=PAGE
FC-0052,TBD,TBD,CRM,TBD,/crm/lost-reasons,/crm/lost-reasons,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/lost-reasons/page.tsx; kind=PAGE
FC-0053,TBD,TBD,CRM,TBD,/crm/meetings,/crm/meetings,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/meetings/page.tsx; kind=PAGE
FC-0054,TBD,TBD,CRM,TBD,/crm/opportunities/[id],/crm/opportunities/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/opportunities/[id]/page.tsx; kind=PAGE
FC-0055,TBD,TBD,CRM,TBD,/crm,/crm,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/page.tsx; kind=PAGE
FC-0056,TBD,TBD,CRM,TBD,/crm/pipeline,/crm/pipeline,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/pipeline/page.tsx; kind=PAGE
FC-0057,TBD,TBD,CRM,TBD,/crm/reports,/crm/reports,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/reports/page.tsx; kind=PAGE
FC-0058,TBD,TBD,CRM,TBD,/crm/settings,/crm/settings,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/settings/page.tsx; kind=PAGE
FC-0059,TBD,TBD,CRM,TBD,/crm/sources,/crm/sources,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/sources/page.tsx; kind=PAGE
FC-0060,TBD,TBD,CRM,TBD,/crm/stages,/crm/stages,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/stages/page.tsx; kind=PAGE
FC-0061,TBD,TBD,CRM,TBD,/crm/tasks,/crm/tasks,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/tasks/page.tsx; kind=PAGE
FC-0062,TBD,TBD,CRM,TBD,/crm/work,/crm/work,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/crm/work/page.tsx; kind=PAGE
FC-0063,TBD,TBD,Platform / Shared,TBD,/dashboard,/dashboard,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/dashboard/page.tsx; kind=PAGE
FC-0064,TBD,TBD,Platform / Shared,TBD,/data-management,/data-management,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/data-management/page.tsx; kind=PAGE
FC-0065,TBD,TBD,Platform / Shared,TBD,/exceptions,/exceptions,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/exceptions/page.tsx; kind=PAGE
FC-0066,TBD,TBD,Platform / Shared,TBD,/follow-ups,/follow-ups,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/follow-ups/page.tsx; kind=PAGE
FC-0067,TBD,TBD,HR & Payroll,TBD,/hr-payroll/[resource],/hr-payroll/[resource],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/hr-payroll/[resource]/page.tsx; kind=PAGE
FC-0068,TBD,TBD,HR & Payroll,TBD,/hr-payroll,/hr-payroll,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/hr-payroll/page.tsx; kind=PAGE
FC-0069,TBD,TBD,Platform / Shared,TBD,/integrations,/integrations,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/integrations/page.tsx; kind=PAGE
FC-0070,TBD,TBD,Manufacturing,TBD,/manufacturing/[resource],/manufacturing/[resource],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/manufacturing/[resource]/page.tsx; kind=PAGE
FC-0071,TBD,TBD,Manufacturing,TBD,/manufacturing,/manufacturing,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/manufacturing/page.tsx; kind=PAGE
FC-0072,TBD,TBD,Platform / Shared,TBD,/master-data/[resource],/master-data/[resource],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/master-data/[resource]/page.tsx; kind=PAGE
FC-0073,TBD,TBD,Platform / Shared,TBD,/master-data,/master-data,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/master-data/page.tsx; kind=PAGE
FC-0074,TBD,TBD,Platform / Shared,TBD,/my-work,/my-work,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/my-work/page.tsx; kind=PAGE
FC-0075,TBD,TBD,Platform / Shared,TBD,/notifications,/notifications,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/notifications/page.tsx; kind=PAGE
FC-0076,TBD,TBD,Point of Sale,TBD,/point-of-sale/[resource],/point-of-sale/[resource],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/point-of-sale/[resource]/page.tsx; kind=PAGE
FC-0077,TBD,TBD,Point of Sale,TBD,/point-of-sale,/point-of-sale,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/point-of-sale/page.tsx; kind=PAGE
FC-0078,TBD,TBD,Procurement,TBD,/procurement/contracts/[id],/procurement/contracts/[id],TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/procurement/contracts/[id]/page.tsx; kind=PAGE
FC-0079,TBD,TBD,Procurement,TBD,/procurement/contracts/new,/procurement/contracts/new,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/procurement/contracts/new/page.tsx; kind=PAGE
FC-0080,TBD,TBD,Procurement,TBD,/procurement/contracts,/procurement/contracts,TBD,,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,TBD,NOT_STARTED,source=apps/web/src/app/(app)/procurement/contracts/page.tsx; kind=PAGE
