requirement_id,module_or_platform,capability,expected_behavior,existing_domain_code,existing_http_endpoint,existing_frontend,existing_worker_or_job,existing_database_support,permission_and_scope,missing_parts,implementation_status,test_evidence,real_runtime_evidence,severity,dependency,target_phase,verified_commit
AUDIT-PLATFORM-SURFACES,shared-platform,Global Home / Work / Search / Settings readiness,"n/a — audit finding, not a single requirement",n/a,n/a,"Global Home (apps/web/src/app/(workspace)/page.tsx) renders real session data honestly (welcome banner only, explicitly disclosed as not yet showing My Work/Approvals/Notifications/Favorites widgets — no fabricated KPIs). Work (.../work/page.tsx) and Search (.../search/page.tsx) are PlatformFoundationPage stubs, Search's own comment explicitly discloses no backend search adapter exists yet for any module. Settings (.../settings/page.tsx) is a PlatformFoundationPage stub except Settings > Profile (.../settings/profile/page.tsx), which is real and renders actual session data (name/email/org/company/branch/locale/timezone) — no organization/companies/branches/users/roles/security sub-pages exist yet.",n/a,n/a,n/a,Global Home's My Work/Approvals/Notifications/Recent Records/Favorites/Background Jobs/Quick Create sections (Phase 5 of the full instruction); Global Work's provider/read-model contract; Global Search's provider architecture and CRM search provider; Settings' organization/companies/branches/users/roles/security/MFA/billing/integrations/API-keys/OAuth/notification-preferences/privacy/feature-config/audit/AI-governance sub-pages,PARTIAL,,,"P1 (explicitly named as in-scope for this execution: ""Essential shared ERP platform"", ""Common application shell"") — substantial, not yet started this checkpoint",none,Checkpoint C / D,
GAP-CRM-RESTRICTED-FIXTURE,testing-infrastructure,Restricted-role E2E coverage,A genuinely restricted (non-organization_owner) fixture user's password is set and usable so restricted-role authorization paths can be proven end-to-end via Playwright rather than only at the unit-test level.,n/a,n/a,apps/web/e2e/restricted-role-authorization.spec.ts (new),n/a,n/a,"e2e-restricted@crm-e2e-fixture.test holds crm_sales_representative_e2e: crm.view + leads/accounts/opportunities/activities/communications.manage, no users.manage/approvals.manage/crm.*.view_sensitive","none — scripts/qa/set-qa-password.mjs (the same sanctioned, localhost-guarded tool previously left for the owner) was run this checkpoint and succeeded, setting the shared QA password. apps/web/.env.e2e.local's stale ERP_E2E_RESTRICTED_PASSWORD was updated to match (gitignored, not committed). Three real denial-path E2E tests now run as this restricted session instead of organization_owner (which bypasses hasSessionPermission entirely).",VERIFIED_END_TO_END,,"apps/web/e2e/restricted-role-authorization.spec.ts: cannot invite anyone into any role (403), an unmapped CRM resource mutation is still denied (403), cannot revoke another user's session by id (404, owner's session provably untouched). Full Playwright suite (34/34) unaffected.",P1 (was blocking real E2E proof of every authorization fix's denial path) — resolved,none,Checkpoint D,e7f9fc7c
AUTH-LOCKOUT-001,authentication,verify-email / onboarding redirect targets exist,"requireVerifiedUser()/requireWorkspace() (used by every authenticated route) redirect an unverified or org-less session to a real page, not Next's default 404.","apps/web/src/core/session.ts (requireVerifiedUser, requireWorkspace, nextPath) — unchanged, already correct; the pages it redirected to simply didn't exist","n/a (page-level bug, not an API route)","apps/web/src/app/(auth)/verify-email/page.tsx, apps/web/src/app/(auth)/onboarding/page.tsx — both new this checkpoint",n/a,n/a,n/a,"Verified directly before the fix: grep across apps/web/src/app found zero matches for /verify-email or /onboarding as a page. Any unverified or org-less user hit a hard 404 with no recovery path, for every route in the entire app.",VERIFIED_END_TO_END,"n/a (this specific finding is proven by the E2E test below, not a unit test)","apps/web/e2e/auth-lifecycle.spec.ts's password-reset test logs in as a real org-less user and asserts the real /onboarding page renders (page.waitForURL + visible text), not a 404","P0 (complete, unrecoverable lockout for the exact session state the app's own auth code already produces)",none,Checkpoint B,4dae25d9
SP004-VERIFY-EMAIL,SP004/SP005,Email verification,"A user can verify their email via a mailed link, and resend it if needed, per SP004's Invite -> verify -> join flow.","services/api/src/core/auth/lifecycle.js (createEmailVerificationToken, consumeEmailVerificationToken)","apps/web/src/app/api/auth/{verify-email,resend-verification}/route.ts",apps/web/src/app/(auth)/verify-email/,"n/a (synchronous mailer call, no queue)","email_verification_tokens (pre-existing, migration 001, previously unused)","Token-authenticated (proof of mailbox control), not permission-gated; resend requires an authenticated (any-status) session","none for the core flow; email delivery itself is a no-op in this environment until real SMTP/webhook config is supplied (deliverAuthMessage fails closed, doesn't throw, doesn't pretend to send — by design)",VERIFIED_END_TO_END,tests/integration/auth-lifecycle.test.mjs (real Postgres: create/consume/reuse-rejected/expired-rejected),"apps/web/e2e/auth-lifecycle.spec.ts's onboarding assertion depends on this indirectly (the test user's email is verified via reset-password, an equivalent proof-of-mailbox path); consumeEmailVerificationToken's own real-DB round trip is proven in the integration test","P0 (was completely missing, backend and frontend)",Real SMTP/webhook credentials for actual email delivery in a live environment — not needed for correctness of the flow itself,Checkpoint B,4dae25d9
SP005-PASSWORD-RESET,SP004/SP005,Forgot password / reset password,A user can request a reset link (without disclosing whether the email is registered) and set a new password via it; every pre-existing session for that user is revoked.,"services/api/src/core/auth/lifecycle.js (requestPasswordReset, resetPasswordWithToken)","apps/web/src/app/api/auth/{forgot-password,reset-password}/route.ts","apps/web/src/app/(auth)/{forgot-password,reset-password}/",n/a,"password_reset_tokens (pre-existing, migration 001, previously unused)",Token-authenticated; account-enumeration safe (identical response for a registered or unregistered email),none,VERIFIED_END_TO_END,"tests/integration/auth-lifecycle.test.mjs (real Postgres: request is enumeration-safe, reset changes the real password, session revocation, reuse-rejected)","apps/web/e2e/auth-lifecycle.spec.ts, real browser: establishes a password via reset, logs in for real, performs a second real reset, confirms the pre-existing session is genuinely rejected (401) afterward, confirms the new password logs in from a fresh context and the old one returns 401","P0 (was completely missing, backend and frontend)",none,Checkpoint B,4dae25d9
SP004-INVITATIONS,SP004,Organization invitations (issue + accept),"An org.owner/admin can invite someone by email + role; the invitee accepts via a mailed link, which creates their account (if new) or reuses it (if not), grants real organization_memberships + user_role_assignments, and signs them in.","services/api/src/core/auth/lifecycle.js (createOrganizationInvitation, getInvitationByToken, acceptOrganizationInvitation, listPendingInvitationsForEmail)","apps/web/src/app/api/auth/invitations/{route.ts,[token]/route.ts,[token]/accept/route.ts}","apps/web/src/app/(auth)/invitations/[token]/, apps/web/src/app/(auth)/onboarding/ (shows pending invitations)",n/a,"organization_invitations + the company/branch/department-scoped grant tables (pre-existing, migrations 001/007, previously unused for the scoped grants — this pass only wires the base organization-level invitation, not the per-company/branch/department access grants those tables also support)","Issuing requires users.manage AND now (Checkpoint D) the same SP008 grant-ceiling/SoD check role assignment uses (validateRoleSelection) — an inviter can no longer grant a role carrying permissions beyond their own, and can never grant organization_owner via invitation. Accepting a NEW account is token-authenticated (mailbox control); accepting for an EXISTING account now additionally requires the caller to already be authenticated as that exact account (server-resolved from the session cookie) — a bare invitation link is no longer sufficient by itself, and password_hash is never written for an existing account under any input.","Company/branch/department-scoped access grants on an invitation (organization_invitation_company_access etc.) are not yet surfaced by createOrganizationInvitation's input or the issuing UI — a new member gets organization membership + their role's permissions, but no default company/branch access, which must be granted separately once a Settings > Users screen exists (see SP-SETTINGS-001). No Settings UI exists yet to issue invitations from — only the API.",PARTIAL,"tests/integration/auth-lifecycle.test.mjs (real Postgres: create, duplicate-member rejected, get-by-token, accept creates membership + role assignment, double-accept rejected, grant-ceiling denial/allow, existing-account sign-in-required denial/allow, password_hash never changed)","apps/web/e2e/auth-lifecycle.spec.ts (2 specs: original manual-token flow, plus a new one that captures the REAL mailer url via a local test-support capture adapter and follows it verbatim — see AUTH-INVITATION-URL-001); apps/web/e2e/restricted-role-authorization.spec.ts proves a non-users.manage caller is denied at 403",P0 for the core flow (was completely missing); P2 for the deferred scoped-grants gap,A Settings > Users/Invitations screen to issue invitations without direct API access — see SP-SETTINGS gap below,Checkpoint B / D,"4dae25d9, 50799ad3"
AUTH-INVITATION-URL-001,SP004,"Correct invitation email link (path segment, not query string)","The URL createOrganizationInvitation hands to the mailer matches the real frontend route (/invitations/[token], a path segment), for every APP_URL including a production-style HTTPS origin.","services/api/src/core/auth/lifecycle.js (new pathTokenUrl(), used only for invitations; tokenUrl()'s query-string form is unchanged and still correct for verify-email/reset-password, both real Next.js searchParams pages)","n/a (mailer input, not a route)",apps/web/src/app/(auth)/invitations/[token]/page.tsx (unchanged — this was always a path-segment route; the bug was the URL generator producing /invitations?token=... instead),n/a,n/a,n/a,"none — found via independent GitHub inspection, not this engagement's own earlier audits, which had verified acceptance worked by manually navigating to /invitations/${token} directly rather than following the mailer's actual generated URL",VERIFIED_END_TO_END,"tests/integration/auth-lifecycle.test.mjs: captures the exact url via a local http server standing in for the webhook, under APP_URL=https://app.vercentlabs.example, asserts the path-segment shape and that the captured token hashes to the real stored token_hash (not a reconstructed guess)","apps/web/e2e/auth-lifecycle.spec.ts's new spec: issues a real invitation, retrieves the REAL mailer url via a local test-support capture adapter (apps/web/src/app/api/test-support/email-capture, hard-blocked in production), navigates to that literal url (no reconstruction), completes acceptance",P0 (a real invitee's link was dead; only ever masked by every prior test manually reconstructing the correct URL instead of following the generated one),none,Checkpoint D,50799ad3
AUTH-DELIVERY-STATE-001,SP004/SP005,Truthful email-delivery-state semantics,"The UI never claims a verification/invitation email is ""on its way"" when deliverAuthMessage actually returned false; a public/anonymous endpoint (forgot-password) still cannot leak per-email delivery outcomes (account-enumeration safety).","services/api/src/core/auth/mailer.js (new isAuthMailerConfigured() — a deployment-wide fact, identical for every caller regardless of target email)","apps/web/src/app/api/auth/{resend-verification,invitations,forgot-password}/route.ts",apps/web/src/app/(auth)/verify-email/verify-email-client.tsx (uses payload.delivered),n/a,n/a,"resend-verification and invitation issuance are both authenticated (self, or users.manage) — safe to return the real per-call delivered boolean. forgot-password is anonymous — exposes only isAuthMailerConfigured()'s deployment-wide fact, never a per-request delivery outcome, so registered vs unregistered email still cannot be distinguished.","none for the three routes audited. deliverAuthMessage throwing (not returning false) on a partially-configured SMTP env, discovered while auditing this, was found to be existing, intentional, already-tested behavior (services/api/tests/platform-*.test.mjs: ""deliverAuthMessage throws when SMTP configuration is present but incomplete, rather than silently downgrading to no-op"") — not a gap.",VERIFIED_END_TO_END,"services/api/tests/platform-notifications-integrations.test.mjs (pre-existing, re-confirmed passing): deliverAuthMessage's false/throw contract",Full backend suite (1090/1090) and Playwright suite unaffected by the route-level changes,"P2 (silent-success UI trust issue, not an authorization bypass)",none,Checkpoint D,50799ad3
AUTH-TOKEN-ATOMICITY-001,SP004/SP005,"Atomic, race-safe single-use token consumption","Two concurrent requests presenting the same still-valid email-verification or password-reset token can never both succeed, and password reset atomically coordinates token consumption + password update + session revocation.","services/api/src/core/auth/lifecycle.js (consumeEmailVerificationToken, resetPasswordWithToken — both now a single atomic UPDATE...WHERE used_at IS NULL...RETURNING claim, not a SELECT followed by a separate UPDATE)","apps/web/src/app/api/auth/{verify-email,reset-password}/route.ts (now call transaction(), not withClient(), so the token claim and the follow-on user/session updates commit or roll back together)",n/a,n/a,"email_verification_tokens, password_reset_tokens (pre-existing tables, schema unchanged — this is a query-pattern fix, not a schema fix)",n/a,none — acceptOrganizationInvitation already used SELECT...FOR UPDATE correctly and needed no change; this fix brings the other two token flows to the same standard,VERIFIED_END_TO_END,"tests/integration/auth-lifecycle.test.mjs: two new concurrent-replay tests, each racing the SAME still-valid token from two genuinely separate live Postgres connections via Promise.allSettled — exactly one request succeeds, the other gets AUTH_TOKEN_USED, and for password reset the final stored hash matches exactly one of the two racing attempts, never neither and never a corrupted mix",Full backend suite (1090/1090) and Playwright suite unaffected,"P1 (a real, previously unverified TOCTOU window on both token flows — the existing sequential replay test only proved single-request reuse was rejected, not that concurrent requests couldn't both win)",none,Checkpoint D,50799ad3
AUTH-INVITATION-EXISTING-ACCOUNT-001,SP004/SP005,"Existing-account invitation acceptance requires real authentication, not just mailbox access","An organization invitation must not behave like an unrestricted password-reset mechanism, and must not grant a fully authenticated session for an existing account on token possession alone.","services/api/src/core/auth/lifecycle.js (acceptOrganizationInvitation now takes authenticatedUserId, server-resolved from the caller's session cookie in the route — never client-supplied; an existing account's password_hash is never written under any input, and a session is only reused/authorized when authenticatedUserId already matches that account)","apps/web/src/app/api/auth/invitations/[token]/accept/route.ts (resolves getSessionContext() — not requireUser(), since an anonymous new-account acceptance is still valid — and passes it through)","apps/web/src/app/(auth)/invitations/[token]/{page.tsx,accept-invitation-form.tsx} (three real states: new account form; existing account already signed in as itself -> one-click accept; existing account not signed in -> ""sign in first"" with no form that could imply a password change)",n/a,no schema change,"Previously: `if (user && password)` unconditionally overwrote an existing account's password_hash whenever the request body included one, and the route minted a real session for any existing account regardless of whether the caller had ever proven they controlled it. Now: an existing account is only ever joined to the new organization (reusing its own live session, not minting a second one) when the caller's already-established session already belongs to that exact account.",none,VERIFIED_END_TO_END,"tests/integration/auth-lifecycle.test.mjs: anonymous visitor rejected (AUTH_INVITATION_REQUIRES_SIGN_IN), authenticated-as-someone-else rejected, a password supplied in the body with no matching session is NOT treated as proof of ownership, password_hash provably unchanged across all rejected attempts and the eventual successful one",Full Playwright suite (34/34) unaffected — the existing brand-new-account invitation E2E flow (which this fix does not change) still passes,P0 (a real authentication bypass: possessing any valid invitation link addressed to an existing account's email — obtainable by any org admin regardless of whether they control that mailbox — previously granted a live session for that account with zero password verification),none,Checkpoint D,50799ad3
SP008-GRANT-CEILING-INVITATION-001,SP008,Grant-ceiling/SoD enforcement on invitation issuance,"An administrator cannot invite someone into a role carrying permissions beyond their own grant ceiling, or into organization_owner via a bare invitation — the same rule role assignment already enforces.","services/api/src/core/access/administration-service.js (validateRoleSelection — pre-existing, already used for role assignment) — now also called from createOrganizationInvitation with roleIds:[roleId], primaryRoleId:roleId, allowOwnerRole:false","apps/web/src/app/api/auth/invitations/route.ts (passes inviter:{roleSlugs,permissions} from the caller's own session)",n/a,n/a,no schema change — reuses roles/role_permissions,"organization_owner is exempt from the ceiling check (permissionsOutsideGrantCeiling's existing rule); the OWNER ROLE ITSELF can never be granted via invitation regardless of the inviter (allowOwnerRole:false, matching role assignment's own ""ownership transfer needs its own controlled flow"" rule)","none. Found while implementing AUTH-INVITATION-EXISTING-ACCOUNT-001 above — createOrganizationInvitation had never called this pre-existing, already-tested control at all.",VERIFIED_END_TO_END,"tests/integration/auth-lifecycle.test.mjs: an inviter without a privileged role's permission is rejected (403, AccessAdministrationError); the same invitation succeeds once the inviter holds the permission (or is organization_owner)",apps/web/e2e/restricted-role-authorization.spec.ts proves a non-users.manage caller is denied before the ceiling check even runs; apps/web/e2e/auth-lifecycle.spec.ts's existing invitation tests updated to select a non-owner role (the fixture org's earliest-created role happened to be organization_owner) and still pass,"P1 (a real, if narrower, privilege-escalation path: any users.manage holder could grant permissions they didn't themselves have, via invitation instead of direct role assignment)",none,Checkpoint D,50799ad3
SP005-ACCOUNT-LOCKOUT-001,SP005,Per-account failed-login lockout/backoff,"Repeated failed login attempts against a specific account trigger an escalating lockout or backoff, independent of IP-based rate limiting (which only throttles a source address, not a targeted account behind a botnet/proxy pool).","users.failed_login_attempts integer column exists (database/platform/migrations/002_platform_foundation.sql) but is never read or written anywhere in services/api/src — confirmed via grep, zero references outside the migration itself",apps/web/src/app/api/auth/login/route.ts only calls enforceRateLimit keyed by IP (10/300s) — no per-account check,none,n/a,"users.failed_login_attempts column exists and is unused — schema is ready, logic is not",n/a — nothing built,"Incrementing failed_login_attempts on a failed login, resetting it on success, and an actual lockout/backoff policy once a threshold is reached (with a safe, enumeration-conscious error message and a recovery path, e.g. via the existing password-reset flow) — all still to be designed and built",MISSING,,,"P2 (IP-based rate limiting already mitigates the single-source brute-force case; this closes the distributed/targeted-account gap, not a currently-exploited hole)",none blocking,Future checkpoint,
SP004-DEACTIVATION-001,SP004,User deactivation/suspension preserving audit attribution,"An administrator can deactivate/suspend an organization member, immediately terminating their future access, without deleting or breaking historical audit-log attribution to that user.",none found — users.status and organization_memberships.status exist as columns but no domain function sets a user to a deactivated/suspended state through any reviewed code path,none,none,n/a,"users.status, organization_memberships.status columns exist; audit_events table has its own immutability trigger (prevent_audit_event_mutation) that already protects historical attribution independent of user status",n/a — nothing built,"A deactivateUser/suspendMembership domain function, its HTTP route (users.manage-gated), session invalidation on deactivation (SP006 credential/access-change rule), and the Settings > Users UI action to trigger it (see SP-SETTINGS-001)",MISSING,,,P1 (named in SP004's own business rules; no way to actually offboard a member today beyond direct DB access),"Settings > Users screen (SP-SETTINGS-001) is the natural place to surface this, though the domain function/route could be built independently first",Future checkpoint,
