requirement_id,feature_id,capability_id,requirement_type,title,normative_statement,priority,status_flag,database_evidence,backend_function,http_endpoint,frontend_evidence,security_permission_evidence,cross_module_integration,positive_test,negative_test,concurrency_retry_test,browser_test,verification_result,commit_sha,exact_gap,next_action,phase_owner,notes
F268-VAL-001,F268,POS-CAP-001,VAL,Input/reference validation,"Stores and outlets MUST reject malformed IDs/codes, inactive/cross-company/store references, invalid quantity/price/tender/lot/serial/provider states, duplicate identities and impossible combinations with actionable errors.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-VAL-002,F268,POS-CAP-001,VAL,Cross-record/state validation,Stores and outlets MUST validate current cart/sale/shift/payment/return/offline-sync state and final Stock/payment eligibility immediately before committing financially or physically visible effects.,MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-CALC-001,F268,POS-CAP-001,CALC,Deterministic calculation,"Stores and outlets calculations, if applicable, MUST define currency/unit precision, rounding and reproducible deterministic formulas; otherwise the requirement records that no derived numeric result is authoritative.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-UX-001,F268,POS-CAP-001,UX,Checkout/workspace UX,"Stores and outlets UX MUST optimize cashier speed with clear totals/status, keyboard/touch support, exception banners, manager override path and no generic CRUD dependency for high-frequency checkout work.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-UX-002,F268,POS-CAP-001,UX,Device/offline UX,"Stores and outlets tablet/terminal UX MUST handle scanner/printer/cash-drawer/payment-device/network state, explicit offline capability indicators and conflict-safe recovery without ambiguous completion.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-UX-003,F268,POS-CAP-001,UX,Accessible interaction,"Stores and outlets MUST meet WCAG 2.2 AA intent with semantic labels, keyboard/focus, announced validation/status, non-color-only state, target sizing and accessible manual alternatives to scanner/touch-only actions.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-SEC-001,F268,POS-CAP-001,SEC,Authorization/scope,"Every Stores and outlets query/command MUST enforce server-side organization, company, store, terminal, shift, role and record scope; unauthorized pricing overrides, customer data, payment references, cash values and aggregates MUST not leak.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-SEC-002,F268,POS-CAP-001,SEC,SoD/payment-data boundary,"Sensitive Stores and outlets actions MUST enforce manager override/maker-checker where configured and minimize PCI-sensitive data; raw PAN/CVV MUST NOT be stored by the ERP, and provider/token references are preferred.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-AUTO-001,F268,POS-CAP-001,AUTO,Automation boundary,"Automation for Stores and outlets MAY prefetch/sync catalog, retry jobs, generate alerts/drafts or reconcile provider callbacks, but MUST use normal domain/system authorization, idempotency, audit and exception queues.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-APP-001,F268,POS-CAP-001,APP,Approval/override contract,"Approval/override-required Stores and outlets transitions MUST snapshot material values, capture approver/reason/time, block prohibited self-approval and revalidate if cart/payment/return/shift facts change.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-NOTIF-001,F268,POS-CAP-001,NOTIF,Notification contract,"Stores and outlets notifications MUST be event-driven, deduplicated, permission-safe and actionable for payment uncertainty, sync conflict, stock/serial exception, cash variance, shift close or reconciliation failure as applicable.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-REP-001,F268,POS-CAP-001,REP,Reporting contract,"Stores and outlets reporting MUST define formula, store/terminal/shift/cashier/timezone scope, payment/return treatment, freshness, permission-safe drilldown/export and reconciliation to immutable POS facts.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-AI-001,F268,POS-CAP-001,AI,AI boundary,"AI for Stores and outlets MAY improve search, explain promotions, detect anomalies/fraud signals or summarize analytics, but MUST show provenance/uncertainty and MUST NOT determine payment truth, tax, stock quantity, accounting, cash reconciliation, authorization or transition legality.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-INT-001,F268,POS-CAP-001,INT,Inbound integration,"Stores and outlets MUST consume item/customer/price/tax/stock/payment/provider facts only through versioned public contracts with source identity, scope, validation, retry semantics and reconciliation.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-INT-002,F268,POS-CAP-001,INT,Outbound integration,Stores and outlets MUST publish Stock/customer/Accounting/loyalty effects with stable source transaction identity and idempotency key; destination modules retain private-state ownership and may reject/reconcile independently.,MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-API-001,F268,POS-CAP-001,API,Command contract,"Stores and outlets commands MUST define request schema, store/terminal/shift permission scope, expected state/version, idempotency for externally visible effects, domain errors, transaction boundary, audit and downstream outcomes.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-API-002,F268,POS-CAP-001,API,Query contract,"Stores and outlets queries MUST define pagination/search/filter/sort, offline/freshness semantics where relevant, permission-safe aggregates, stable transaction IDs and compatibility/versioning behavior.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-PERF-001,F268,POS-CAP-001,PERF,Peak checkout envelope,"Stores and outlets MUST define p95/p99 latency and behavior for peak multi-terminal checkout, 0/1/100/10k/1m records, bounded search/scan, background sync thresholds and no unbounded request-time scans.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-OBS-001,F268,POS-CAP-001,OBS,Observability/recovery,"Stores and outlets MUST emit structured logs/metrics/traces with correlation, terminal/shift/transaction/provider/offline IDs, job retry/dead-letter state, payment/sync/reconciliation exception counters and support diagnostics without sensitive card data.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-E2E-001,F268,POS-CAP-001,E2E,Happy-path E2E,"Device/browser E2E MUST prove the primary authorized Stores and outlets journey including visible state, persisted transaction facts, audit and Stock/payment/Accounting contract outcome as applicable.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-E2E-002,F268,POS-CAP-001,E2E,Failure/security/retry E2E,"E2E MUST prove Stores and outlets permission denial, duplicate submit, stale/conflict, network/payment uncertainty/offline replay, retry and void/refund/reversal/reconciliation without duplicate charge, stock or accounting effect.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-UAT-001,F268,POS-CAP-001,UAT,Cashier/store UAT,"A realistic cashier/store operator MUST execute Stores and outlets under configured device/store/shift conditions and verify visible, printed/provider, stock, cash and audit outcomes with evidence.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F268-UAT-002,F268,POS-CAP-001,UAT,Supervisor/finance UAT,"A supervisor/finance/auditor MUST independently verify Stores and outlets overrides/SoD, tender/cash reconciliation, return/refund control, downstream accounting and exception recovery before sign-off.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-CAP-001,F269,POS-CAP-001,CAP,Core sub-capability,"POS terminals MUST provide trusted terminal/device identity, store binding, receipt numbering, activation/revocation, session health and peripheral configuration.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-CAP-002,F269,POS-CAP-001,CAP,Governance sub-capability,"POS terminals MUST define lifecycle/state, operator/device scope, authorization, overrides/approvals, correction/reversal and immutable transaction evidence where financially relevant.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-CAP-003,F269,POS-CAP-001,CAP,Integration/evidence sub-capability,"POS terminals MUST expose auditable public contracts/events and evidence for Stock, customer/Sales/CRM, Accounting and shared platform interactions without direct private-table mutation.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-FR-001,F269,POS-CAP-001,FR,Operate lifecycle,Authorized users MUST execute the primary POS terminals lifecycle from a focused POS/store workspace with actionable validation and explicit state.,MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-FR-002,F269,POS-CAP-001,FR,Inspect exceptions,"Users MUST inspect history, exceptions, provider/sync/reconciliation state and related sale/shift/stock/accounting evidence for POS terminals without leaking unauthorized data.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-FR-003,F269,POS-CAP-001,FR,Correct safely,Committed POS terminals facts MUST be corrected through void/refund/reversal/amendment/reconciliation mechanisms rather than silent destructive edits.,MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-US-001,F269,POS-CAP-001,US,Cashier/operator story,"As an authorized cashier/operator, I can perform POS terminals quickly and understand price/payment/stock/shift state and the next safe action.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-US-002,F269,POS-CAP-001,US,Supervisor/auditor story,"As a supervisor/auditor, I can prove who executed/overrode POS terminals, on which store/terminal/shift, why, and how it reconciles to payment, stock and accounting truth.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-FLOW-001,F269,POS-CAP-001,FLOW,Primary flow,The primary POS terminals flow MUST validate store/terminal/shift/operator prerequisites -> authorize -> lock/version relevant transaction state -> apply one atomic POS transition -> audit -> emit idempotent public downstream intent -> show result.,MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-FLOW-002,F269,POS-CAP-001,FLOW,Exception/retry/reversal flow,"POS terminals MUST cover stale cart, duplicate submit, permission denial, stock conflict, device/peripheral failure, payment/network uncertainty, offline replay, downstream failure, retry, void/refund/reversal and reconciliation without duplicate business effect.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-BR-001,F269,POS-CAP-001,BR,Deterministic invariant,"POS terminals MUST obey authoritative payment, tax, pricing, stock, cash, shift, accounting and authorization rules; AI or client UI state cannot override these invariants.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-BR-002,F269,POS-CAP-001,BR,Historical transaction truth,"Once POS terminals contributes to a completed sale, payment, refund, closed shift, Z report or accounting batch, source history MUST remain immutable and corrections MUST link to the original fact.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-DATA-001,F269,POS-CAP-001,DATA,Primary data contract,"POS terminals MUST persist stable organization/company/store/terminal/shift/transaction identifiers, status/version, actor/device, timestamps/timezone, customer/item/tender references and feature-specific values required for trusted terminal/device identity, store binding, receipt numbering, activation/revocation, session health and peripheral configuration.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-DATA-002,F269,POS-CAP-001,DATA,Lineage/evidence data,"POS terminals MUST retain lineage to cart/sale/line/payment/provider/stock/refund/shift/reconciliation/accounting records, overrides/approvals and correlation/idempotency/offline transaction identifiers where applicable.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-VAL-001,F269,POS-CAP-001,VAL,Input/reference validation,"POS terminals MUST reject malformed IDs/codes, inactive/cross-company/store references, invalid quantity/price/tender/lot/serial/provider states, duplicate identities and impossible combinations with actionable errors.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-VAL-002,F269,POS-CAP-001,VAL,Cross-record/state validation,POS terminals MUST validate current cart/sale/shift/payment/return/offline-sync state and final Stock/payment eligibility immediately before committing financially or physically visible effects.,MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-CALC-001,F269,POS-CAP-001,CALC,Deterministic calculation,"POS terminals calculations, if applicable, MUST define currency/unit precision, rounding and reproducible deterministic formulas; otherwise the requirement records that no derived numeric result is authoritative.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-UX-001,F269,POS-CAP-001,UX,Checkout/workspace UX,"POS terminals UX MUST optimize cashier speed with clear totals/status, keyboard/touch support, exception banners, manager override path and no generic CRUD dependency for high-frequency checkout work.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-UX-002,F269,POS-CAP-001,UX,Device/offline UX,"POS terminals tablet/terminal UX MUST handle scanner/printer/cash-drawer/payment-device/network state, explicit offline capability indicators and conflict-safe recovery without ambiguous completion.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-UX-003,F269,POS-CAP-001,UX,Accessible interaction,"POS terminals MUST meet WCAG 2.2 AA intent with semantic labels, keyboard/focus, announced validation/status, non-color-only state, target sizing and accessible manual alternatives to scanner/touch-only actions.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
F269-SEC-001,F269,POS-CAP-001,SEC,Authorization/scope,"Every POS terminals query/command MUST enforce server-side organization, company, store, terminal, shift, role and record scope; unauthorized pricing overrides, customer data, payment references, cash values and aggregates MUST not leak.",MUST,UNVERIFIED,,,,,,,,,,,,,"Not independently re-verified at atomic granularity this session; see feature-level narrative in POS_IMPLEMENTATION_TRACKER.md for context, which is NOT itself atomic-row evidence.",Independently verify against real code + a real test before ever marking PASS.,PROMPT_2_OR_3,
