sp_id,requirement_name,category,owner,priority,specification_status,implementation_status,product_status,spec_path,source_ids,dependencies,canonical_business_count_impact
SP013,Workflow and automation engine,Workflow & control,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP013-workflow-and-automation-engine.md,SRC-SP-OWASP-API;SRC-SP-NIST-AI-600-1,"SP012,SP015,SP016",NONE
SP014,Audit trail and change history,Governance & evidence,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP014-audit-trail-and-change-history.md,SRC-SP-NIST-LOG;SRC-SP-CERTIN;SRC-SP-OWASP-API,"SP001,SP004",NONE
SP015,"Domain events, transactional outbox and event delivery",Integration runtime,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP015-domain-events-transactional-outbox-and-event-delivery.md,SRC-SP-RFC-9110;SRC-SP-OTEL,SP014,NONE
SP016,"Background jobs, scheduling, retries and dead letters",Integration runtime,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP016-background-jobs-scheduling-retries-and-dead-letters.md,SRC-SP-OTEL;SRC-SP-NIST-LOG,SP015,NONE
SP017,Notifications and preference center,Communication,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP017-notifications-and-preference-center.md,SRC-SP-OWASP-API;SRC-SP-OTEL,"SP015,SP016",NONE
SP018,Email delivery and inbound-mail platform,Communication,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP018-email-delivery-and-inbound-mail-platform.md,SRC-SP-NIST-SSDF;SRC-SP-OWASP-API,"SP016,SP017,SP019",NONE
SP019,"Files, attachments and document security",Content & documents,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP019-files-attachments-and-document-security.md,SRC-SP-OWASP-API;SRC-SP-NIST-SSDF,SP009,NONE
SP020,Search and indexing,Data access,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP020-search-and-indexing.md,SRC-SP-OWASP-API;SRC-SP-OTEL,"SP009,SP015,SP016",NONE
SP021,"Custom fields, tags and controlled extensibility",Configuration & extensibility,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP021-custom-fields-tags-and-controlled-extensibility.md,SRC-SP-OWASP-API;SRC-SP-NIST-SSDF,"SP009,SP020",NONE
SP022,"Numbering, sequences and reference generation",Configuration & extensibility,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP022-numbering-sequences-and-reference-generation.md,SRC-SP-PG-RLS;SRC-SP-RFC-9110,"SP002,SP026",NONE
SP023,"Import, export and bulk data operations",Data movement,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP023-import-export-and-bulk-data-operations.md,SRC-SP-OWASP-API;SRC-SP-NIST-SSDF,"SP009,SP016,SP019",NONE
SP024,"API platform, versioning and error contracts",Integration runtime,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP024-api-platform-versioning-and-error-contracts.md,SRC-SP-OWASP-API;SRC-SP-RFC-9110;SRC-SP-RFC-9457,"SP005,SP008,SP009",NONE
SP025,Webhooks and external integration runtime,Integration runtime,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP025-webhooks-and-external-integration-runtime.md,SRC-SP-OWASP-API;SRC-SP-RFC-9110;SRC-SP-NIST-SSDF,"SP015,SP016,SP024",NONE
SP026,"Configuration, effective dating and feature flags",Configuration & extensibility,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP026-configuration-effective-dating-and-feature-flags.md,SRC-SP-NIST-SSDF;SRC-SP-PG-RLS,"SP002,SP014",NONE
SP027,"Localization, timezone, currency and UOM platform",Internationalization,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP027-localization-timezone-currency-and-uom-platform.md,SRC-SP-CLDR-48;SRC-SP-RFC-9110,"SP002,SP026",NONE
SP028,"Privacy, consent, retention and data-subject controls",Governance & evidence,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP028-privacy-consent-retention-and-data-subject-controls.md,SRC-SP-MEITY-DPDP;SRC-SP-NIST-63-4;SRC-SP-OWASP-API,"SP009,SP014,SP019,SP026",NONE
SP029,"Security governance, secrets, keys and secure delivery",Security & operations,Security,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP029-security-governance-secrets-keys-and-secure-delivery.md,SRC-SP-NIST-SSDF;SRC-SP-GITHUB-OIDC;SRC-SP-OWASP-API,"SP005,SP014",NONE
SP030,"Observability, diagnostics and supportability",Security & operations,Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP030-observability-diagnostics-and-supportability.md,SRC-SP-OTEL;SRC-SP-NIST-LOG;SRC-SP-CERTIN,"SP014,SP015,SP016",NONE
SP031,"Reporting, analytics and read-model platform",Data access,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP031-reporting-analytics-and-read-model-platform.md,SRC-SP-OWASP-API;SRC-SP-OTEL,"SP009,SP016,SP020",NONE
SP032,Accessibility and inclusive interaction,Experience,UX,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP032-accessibility-and-inclusive-interaction.md,SRC-SP-WCAG-22;SRC-SP-WAI-APG,SP033,NONE
SP033,"Experience Kernel, responsive web and cross-device UX",Experience,UX,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP033-experience-kernel-responsive-web-and-cross-device-ux.md,SRC-SP-WCAG-22;SRC-SP-NIST-SSDF,SP032,NONE
SP034,"Mobile platform, offline sync and device capabilities",Experience,Platform,P1,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP034-mobile-platform-offline-sync-and-device-capabilities.md,SRC-SP-OWASP-API;SRC-SP-NIST-63B-4,"SP006,SP009,SP024,SP033",NONE
SP035,"Reliability, backup, restore, disaster recovery and release safety",Security & operations,Operations,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP035-reliability-backup-restore-disaster-recovery-and-release-safety.md,SRC-SP-NIST-DR;SRC-SP-NIST-SSDF;SRC-SP-GITHUB-OIDC;SRC-SP-CERTIN,"SP016,SP029,SP030",NONE
SP036,"AI governance, Copilot runtime and evaluation",AI,AI Platform,P0,SPECIFICATION_READY,NOT_STARTED,NOT_READY,04-shared-platform/requirements/SP036-ai-governance-copilot-runtime-and-evaluation.md,SRC-SP-NIST-AI-600-1;SRC-SP-OWASP-API;SRC-SP-NIST-SSDF,"SP008,SP009,SP014,SP024,SP029,SP030",NONE
