decision_id,sp_id,status,decision,rationale
DEC-SP016,SP016,APPROVED,"Treat Background jobs, scheduling, retries and dead letters as one of the exact 36 shared-platform requirements, separate from F001-F510.","Run durable asynchronous and scheduled jobs with tenant-safe context, idempotency classification, bounded retry/backoff and inspectable dead-letter/exception state."
DEC-SP017,SP017,APPROVED,"Treat Notifications and preference center as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide in-app/push/email notification intents, user preferences, mandatory-system notices and delivery status without embedding notification logic in every module."
DEC-SP018,SP018,APPROVED,"Treat Email delivery and inbound-mail platform as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide authenticated outbound email, templates, threading metadata, bounce/delivery handling and safe inbound ingestion for modules such as Support."
DEC-SP019,SP019,APPROVED,"Treat Files, attachments and document security as one of the exact 36 shared-platform requirements, separate from F001-F510.","Store and serve tenant-scoped files with metadata, malware/content validation, signed/authorized retrieval, retention and immutable/versioned document evidence where needed."
DEC-SP020,SP020,APPROVED,"Treat Search and indexing as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide permission-aware global/module search, indexing, filters and durable deep links while respecting tenant, record and field visibility."
DEC-SP021,SP021,APPROVED,"Treat Custom fields, tags and controlled extensibility as one of the exact 36 shared-platform requirements, separate from F001-F510.","Allow tenant-defined metadata, tags and constrained extensions without bypassing validation, permissions, reporting or upgrade safety."
DEC-SP022,SP022,APPROVED,"Treat Numbering, sequences and reference generation as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide company/module/document-aware human reference numbers with concurrency safety, configurable prefixes/resets and immutable issued identity where required."
DEC-SP023,SP023,APPROVED,"Treat Import, export and bulk data operations as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide governed CSV/XLSX/API imports, exports and bulk actions with templates, validation, preview, asynchronous execution, row-level errors and reconciliation."
DEC-SP024,SP024,APPROVED,"Treat API platform, versioning and error contracts as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide versioned authenticated APIs with consistent resource/command semantics, pagination, concurrency/idempotency contracts, rate controls and machine-readable errors."
DEC-SP025,SP025,APPROVED,"Treat Webhooks and external integration runtime as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide signed outbound/inbound webhooks, secret rotation, event subscriptions, retry/backoff, dedupe, delivery logs and safe connector boundaries."
DEC-SP026,SP026,APPROVED,"Treat Configuration, effective dating and feature flags as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide governed tenant/company configuration with defaults, validation, effective dates, change history and safe feature rollout flags."
DEC-SP027,SP027,APPROVED,"Treat Localization, timezone, currency and UOM platform as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide locale-aware formatting, translations, time-zone handling and shared currency/UOM primitives without making display localization authoritative for financial/quantity truth."
DEC-SP028,SP028,APPROVED,"Treat Privacy, consent, retention and data-subject controls as one of the exact 36 shared-platform requirements, separate from F001-F510.","Classify personal data, minimize collection, record applicable consent/notice basis, enforce retention/legal holds and support governed access/export/correction/deletion workflows subject to business/legal obligations."
DEC-SP029,SP029,APPROVED,"Treat Security governance, secrets, keys and secure delivery as one of the exact 36 shared-platform requirements, separate from F001-F510.","Govern application security baseline, secret/key lifecycle, encryption, dependency/supply-chain controls, vulnerability management and privileged operational access."
DEC-SP030,SP030,APPROVED,"Treat Observability, diagnostics and supportability as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide correlated logs, metrics and traces plus business diagnostics, dashboards and support-safe tooling across web/API/worker/integrations."
DEC-SP031,SP031,APPROVED,"Treat Reporting, analytics and read-model platform as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide reusable reporting/read-model infrastructure, filtering, scheduled exports and governed aggregation without bypassing row/field permissions or authoritative source reconciliation."
DEC-SP032,SP032,APPROVED,"Treat Accessibility and inclusive interaction as one of the exact 36 shared-platform requirements, separate from F001-F510.","Make protected ERP workflows operable with keyboard, screen readers, zoom/reflow, status announcements, sufficient target sizing/contrast and non-drag alternatives to WCAG 2.2 AA intent."
DEC-SP033,SP033,APPROVED,"Treat Experience Kernel, responsive web and cross-device UX as one of the exact 36 shared-platform requirements, separate from F001-F510.","Freeze reusable ERP layout/components/states so all modules share navigation, records, grids, forms, approvals, audit, dashboards and responsive behavior across desktop/tablet/phone."
DEC-SP034,SP034,APPROVED,"Treat Mobile platform, offline sync and device capabilities as one of the exact 36 shared-platform requirements, separate from F001-F510.","Provide native mobile authentication/API, encrypted local data, feature parity classification, barcode/camera/device capabilities and bounded offline sync for approved workflows."
DEC-SP035,SP035,APPROVED,"Treat Reliability, backup, restore, disaster recovery and release safety as one of the exact 36 shared-platform requirements, separate from F001-F510.","Define service reliability targets, backup/PITR, restore validation, DR, migration/deployment/rollback, health checks and incident continuity for production ERP."
DEC-SP036,SP036,APPROVED,"Treat AI governance, Copilot runtime and evaluation as one of the exact 36 shared-platform requirements, separate from F001-F510.","Govern customer-facing ERP AI and engineering-assistant integrations with authorization-safe retrieval, provenance, approval gates, evaluations, prompt/data isolation and no direct authoritative writes."
