from_sp_id,to_sp_id,relationship,rationale
SP023,SP019,DEPENDS_ON,"Import, export and bulk data operations relies on the public/shared contract owned by SP019."
SP024,SP005,DEPENDS_ON,"API platform, versioning and error contracts relies on the public/shared contract owned by SP005."
SP024,SP008,DEPENDS_ON,"API platform, versioning and error contracts relies on the public/shared contract owned by SP008."
SP024,SP009,DEPENDS_ON,"API platform, versioning and error contracts relies on the public/shared contract owned by SP009."
SP025,SP015,DEPENDS_ON,Webhooks and external integration runtime relies on the public/shared contract owned by SP015.
SP025,SP016,DEPENDS_ON,Webhooks and external integration runtime relies on the public/shared contract owned by SP016.
SP025,SP024,DEPENDS_ON,Webhooks and external integration runtime relies on the public/shared contract owned by SP024.
SP026,SP002,DEPENDS_ON,"Configuration, effective dating and feature flags relies on the public/shared contract owned by SP002."
SP026,SP014,DEPENDS_ON,"Configuration, effective dating and feature flags relies on the public/shared contract owned by SP014."
SP027,SP002,DEPENDS_ON,"Localization, timezone, currency and UOM platform relies on the public/shared contract owned by SP002."
SP027,SP026,DEPENDS_ON,"Localization, timezone, currency and UOM platform relies on the public/shared contract owned by SP026."
SP028,SP009,DEPENDS_ON,"Privacy, consent, retention and data-subject controls relies on the public/shared contract owned by SP009."
SP028,SP014,DEPENDS_ON,"Privacy, consent, retention and data-subject controls relies on the public/shared contract owned by SP014."
SP028,SP019,DEPENDS_ON,"Privacy, consent, retention and data-subject controls relies on the public/shared contract owned by SP019."
SP028,SP026,DEPENDS_ON,"Privacy, consent, retention and data-subject controls relies on the public/shared contract owned by SP026."
SP029,SP005,DEPENDS_ON,"Security governance, secrets, keys and secure delivery relies on the public/shared contract owned by SP005."
SP029,SP014,DEPENDS_ON,"Security governance, secrets, keys and secure delivery relies on the public/shared contract owned by SP014."
SP030,SP014,DEPENDS_ON,"Observability, diagnostics and supportability relies on the public/shared contract owned by SP014."
SP030,SP015,DEPENDS_ON,"Observability, diagnostics and supportability relies on the public/shared contract owned by SP015."
SP030,SP016,DEPENDS_ON,"Observability, diagnostics and supportability relies on the public/shared contract owned by SP016."
SP031,SP009,DEPENDS_ON,"Reporting, analytics and read-model platform relies on the public/shared contract owned by SP009."
SP031,SP016,DEPENDS_ON,"Reporting, analytics and read-model platform relies on the public/shared contract owned by SP016."
SP031,SP020,DEPENDS_ON,"Reporting, analytics and read-model platform relies on the public/shared contract owned by SP020."
SP032,SP033,DEPENDS_ON,Accessibility and inclusive interaction relies on the public/shared contract owned by SP033.
SP033,SP032,DEPENDS_ON,"Experience Kernel, responsive web and cross-device UX relies on the public/shared contract owned by SP032."
SP034,SP006,DEPENDS_ON,"Mobile platform, offline sync and device capabilities relies on the public/shared contract owned by SP006."
SP034,SP009,DEPENDS_ON,"Mobile platform, offline sync and device capabilities relies on the public/shared contract owned by SP009."
SP034,SP024,DEPENDS_ON,"Mobile platform, offline sync and device capabilities relies on the public/shared contract owned by SP024."
SP034,SP033,DEPENDS_ON,"Mobile platform, offline sync and device capabilities relies on the public/shared contract owned by SP033."
SP035,SP016,DEPENDS_ON,"Reliability, backup, restore, disaster recovery and release safety relies on the public/shared contract owned by SP016."
SP035,SP029,DEPENDS_ON,"Reliability, backup, restore, disaster recovery and release safety relies on the public/shared contract owned by SP029."
SP035,SP030,DEPENDS_ON,"Reliability, backup, restore, disaster recovery and release safety relies on the public/shared contract owned by SP030."
SP036,SP008,DEPENDS_ON,"AI governance, Copilot runtime and evaluation relies on the public/shared contract owned by SP008."
SP036,SP009,DEPENDS_ON,"AI governance, Copilot runtime and evaluation relies on the public/shared contract owned by SP009."
SP036,SP014,DEPENDS_ON,"AI governance, Copilot runtime and evaluation relies on the public/shared contract owned by SP014."
SP036,SP024,DEPENDS_ON,"AI governance, Copilot runtime and evaluation relies on the public/shared contract owned by SP024."
SP036,SP029,DEPENDS_ON,"AI governance, Copilot runtime and evaluation relies on the public/shared contract owned by SP029."
SP036,SP030,DEPENDS_ON,"AI governance, Copilot runtime and evaluation relies on the public/shared contract owned by SP030."
