requirement_id,sp_id,requirement_family,enumerated,title,normative_statement,priority,category,dependencies,source_dossier
SP001-FR-002,SP001,FR,TRUE,Functional,"Approved FRs: `SP001-FR-001`, `SP001-FR-002`, `SP001-FR-003`.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-FR-003,SP001,FR,TRUE,Functional,"Approved FRs: `SP001-FR-001`, `SP001-FR-002`, `SP001-FR-003`.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-FLOWS,SP001,SECTION,FALSE,Flows,Admin creates or changes tenant lifecycle; protected requests resolve tenant context; suspension/recovery are audited and reversible by authorized operators.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-STATE-MACHINE,SP001,SECTION,FALSE,State Machine,Lifecycle/request/job states for Organization and tenant lifecycle must be explicit; invalid transitions fail before side effects and recovery/reopen is auditable.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-DATA,SP001,SECTION,FALSE,Data,"Data owned by Organization and tenant lifecycle is tenant/company scoped where applicable, typed, version/effective-dated when policy changes, and classified for retention/security.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-VALIDATION,SP001,SECTION,FALSE,Validation,"Validate identity/scope, lifecycle, schema, references, stale versions, duplicates and policy before mutation.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-BUSINESS-RULES,SP001,SECTION,FALSE,Business Rules,"- Tenant identity is immutable after creation except controlled display metadata.
- All tenant-owned access derives organization context from authenticated server state, never client-controlled payload.
- Suspension blocks business writes without destroying audit/history.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-CALCULATIONS,SP001,SECTION,FALSE,Calculations,Any quotas/windows/usage/retry/timestamp-derived values in Organization and tenant lifecycle use explicit deterministic precision/timezone rules.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-VIEWS,SP001,SECTION,FALSE,Views,Provide only justified admin/operator views for Organization and tenant lifecycle using Experience Kernel states.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-LIST,SP001,SECTION,FALSE,List,"Permission-scoped, paginated/virtualized where needed, and consistent with direct-record authorization.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-SEARCH,SP001,SECTION,FALSE,Search,Search/filter obey identical row/field authorization and freshness semantics.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-DETAIL,SP001,SECTION,FALSE,Detail,"Expose effective configuration/state, related evidence, last change, health and actionable errors appropriate to role.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-CREATE,SP001,SECTION,FALSE,Create,"Creation/configuration uses validated defaults, explicit scope, conflict-safe identity and audit.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-EDIT,SP001,SECTION,FALSE,Edit,Edits use stale-write protection where needed; high-impact changes may require approval/step-up.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-BULK,SP001,SECTION,FALSE,Bulk,Bulk changes preserve per-record authorization/rules and expose progress/errors/reconciliation.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-ACTIONS,SP001,SECTION,FALSE,Actions,"All actions map to server commands with permission, transition and idempotency semantics.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-RELATED,SP001,SECTION,FALSE,Related,Dependencies: none declared.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-AUTOMATION,SP001,SECTION,FALSE,Automation,Automation consumes Organization and tenant lifecycle only through normal public commands/authorization.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-APPROVALS,SP001,SECTION,FALSE,Approvals,"Use centralized approval/SoD when changing Organization and tenant lifecycle materially affects security, money, access, data exposure or production operations.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-NOTIFICATIONS,SP001,SECTION,FALSE,Notifications,"Notify responsible actors for actionable Organization and tenant lifecycle failures, approvals, expirations or security events.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-DOCUMENTS,SP001,SECTION,FALSE,Documents,"Documents/attachments used by Organization and tenant lifecycle obey SP019 file security, scope, version and retention.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-IMPORT-EXPORT,SP001,SECTION,FALSE,Import Export,"Import/export of Organization and tenant lifecycle configuration/evidence is permission-scoped, validated and auditable.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-REPORTING,SP001,SECTION,FALSE,Reporting,"Report health, usage, exceptions, audit and policy state for Organization and tenant lifecycle, including source/freshness.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-AI,SP001,SECTION,FALSE,Ai,AI may assist/explain Organization and tenant lifecycle only from authorized context and cannot bypass deterministic controls.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-SECURITY,SP001,SECTION,FALSE,Security,"Tenant escape, stale tenant context, cross-org cache/search leakage and administrative takeover are primary threats. Security-negative and abuse tests are mandatory.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-SCOPE,SP001,SECTION,FALSE,Scope,"Resolve organization, entitlement, company, branch/site/team/record/field context as applicable; jobs/integrations use trusted persisted scope.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-AUDIT,SP001,SECTION,FALSE,Audit,Sensitive/high-impact Organization and tenant lifecycle changes produce durable actor/tenant/target/correlation evidence with secret/PII minimization.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-CONCURRENCY,SP001,SECTION,FALSE,Concurrency,Identify races in Organization and tenant lifecycle; enforce DB constraints/locks/version checks or another documented safe mechanism.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-IDEMPOTENCY,SP001,SECTION,FALSE,Idempotency,Retries in Organization and tenant lifecycle are classified; unsafe duplicate effects use stable idempotency/business keys and reconciliation.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-INTEGRATIONS,SP001,SECTION,FALSE,Integrations,"Integration contracts involving Organization and tenant lifecycle are versioned, tenant-scoped, observable and replay-safe.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-API,SP001,SECTION,FALSE,Api,"APIs use authenticated/versioned contracts, object/function/property authorization, bounded resource use and typed errors.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-MOBILE,SP001,SECTION,FALSE,Mobile,"Classify Organization and tenant lifecycle as full, field-optimized, approval-only, read-only or not-applicable; offline state is bounded/encrypted and revalidated.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-RESPONSIVE,SP001,SECTION,FALSE,Responsive,Desktop/tablet/phone behavior follows the Experience Kernel and preserves critical actions.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-ACCESSIBILITY,SP001,SECTION,FALSE,Accessibility,"WCAG 2.2 AA intent: keyboard/focus, labels, screen-reader status/errors, contrast, target size, zoom/reflow, reduced motion and non-drag alternatives.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-VISUAL-EVIDENCE,SP001,SECTION,FALSE,Visual Evidence,Complex Organization and tenant lifecycle admin/operator surfaces require wireframes/state diagrams before implementation.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-PERFORMANCE,SP001,SECTION,FALSE,Performance,Define latency/throughput/cardinality/volume budgets for Organization and tenant lifecycle; use batching/pagination/async/read models where appropriate.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-OBSERVABILITY,SP001,SECTION,FALSE,Observability,"Structured logs/metrics/traces with correlation, diagnostics, alerts and reconciliation support are required for Organization and tenant lifecycle.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-EDGE-CASES,SP001,SECTION,FALSE,Edge Cases,"Cover duplicates, stale references, concurrency, permission changes, partial failures, retries, outages, timezones/localization and recovery.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-CODE-AUDIT,SP001,SECTION,FALSE,Code Audit,"Before implementation, map current repository paths/symbols to SP001 and classify VERIFIED/PARTIAL/MISSING; code never lowers target requirements.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-GAPS,SP001,SECTION,FALSE,Gaps,Target minus verified behavior is the implementation gap; framework existence alone is not proof that Organization and tenant lifecycle is complete.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-IMPLEMENTATION,SP001,SECTION,FALSE,Implementation,Implement in existing core/packages/worker/database/mobile/shared areas as appropriate; business modules consume public contracts. Pass A changes docs only.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-TESTS,SP001,SECTION,FALSE,Tests,"Unit/domain, DB/RLS, API, security-negative, integration, idempotency/retry, performance, migration and reconciliation tests are planned.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-TEST-E2E-01,SP001,TEST-E2E,TRUE,E2E,`SP001-TEST-E2E-01` happy path and `SP001-TEST-E2E-02` negative/recovery path are planned.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-TEST-E2E-02,SP001,TEST-E2E,TRUE,E2E,`SP001-TEST-E2E-01` happy path and `SP001-TEST-E2E-02` negative/recovery path are planned.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-UAT-01,SP001,UAT,TRUE,Uat,`SP001-UAT-01` and `SP001-UAT-02` cover primary and failure/permission/recovery validation.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-UAT-02,SP001,UAT,TRUE,Uat,`SP001-UAT-01` and `SP001-UAT-02` cover primary and failure/permission/recovery validation.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-DOD,SP001,SECTION,FALSE,Dod,"SP001 is specification-ready because identity/scope, atomic requirements, primary evidence, decisions, dependencies, tests and UAT are materialized. It is not implementation/product ready.",P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP001-SECTION-OPEN-DECISIONS,SP001,SECTION,FALSE,Open Decisions,No freeze-blocking identity/scope decision remains; implementation-specific choices remain governed by existing ADR/change control.,P0,Identity & tenancy,,docs/04-shared-platform/requirements/SP001-organization-and-tenant-lifecycle.md
SP002-SECTION-IDENTITY,SP002,SECTION,FALSE,Identity,"- Shared-platform ID: `SP002`
- Category: **Identity & tenancy**
- Owner: **Platform**
- Priority: **P0**
- Canonical business count impact: **NONE**.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-INTENT,SP002,SECTION,FALSE,Intent,"Model legal/business companies inside a tenant, including active state, base currency, fiscal/tax context and controlled access boundaries.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-OUTCOMES,SP002,SECTION,FALSE,Outcomes,"One governed reusable implementation serves all applicable modules; Company and legal-entity structure remains consistent across web, API, worker and mobile.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-PERSONAS,SP002,SECTION,FALSE,Personas,"Tenant administrators, ERP users, managers/approvers, security/operations personnel, integration clients and implementation agents as applicable; negative-permission personas are mandatory.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-ENTRY-POINTS,SP002,SECTION,FALSE,Entry Points,Administration/settings where configured and protected runtime/API/mobile/worker paths where Company and legal-entity structure is consumed.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-BENCHMARK,SP002,SECTION,FALSE,Benchmark,"Evidence IDs: `SP002-SRC-SP-PG-RLS`, `SP002-SRC-SP-OWASP-API`, `SP002-SRC-SP-CLDR-48`.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-DECISION,SP002,SECTION,FALSE,Decision,`DEC-SP002` freezes this exact shared-platform identity and scope.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-OMISSION-GATE,SP002,SECTION,FALSE,Omission Gate,"Red-team Company and legal-entity structure for lifecycle, authorization, multi-company/tenant scope, stale state, concurrency, retry, recovery, reporting, mobile, accessibility, observability and operations.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-SUBCAPABILITIES,SP002,SECTION,FALSE,Subcapabilities,"Requirement families: `SP002-CAP-###`, `SP002-FR-###`, `SP002-US-###`, `SP002-FLOW-###`, `SP002-BR-###`, `SP002-DATA-###`, `SP002-VAL-###`, `SP002-CALC-###`, `SP002-UX-###`, `SP002-SEC-###`, `SP002-AUTO-###`, `SP002-APP-###`, `SP002-NOTIF-###`, `SP002-REP-###`, `SP002-AI-###`, `SP002-INT-###`, `SP002-API-###`, `SP002-PERF-###`, `SP002-OBS-###`, `SP002-E2E-###`, `SP002-UAT-###`.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-FR-001,SP002,FR,TRUE,Functional,"Approved FRs: `SP002-FR-001`, `SP002-FR-002`, `SP002-FR-003`.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-FR-002,SP002,FR,TRUE,Functional,"Approved FRs: `SP002-FR-001`, `SP002-FR-002`, `SP002-FR-003`.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-FR-003,SP002,FR,TRUE,Functional,"Approved FRs: `SP002-FR-001`, `SP002-FR-002`, `SP002-FR-003`.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-FLOWS,SP002,SECTION,FALSE,Flows,Admin configures company; user selects/receives active company scope; commands validate company membership and legal-entity rules.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-STATE-MACHINE,SP002,SECTION,FALSE,State Machine,Lifecycle/request/job states for Company and legal-entity structure must be explicit; invalid transitions fail before side effects and recovery/reopen is auditable.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-DATA,SP002,SECTION,FALSE,Data,"Data owned by Company and legal-entity structure is tenant/company scoped where applicable, typed, version/effective-dated when policy changes, and classified for retention/security.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-VALIDATION,SP002,SECTION,FALSE,Validation,"Validate identity/scope, lifecycle, schema, references, stale versions, duplicates and policy before mutation.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-BUSINESS-RULES,SP002,SECTION,FALSE,Business Rules,"- A record never silently changes company ownership.
- Cross-company actions require explicit scope and public contracts.
- Company disablement cannot orphan posted business truth.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-CALCULATIONS,SP002,SECTION,FALSE,Calculations,Any quotas/windows/usage/retry/timestamp-derived values in Company and legal-entity structure use explicit deterministic precision/timezone rules.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-VIEWS,SP002,SECTION,FALSE,Views,Provide only justified admin/operator views for Company and legal-entity structure using Experience Kernel states.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-LIST,SP002,SECTION,FALSE,List,"Permission-scoped, paginated/virtualized where needed, and consistent with direct-record authorization.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-SEARCH,SP002,SECTION,FALSE,Search,Search/filter obey identical row/field authorization and freshness semantics.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-DETAIL,SP002,SECTION,FALSE,Detail,"Expose effective configuration/state, related evidence, last change, health and actionable errors appropriate to role.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-CREATE,SP002,SECTION,FALSE,Create,"Creation/configuration uses validated defaults, explicit scope, conflict-safe identity and audit.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-EDIT,SP002,SECTION,FALSE,Edit,Edits use stale-write protection where needed; high-impact changes may require approval/step-up.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-BULK,SP002,SECTION,FALSE,Bulk,Bulk changes preserve per-record authorization/rules and expose progress/errors/reconciliation.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-ACTIONS,SP002,SECTION,FALSE,Actions,"All actions map to server commands with permission, transition and idempotency semantics.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-RELATED,SP002,SECTION,FALSE,Related,Dependencies: SP001.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-AUTOMATION,SP002,SECTION,FALSE,Automation,Automation consumes Company and legal-entity structure only through normal public commands/authorization.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-APPROVALS,SP002,SECTION,FALSE,Approvals,"Use centralized approval/SoD when changing Company and legal-entity structure materially affects security, money, access, data exposure or production operations.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-NOTIFICATIONS,SP002,SECTION,FALSE,Notifications,"Notify responsible actors for actionable Company and legal-entity structure failures, approvals, expirations or security events.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-DOCUMENTS,SP002,SECTION,FALSE,Documents,"Documents/attachments used by Company and legal-entity structure obey SP019 file security, scope, version and retention.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-IMPORT-EXPORT,SP002,SECTION,FALSE,Import Export,"Import/export of Company and legal-entity structure configuration/evidence is permission-scoped, validated and auditable.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-REPORTING,SP002,SECTION,FALSE,Reporting,"Report health, usage, exceptions, audit and policy state for Company and legal-entity structure, including source/freshness.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-AI,SP002,SECTION,FALSE,Ai,AI may assist/explain Company and legal-entity structure only from authorized context and cannot bypass deterministic controls.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-SECURITY,SP002,SECTION,FALSE,Security,"Cross-company IDOR, hidden company-switch persistence and invalid consolidation scope are primary threats. Security-negative and abuse tests are mandatory.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-SCOPE,SP002,SECTION,FALSE,Scope,"Resolve organization, entitlement, company, branch/site/team/record/field context as applicable; jobs/integrations use trusted persisted scope.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-AUDIT,SP002,SECTION,FALSE,Audit,Sensitive/high-impact Company and legal-entity structure changes produce durable actor/tenant/target/correlation evidence with secret/PII minimization.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-CONCURRENCY,SP002,SECTION,FALSE,Concurrency,Identify races in Company and legal-entity structure; enforce DB constraints/locks/version checks or another documented safe mechanism.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-IDEMPOTENCY,SP002,SECTION,FALSE,Idempotency,Retries in Company and legal-entity structure are classified; unsafe duplicate effects use stable idempotency/business keys and reconciliation.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-INTEGRATIONS,SP002,SECTION,FALSE,Integrations,"Integration contracts involving Company and legal-entity structure are versioned, tenant-scoped, observable and replay-safe.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-API,SP002,SECTION,FALSE,Api,"APIs use authenticated/versioned contracts, object/function/property authorization, bounded resource use and typed errors.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-MOBILE,SP002,SECTION,FALSE,Mobile,"Classify Company and legal-entity structure as full, field-optimized, approval-only, read-only or not-applicable; offline state is bounded/encrypted and revalidated.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-RESPONSIVE,SP002,SECTION,FALSE,Responsive,Desktop/tablet/phone behavior follows the Experience Kernel and preserves critical actions.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-ACCESSIBILITY,SP002,SECTION,FALSE,Accessibility,"WCAG 2.2 AA intent: keyboard/focus, labels, screen-reader status/errors, contrast, target size, zoom/reflow, reduced motion and non-drag alternatives.",P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-VISUAL-EVIDENCE,SP002,SECTION,FALSE,Visual Evidence,Complex Company and legal-entity structure admin/operator surfaces require wireframes/state diagrams before implementation.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
SP002-SECTION-PERFORMANCE,SP002,SECTION,FALSE,Performance,Define latency/throughput/cardinality/volume budgets for Company and legal-entity structure; use batching/pagination/async/read models where appropriate.,P0,Identity & tenancy,SP001,docs/04-shared-platform/requirements/SP002-company-and-legal-entity-structure.md
