feature_id,feature_name,module,primary_wave,foundation_dependencies,implementation_order_rule,authorization,status
F014,Meetings,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F015,Tasks,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F016,Follow-ups and reminders,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F017,Notes and attachments,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F018,Email history,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F019,Activity timeline,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F020,Territories and sales teams,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F021,Lead import and export,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F022,Lead-to-opportunity conversion,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F023,Opportunity-to-quotation conversion,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F024,Pipeline dashboard,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F025,Sales forecast,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F026,Won / lost reasons,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F027,Basic lead scoring,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F028,Custom fields and tags,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F029,Bulk actions,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F030,CRM reports,CRM,W03,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F031,Customer master,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F032,Customer addresses and contacts,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F033,Products and services,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F034,Price lists,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F035,Customer-specific prices,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F036,Quotations,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F037,Quotation versions and revisions,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F038,Quotation expiry,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F039,Discounts,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F040,Taxes,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F041,Approval workflow,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F042,Sales orders,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F043,Order confirmation,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F044,Order amendments,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F045,Availability check,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F046,Stock reservation,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F047,Partial fulfilment,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F048,Backorders,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F049,Delivery and shipment,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F050,Sales invoices,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F051,Partial invoicing,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F052,Advance payments,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F053,Credit limits,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F054,Customer returns,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F055,Credit notes and refunds,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F056,Drop shipping,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F057,Sales commissions,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F058,Payment terms,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F059,Order status tracking,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F060,Sales analytics,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F061,Margin and profitability,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F062,Order-to-cash reporting,Sales,W04,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F063,Supplier master,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F064,Supplier contacts and addresses,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F065,Supplier onboarding,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F066,Supplier categories,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F067,Purchase requisitions,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F068,Requisition approvals,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F069,RFQ creation,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F070,RFQ to multiple vendors,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F071,Supplier quotations,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F072,Bid comparison,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F073,Supplier selection,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F074,Purchase orders,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F075,PO approvals,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F076,PO amendments,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F077,Blanket purchase orders,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F078,Purchase agreements and contracts,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F079,Supplier price lists,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F080,Goods receipt / GRN,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F081,Partial receipts,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F082,Rejected receipts,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F083,Purchase returns,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F084,Supplier invoices,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F085,2-way matching,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F086,3-way matching: PO – GRN – Invoice,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F087,Landed costs,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F088,Payment terms,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F089,Supplier performance,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F090,Supplier rating,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F091,Supplier lead times,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F092,Spend analysis,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F093,Purchase history,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F094,Reorder-generated purchasing,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
F095,Subcontract purchasing,Procurement,W05,T00;T01;W01;W02 as applicable,DEPENDENCY_GRAPH_BEFORE_NUMERIC_F_ID_ORDER,AUTHORIZED_TO_IMPLEMENT_ONLY_WHEN_WAVE_PREDECESSORS_AND_CAPABILITY_MANIFEST_PASS,FROZEN
