verification_id,journey_id,journey_name,verification_type,objective,status,execution_evidence
STOCK-JRN-002-E2E-03,STOCK-JRN-002,Sales reservation to shipment,E2E,Retry/reversal/reconciliation for Sales reservation to shipment,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-002-UAT-01,STOCK-JRN-002,Sales reservation to shipment,UAT,Primary business-role acceptance for Sales reservation to shipment,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-002-UAT-02,STOCK-JRN-002,Sales reservation to shipment,UAT,Exception/recovery business-role acceptance for Sales reservation to shipment,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-003-E2E-01,STOCK-JRN-003,Warehouse transfer,E2E,Happy path for Warehouse transfer,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-003-E2E-02,STOCK-JRN-003,Warehouse transfer,E2E,Permission/concurrency/validation failure for Warehouse transfer,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-003-E2E-03,STOCK-JRN-003,Warehouse transfer,E2E,Retry/reversal/reconciliation for Warehouse transfer,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-003-UAT-01,STOCK-JRN-003,Warehouse transfer,UAT,Primary business-role acceptance for Warehouse transfer,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-003-UAT-02,STOCK-JRN-003,Warehouse transfer,UAT,Exception/recovery business-role acceptance for Warehouse transfer,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-004-E2E-01,STOCK-JRN-004,Count to reconciliation,E2E,Happy path for Count to reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-004-E2E-02,STOCK-JRN-004,Count to reconciliation,E2E,Permission/concurrency/validation failure for Count to reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-004-E2E-03,STOCK-JRN-004,Count to reconciliation,E2E,Retry/reversal/reconciliation for Count to reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-004-UAT-01,STOCK-JRN-004,Count to reconciliation,UAT,Primary business-role acceptance for Count to reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-004-UAT-02,STOCK-JRN-004,Count to reconciliation,UAT,Exception/recovery business-role acceptance for Count to reconciliation,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-005-E2E-01,STOCK-JRN-005,Replenishment to procurement,E2E,Happy path for Replenishment to procurement,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-005-E2E-02,STOCK-JRN-005,Replenishment to procurement,E2E,Permission/concurrency/validation failure for Replenishment to procurement,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-005-E2E-03,STOCK-JRN-005,Replenishment to procurement,E2E,Retry/reversal/reconciliation for Replenishment to procurement,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-005-UAT-01,STOCK-JRN-005,Replenishment to procurement,UAT,Primary business-role acceptance for Replenishment to procurement,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-005-UAT-02,STOCK-JRN-005,Replenishment to procurement,UAT,Exception/recovery business-role acceptance for Replenishment to procurement,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-006-E2E-01,STOCK-JRN-006,Manufacturing material flow,E2E,Happy path for Manufacturing material flow,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-006-E2E-02,STOCK-JRN-006,Manufacturing material flow,E2E,Permission/concurrency/validation failure for Manufacturing material flow,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-006-E2E-03,STOCK-JRN-006,Manufacturing material flow,E2E,Retry/reversal/reconciliation for Manufacturing material flow,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-006-UAT-01,STOCK-JRN-006,Manufacturing material flow,UAT,Primary business-role acceptance for Manufacturing material flow,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-006-UAT-02,STOCK-JRN-006,Manufacturing material flow,UAT,Exception/recovery business-role acceptance for Manufacturing material flow,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-007-E2E-01,STOCK-JRN-007,Quality hold and release,E2E,Happy path for Quality hold and release,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-007-E2E-02,STOCK-JRN-007,Quality hold and release,E2E,Permission/concurrency/validation failure for Quality hold and release,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-007-E2E-03,STOCK-JRN-007,Quality hold and release,E2E,Retry/reversal/reconciliation for Quality hold and release,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-007-UAT-01,STOCK-JRN-007,Quality hold and release,UAT,Primary business-role acceptance for Quality hold and release,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-007-UAT-02,STOCK-JRN-007,Quality hold and release,UAT,Exception/recovery business-role acceptance for Quality hold and release,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-008-E2E-01,STOCK-JRN-008,Inventory valuation to books,E2E,Happy path for Inventory valuation to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-008-E2E-02,STOCK-JRN-008,Inventory valuation to books,E2E,Permission/concurrency/validation failure for Inventory valuation to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-008-E2E-03,STOCK-JRN-008,Inventory valuation to books,E2E,Retry/reversal/reconciliation for Inventory valuation to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-008-UAT-01,STOCK-JRN-008,Inventory valuation to books,UAT,Primary business-role acceptance for Inventory valuation to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-008-UAT-02,STOCK-JRN-008,Inventory valuation to books,UAT,Exception/recovery business-role acceptance for Inventory valuation to books,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-009-E2E-01,STOCK-JRN-009,Traceability and recall,E2E,Happy path for Traceability and recall,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-009-E2E-02,STOCK-JRN-009,Traceability and recall,E2E,Permission/concurrency/validation failure for Traceability and recall,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-009-E2E-03,STOCK-JRN-009,Traceability and recall,E2E,Retry/reversal/reconciliation for Traceability and recall,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-009-UAT-01,STOCK-JRN-009,Traceability and recall,UAT,Primary business-role acceptance for Traceability and recall,PLANNED,NOT_EXECUTED_PLANNING_ONLY
STOCK-JRN-009-UAT-02,STOCK-JRN-009,Traceability and recall,UAT,Exception/recovery business-role acceptance for Traceability and recall,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-001-E2E-01,MFG-JRN-001,Plan to produce,E2E,Happy path for Plan to produce,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-001-E2E-02,MFG-JRN-001,Plan to produce,E2E,Permission/concurrency/validation failure for Plan to produce,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-001-E2E-03,MFG-JRN-001,Plan to produce,E2E,Retry/reversal/reconciliation for Plan to produce,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-001-UAT-01,MFG-JRN-001,Plan to produce,UAT,Primary business-role acceptance for Plan to produce,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-001-UAT-02,MFG-JRN-001,Plan to produce,UAT,Exception/recovery business-role acceptance for Plan to produce,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-002-E2E-01,MFG-JRN-002,Engineering change to effective production,E2E,Happy path for Engineering change to effective production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-002-E2E-02,MFG-JRN-002,Engineering change to effective production,E2E,Permission/concurrency/validation failure for Engineering change to effective production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-002-E2E-03,MFG-JRN-002,Engineering change to effective production,E2E,Retry/reversal/reconciliation for Engineering change to effective production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-002-UAT-01,MFG-JRN-002,Engineering change to effective production,UAT,Primary business-role acceptance for Engineering change to effective production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-002-UAT-02,MFG-JRN-002,Engineering change to effective production,UAT,Exception/recovery business-role acceptance for Engineering change to effective production,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-003-E2E-01,MFG-JRN-003,MRP shortage to procurement supply,E2E,Happy path for MRP shortage to procurement supply,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-003-E2E-02,MFG-JRN-003,MRP shortage to procurement supply,E2E,Permission/concurrency/validation failure for MRP shortage to procurement supply,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-003-E2E-03,MFG-JRN-003,MRP shortage to procurement supply,E2E,Retry/reversal/reconciliation for MRP shortage to procurement supply,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-003-UAT-01,MFG-JRN-003,MRP shortage to procurement supply,UAT,Primary business-role acceptance for MRP shortage to procurement supply,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-003-UAT-02,MFG-JRN-003,MRP shortage to procurement supply,UAT,Exception/recovery business-role acceptance for MRP shortage to procurement supply,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-004-E2E-01,MFG-JRN-004,Release to material issue and WIP,E2E,Happy path for Release to material issue and WIP,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-004-E2E-02,MFG-JRN-004,Release to material issue and WIP,E2E,Permission/concurrency/validation failure for Release to material issue and WIP,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-004-E2E-03,MFG-JRN-004,Release to material issue and WIP,E2E,Retry/reversal/reconciliation for Release to material issue and WIP,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-004-UAT-01,MFG-JRN-004,Release to material issue and WIP,UAT,Primary business-role acceptance for Release to material issue and WIP,PLANNED,NOT_EXECUTED_PLANNING_ONLY
MFG-JRN-004-UAT-02,MFG-JRN-004,Release to material issue and WIP,UAT,Exception/recovery business-role acceptance for Release to material issue and WIP,PLANNED,NOT_EXECUTED_PLANNING_ONLY
