feature_id,feature_name,module,dossier_path,capability_requirement_ids,flow_requirement_ids,business_rule_ids,data_requirement_ids,validation_ids,calculation_ids,ux_ids,security_ids,integration_ids,api_ids,e2e_ids,uat_ids,semantic_review_status,mobile_classification,implementation_authorization,semantic_subcapability_count,flow_state_review_status,pass_c_flow_ids,pass_c_transition_ids
F011,Probability and expected revenue,CRM,docs\03-modules\crm\features\F011-probability-and-expected-revenue.md,F011-CAP-001;F011-CAP-002;F011-CAP-003,F011-FLOW-001;F011-FLOW-002,F011-BR-001;F011-BR-002,F011-DATA-001;F011-DATA-002,F011-VAL-001;F011-VAL-002,F011-CALC-001,F011-UX-001;F011-UX-002;F011-UX-003,F011-SEC-001;F011-SEC-002,F011-INT-001;F011-INT-002,F011-API-001;F011-API-002,F011-E2E-001;F011-E2E-002,F011-UAT-001;F011-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F011-PFC-01;F011-PFC-02;F011-PFC-03;F011-PFC-04;F011-PFC-05;F011-PFC-06;F011-PFC-07;F011-PFC-08;F011-PFC-09;F011-PFC-10,F011-STM-01;F011-STM-02;F011-STM-03;F011-STM-04;F011-STM-05
F012,Sales stages,CRM,docs\03-modules\crm\features\F012-sales-stages.md,F012-CAP-001;F012-CAP-002;F012-CAP-003,F012-FLOW-001;F012-FLOW-002,F012-BR-001;F012-BR-002,F012-DATA-001;F012-DATA-002,F012-VAL-001;F012-VAL-002,F012-CALC-001,F012-UX-001;F012-UX-002;F012-UX-003,F012-SEC-001;F012-SEC-002,F012-INT-001;F012-INT-002,F012-API-001;F012-API-002,F012-E2E-001;F012-E2E-002,F012-UAT-001;F012-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F012-PFC-01;F012-PFC-02;F012-PFC-03;F012-PFC-04;F012-PFC-05;F012-PFC-06;F012-PFC-07;F012-PFC-08;F012-PFC-09;F012-PFC-10,F012-STM-01;F012-STM-02;F012-STM-03;F012-STM-04;F012-STM-05
F013,Calls,CRM,docs\03-modules\crm\features\F013-calls.md,F013-CAP-001;F013-CAP-002;F013-CAP-003,F013-FLOW-001;F013-FLOW-002,F013-BR-001;F013-BR-002,F013-DATA-001;F013-DATA-002,F013-VAL-001;F013-VAL-002,F013-CALC-001,F013-UX-001;F013-UX-002;F013-UX-003,F013-SEC-001;F013-SEC-002,F013-INT-001;F013-INT-002,F013-API-001;F013-API-002,F013-E2E-001;F013-E2E-002,F013-UAT-001;F013-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F013-PFC-01;F013-PFC-02;F013-PFC-03;F013-PFC-04;F013-PFC-05;F013-PFC-06;F013-PFC-07;F013-PFC-08;F013-PFC-09;F013-PFC-10,F013-STM-01;F013-STM-02;F013-STM-03;F013-STM-04;F013-STM-05
F014,Meetings,CRM,docs\03-modules\crm\features\F014-meetings.md,F014-CAP-001;F014-CAP-002;F014-CAP-003,F014-FLOW-001;F014-FLOW-002,F014-BR-001;F014-BR-002,F014-DATA-001;F014-DATA-002,F014-VAL-001;F014-VAL-002,F014-CALC-001,F014-UX-001;F014-UX-002;F014-UX-003,F014-SEC-001;F014-SEC-002,F014-INT-001;F014-INT-002,F014-API-001;F014-API-002,F014-E2E-001;F014-E2E-002,F014-UAT-001;F014-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F014-PFC-01;F014-PFC-02;F014-PFC-03;F014-PFC-04;F014-PFC-05;F014-PFC-06;F014-PFC-07;F014-PFC-08;F014-PFC-09;F014-PFC-10,F014-STM-01;F014-STM-02;F014-STM-03;F014-STM-04;F014-STM-05
F015,Tasks,CRM,docs\03-modules\crm\features\F015-tasks.md,F015-CAP-001;F015-CAP-002;F015-CAP-003,F015-FLOW-001;F015-FLOW-002,F015-BR-001;F015-BR-002,F015-DATA-001;F015-DATA-002,F015-VAL-001;F015-VAL-002,F015-CALC-001,F015-UX-001;F015-UX-002;F015-UX-003,F015-SEC-001;F015-SEC-002,F015-INT-001;F015-INT-002,F015-API-001;F015-API-002,F015-E2E-001;F015-E2E-002,F015-UAT-001;F015-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F015-PFC-01;F015-PFC-02;F015-PFC-03;F015-PFC-04;F015-PFC-05;F015-PFC-06;F015-PFC-07;F015-PFC-08;F015-PFC-09;F015-PFC-10,F015-STM-01;F015-STM-02;F015-STM-03;F015-STM-04;F015-STM-05
F016,Follow-ups and reminders,CRM,docs\03-modules\crm\features\F016-follow-ups-and-reminders.md,F016-CAP-001;F016-CAP-002;F016-CAP-003,F016-FLOW-001;F016-FLOW-002,F016-BR-001;F016-BR-002,F016-DATA-001;F016-DATA-002,F016-VAL-001;F016-VAL-002,F016-CALC-001,F016-UX-001;F016-UX-002;F016-UX-003,F016-SEC-001;F016-SEC-002,F016-INT-001;F016-INT-002,F016-API-001;F016-API-002,F016-E2E-001;F016-E2E-002,F016-UAT-001;F016-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F016-PFC-01;F016-PFC-02;F016-PFC-03;F016-PFC-04;F016-PFC-05;F016-PFC-06;F016-PFC-07;F016-PFC-08;F016-PFC-09;F016-PFC-10,F016-STM-01;F016-STM-02;F016-STM-03;F016-STM-04;F016-STM-05
F017,Notes and attachments,CRM,docs\03-modules\crm\features\F017-notes-and-attachments.md,F017-CAP-001;F017-CAP-002;F017-CAP-003,F017-FLOW-001;F017-FLOW-002,F017-BR-001;F017-BR-002,F017-DATA-001;F017-DATA-002,F017-VAL-001;F017-VAL-002,F017-CALC-001,F017-UX-001;F017-UX-002;F017-UX-003,F017-SEC-001;F017-SEC-002,F017-INT-001;F017-INT-002,F017-API-001;F017-API-002,F017-E2E-001;F017-E2E-002,F017-UAT-001;F017-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F017-PFC-01;F017-PFC-02;F017-PFC-03;F017-PFC-04;F017-PFC-05;F017-PFC-06;F017-PFC-07;F017-PFC-08;F017-PFC-09;F017-PFC-10,F017-STM-01;F017-STM-02;F017-STM-03;F017-STM-04;F017-STM-05
F018,Email history,CRM,docs\03-modules\crm\features\F018-email-history.md,F018-CAP-001;F018-CAP-002;F018-CAP-003,F018-FLOW-001;F018-FLOW-002,F018-BR-001;F018-BR-002,F018-DATA-001;F018-DATA-002,F018-VAL-001;F018-VAL-002,F018-CALC-001,F018-UX-001;F018-UX-002;F018-UX-003,F018-SEC-001;F018-SEC-002,F018-INT-001;F018-INT-002,F018-API-001;F018-API-002,F018-E2E-001;F018-E2E-002,F018-UAT-001;F018-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F018-PFC-01;F018-PFC-02;F018-PFC-03;F018-PFC-04;F018-PFC-05;F018-PFC-06;F018-PFC-07;F018-PFC-08;F018-PFC-09;F018-PFC-10,F018-STM-01;F018-STM-02;F018-STM-03;F018-STM-04;F018-STM-05
F019,Activity timeline,CRM,docs\03-modules\crm\features\F019-activity-timeline.md,F019-CAP-001;F019-CAP-002;F019-CAP-003,F019-FLOW-001;F019-FLOW-002,F019-BR-001;F019-BR-002,F019-DATA-001;F019-DATA-002,F019-VAL-001;F019-VAL-002,F019-CALC-001,F019-UX-001;F019-UX-002;F019-UX-003,F019-SEC-001;F019-SEC-002,F019-INT-001;F019-INT-002,F019-API-001;F019-API-002,F019-E2E-001;F019-E2E-002,F019-UAT-001;F019-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F019-PFC-01;F019-PFC-02;F019-PFC-03;F019-PFC-04;F019-PFC-05;F019-PFC-06;F019-PFC-07;F019-PFC-08;F019-PFC-09;F019-PFC-10,F019-STM-01;F019-STM-02;F019-STM-03;F019-STM-04;F019-STM-05
F020,Territories and sales teams,CRM,docs\03-modules\crm\features\F020-territories-and-sales-teams.md,F020-CAP-001;F020-CAP-002;F020-CAP-003,F020-FLOW-001;F020-FLOW-002,F020-BR-001;F020-BR-002,F020-DATA-001;F020-DATA-002,F020-VAL-001;F020-VAL-002,F020-CALC-001,F020-UX-001;F020-UX-002;F020-UX-003,F020-SEC-001;F020-SEC-002,F020-INT-001;F020-INT-002,F020-API-001;F020-API-002,F020-E2E-001;F020-E2E-002,F020-UAT-001;F020-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F020-PFC-01;F020-PFC-02;F020-PFC-03;F020-PFC-04;F020-PFC-05;F020-PFC-06;F020-PFC-07;F020-PFC-08;F020-PFC-09;F020-PFC-10,F020-STM-01;F020-STM-02;F020-STM-03;F020-STM-04;F020-STM-05
F021,Lead import and export,CRM,docs\03-modules\crm\features\F021-lead-import-and-export.md,F021-CAP-001;F021-CAP-002;F021-CAP-003,F021-FLOW-001;F021-FLOW-002,F021-BR-001;F021-BR-002,F021-DATA-001;F021-DATA-002,F021-VAL-001;F021-VAL-002,F021-CALC-001,F021-UX-001;F021-UX-002;F021-UX-003,F021-SEC-001;F021-SEC-002,F021-INT-001;F021-INT-002,F021-API-001;F021-API-002,F021-E2E-001;F021-E2E-002,F021-UAT-001;F021-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F021-PFC-01;F021-PFC-02;F021-PFC-03;F021-PFC-04;F021-PFC-05;F021-PFC-06;F021-PFC-07;F021-PFC-08;F021-PFC-09;F021-PFC-10,F021-STM-01;F021-STM-02;F021-STM-03;F021-STM-04;F021-STM-05
F022,Lead-to-opportunity conversion,CRM,docs\03-modules\crm\features\F022-lead-to-opportunity-conversion.md,F022-CAP-001;F022-CAP-002;F022-CAP-003,F022-FLOW-001;F022-FLOW-002,F022-BR-001;F022-BR-002,F022-DATA-001;F022-DATA-002,F022-VAL-001;F022-VAL-002,F022-CALC-001,F022-UX-001;F022-UX-002;F022-UX-003,F022-SEC-001;F022-SEC-002,F022-INT-001;F022-INT-002,F022-API-001;F022-API-002,F022-E2E-001;F022-E2E-002,F022-UAT-001;F022-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F022-PFC-01;F022-PFC-02;F022-PFC-03;F022-PFC-04;F022-PFC-05;F022-PFC-06;F022-PFC-07;F022-PFC-08;F022-PFC-09;F022-PFC-10,F022-STM-01;F022-STM-02;F022-STM-03;F022-STM-04;F022-STM-05
F023,Opportunity-to-quotation conversion,CRM,docs\03-modules\crm\features\F023-opportunity-to-quotation-conversion.md,F023-CAP-001;F023-CAP-002;F023-CAP-003,F023-FLOW-001;F023-FLOW-002,F023-BR-001;F023-BR-002,F023-DATA-001;F023-DATA-002,F023-VAL-001;F023-VAL-002,F023-CALC-001,F023-UX-001;F023-UX-002;F023-UX-003,F023-SEC-001;F023-SEC-002,F023-INT-001;F023-INT-002,F023-API-001;F023-API-002,F023-E2E-001;F023-E2E-002,F023-UAT-001;F023-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F023-PFC-01;F023-PFC-02;F023-PFC-03;F023-PFC-04;F023-PFC-05;F023-PFC-06;F023-PFC-07;F023-PFC-08;F023-PFC-09;F023-PFC-10,F023-STM-01;F023-STM-02;F023-STM-03;F023-STM-04;F023-STM-05
F024,Pipeline dashboard,CRM,docs\03-modules\crm\features\F024-pipeline-dashboard.md,F024-CAP-001;F024-CAP-002;F024-CAP-003,F024-FLOW-001;F024-FLOW-002,F024-BR-001;F024-BR-002,F024-DATA-001;F024-DATA-002,F024-VAL-001;F024-VAL-002,F024-CALC-001,F024-UX-001;F024-UX-002;F024-UX-003,F024-SEC-001;F024-SEC-002,F024-INT-001;F024-INT-002,F024-API-001;F024-API-002,F024-E2E-001;F024-E2E-002,F024-UAT-001;F024-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F024-PFC-01;F024-PFC-02;F024-PFC-03;F024-PFC-04;F024-PFC-05;F024-PFC-06;F024-PFC-07;F024-PFC-08;F024-PFC-09;F024-PFC-10,F024-STM-01;F024-STM-02;F024-STM-03;F024-STM-04;F024-STM-05
F025,Sales forecast,CRM,docs\03-modules\crm\features\F025-sales-forecast.md,F025-CAP-001;F025-CAP-002;F025-CAP-003,F025-FLOW-001;F025-FLOW-002,F025-BR-001;F025-BR-002,F025-DATA-001;F025-DATA-002,F025-VAL-001;F025-VAL-002,F025-CALC-001,F025-UX-001;F025-UX-002;F025-UX-003,F025-SEC-001;F025-SEC-002,F025-INT-001;F025-INT-002,F025-API-001;F025-API-002,F025-E2E-001;F025-E2E-002,F025-UAT-001;F025-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F025-PFC-01;F025-PFC-02;F025-PFC-03;F025-PFC-04;F025-PFC-05;F025-PFC-06;F025-PFC-07;F025-PFC-08;F025-PFC-09;F025-PFC-10,F025-STM-01;F025-STM-02;F025-STM-03;F025-STM-04;F025-STM-05
F026,Won / lost reasons,CRM,docs\03-modules\crm\features\F026-won-lost-reasons.md,F026-CAP-001;F026-CAP-002;F026-CAP-003,F026-FLOW-001;F026-FLOW-002,F026-BR-001;F026-BR-002,F026-DATA-001;F026-DATA-002,F026-VAL-001;F026-VAL-002,F026-CALC-001,F026-UX-001;F026-UX-002;F026-UX-003,F026-SEC-001;F026-SEC-002,F026-INT-001;F026-INT-002,F026-API-001;F026-API-002,F026-E2E-001;F026-E2E-002,F026-UAT-001;F026-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F026-PFC-01;F026-PFC-02;F026-PFC-03;F026-PFC-04;F026-PFC-05;F026-PFC-06;F026-PFC-07;F026-PFC-08;F026-PFC-09;F026-PFC-10,F026-STM-01;F026-STM-02;F026-STM-03;F026-STM-04;F026-STM-05
F027,Basic lead scoring,CRM,docs\03-modules\crm\features\F027-basic-lead-scoring.md,F027-CAP-001;F027-CAP-002;F027-CAP-003,F027-FLOW-001;F027-FLOW-002,F027-BR-001;F027-BR-002,F027-DATA-001;F027-DATA-002,F027-VAL-001;F027-VAL-002,F027-CALC-001,F027-UX-001;F027-UX-002;F027-UX-003,F027-SEC-001;F027-SEC-002,F027-INT-001;F027-INT-002,F027-API-001;F027-API-002,F027-E2E-001;F027-E2E-002,F027-UAT-001;F027-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F027-PFC-01;F027-PFC-02;F027-PFC-03;F027-PFC-04;F027-PFC-05;F027-PFC-06;F027-PFC-07;F027-PFC-08;F027-PFC-09;F027-PFC-10,F027-STM-01;F027-STM-02;F027-STM-03;F027-STM-04;F027-STM-05
F028,Custom fields and tags,CRM,docs\03-modules\crm\features\F028-custom-fields-and-tags.md,F028-CAP-001;F028-CAP-002;F028-CAP-003,F028-FLOW-001;F028-FLOW-002,F028-BR-001;F028-BR-002,F028-DATA-001;F028-DATA-002,F028-VAL-001;F028-VAL-002,F028-CALC-001,F028-UX-001;F028-UX-002;F028-UX-003,F028-SEC-001;F028-SEC-002,F028-INT-001;F028-INT-002,F028-API-001;F028-API-002,F028-E2E-001;F028-E2E-002,F028-UAT-001;F028-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F028-PFC-01;F028-PFC-02;F028-PFC-03;F028-PFC-04;F028-PFC-05;F028-PFC-06;F028-PFC-07;F028-PFC-08;F028-PFC-09;F028-PFC-10,F028-STM-01;F028-STM-02;F028-STM-03;F028-STM-04;F028-STM-05
F029,Bulk actions,CRM,docs\03-modules\crm\features\F029-bulk-actions.md,F029-CAP-001;F029-CAP-002;F029-CAP-003,F029-FLOW-001;F029-FLOW-002,F029-BR-001;F029-BR-002,F029-DATA-001;F029-DATA-002,F029-VAL-001;F029-VAL-002,F029-CALC-001,F029-UX-001;F029-UX-002;F029-UX-003,F029-SEC-001;F029-SEC-002,F029-INT-001;F029-INT-002,F029-API-001;F029-API-002,F029-E2E-001;F029-E2E-002,F029-UAT-001;F029-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F029-PFC-01;F029-PFC-02;F029-PFC-03;F029-PFC-04;F029-PFC-05;F029-PFC-06;F029-PFC-07;F029-PFC-08;F029-PFC-09;F029-PFC-10,F029-STM-01;F029-STM-02;F029-STM-03;F029-STM-04;F029-STM-05
F030,CRM reports,CRM,docs\03-modules\crm\features\F030-crm-reports.md,F030-CAP-001;F030-CAP-002;F030-CAP-003,F030-FLOW-001;F030-FLOW-002,F030-BR-001;F030-BR-002,F030-DATA-001;F030-DATA-002,F030-VAL-001;F030-VAL-002,F030-CALC-001,F030-UX-001;F030-UX-002;F030-UX-003,F030-SEC-001;F030-SEC-002,F030-INT-001;F030-INT-002,F030-API-001;F030-API-002,F030-E2E-001;F030-E2E-002,F030-UAT-001;F030-UAT-002,APPROVED,TO_BE_FROZEN_FROM_DOSSIER,BLOCKED_UNTIL_PROGRAM_GATE_PASS,8,APPROVED,F030-PFC-01;F030-PFC-02;F030-PFC-03;F030-PFC-04;F030-PFC-05;F030-PFC-06;F030-PFC-07;F030-PFC-08;F030-PFC-09;F030-PFC-10,F030-STM-01;F030-STM-02;F030-STM-03;F030-STM-04;F030-STM-05
