semantic_id,feature_id,module,feature_name,semantic_family,axis,title,normative_scope,classification,mandatory,owner_feature_id,shared_platform_dependencies,cross_module_context,acceptance_condition,status,reviewed_on
F004-SEM-01,F004,CRM,Lead sources,master_config,CORE,"Lead sources — Definition, lifecycle and active/inactive semantics","Define creation, uniqueness, lifecycle, effective use and archival without destroying historical references. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F004,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F004-SEM-02,F004,CRM,Lead sources,master_config,DATA,"Lead sources — Identity, hierarchy and reference integrity","Freeze canonical identifiers, parent/child or classification relationships, required fields, deduplication and historical reference behavior.",B_EXISTING_FID_SUBCAPABILITY,YES,F004,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F004-SEM-03,F004,CRM,Lead sources,master_config,RULE,"Lead sources — Defaults, precedence and effective dating","Define configuration scope, defaults, overrides, precedence, future-dated changes and non-retroactive history. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F004,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F004-SEM-04,F004,CRM,Lead sources,master_config,SEC,Lead sources — Administration and field-level authority,"Separate view/use/manage authority, sensitive fields, cross-company scope and unauthorized reference prevention.",B_EXISTING_FID_SUBCAPABILITY,YES,F004,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F004-SEM-05,F004,CRM,Lead sources,master_config,UX,"Lead sources — Search, selection, maintenance and bulk administration","Cover list/search/select/create/edit/archive, bulk changes, imports, exports, conflicts and accessible responsive maintenance.",B_EXISTING_FID_SUBCAPABILITY,YES,F004,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F004-SEM-06,F004,CRM,Lead sources,master_config,INT,Lead sources — Downstream consumption contract,Define how dependent modules reference this configuration without duplicating ownership or mutating private tables. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.,B_EXISTING_FID_SUBCAPABILITY,YES,F004,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F004-SEM-07,F004,CRM,Lead sources,master_config,EXC,"Lead sources — Deletion, merge, duplicate and stale-reference recovery","Handle duplicate definitions, attempted delete-in-use, merge/remap where legal and deterministic operator errors. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F004,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F004-SEM-08,F004,CRM,Lead sources,master_config,VER,"Lead sources — Audit, reporting and verification evidence","Require before/after history, usage visibility, negative tests, migration tests and UAT proving downstream consistency.",B_EXISTING_FID_SUBCAPABILITY,YES,F004,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F005-SEM-01,F005,CRM,Lead assignment,decision,CORE,"Lead assignment — Decision request, eligibility and lifecycle","Define trigger, candidate records, pending/approved/rejected/reassigned/escalated states and terminal/reopen behavior. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F005,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F005-SEM-02,F005,CRM,Lead assignment,decision,DATA,"Lead assignment — Decision context, evidence, reason and delegation","Store decision inputs, approver/assignee, reasons, evidence, effective time, delegation/escalation and immutable history.",B_EXISTING_FID_SUBCAPABILITY,YES,F005,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F005-SEM-03,F005,CRM,Lead assignment,decision,RULE,"Lead assignment — Deterministic routing, thresholds and precedence","Define routing/ranking/eligibility rules, thresholds, calendars, fallback, overrides and tie-breaking. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F005,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F005-SEM-04,F005,CRM,Lead assignment,decision,SEC,"Lead assignment — Authority, segregation of duties and override governance","Block self-approval where prohibited, scope decisions by role/company/team and audit privileged overrides.",B_EXISTING_FID_SUBCAPABILITY,YES,F005,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F005-SEM-05,F005,CRM,Lead assignment,decision,UX,"Lead assignment — Queue, action, explanation and exception experience","Provide work queues, bulk-safe actions, reasons, SLA/age, conflict feedback, responsive/mobile approval and accessibility.",B_EXISTING_FID_SUBCAPABILITY,YES,F005,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F005-SEM-06,F005,CRM,Lead assignment,decision,INT,Lead assignment — Trigger and downstream side-effect contracts,"Define source event, public command, notifications, downstream state and exactly-once/reconciliation behavior. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F005,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F005-SEM-07,F005,CRM,Lead assignment,decision,EXC,"Lead assignment — Race, withdrawal, supersession and retry recovery","Handle simultaneous actors, changed source state, withdrawn request, duplicate job, retry and manual exception resolution. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F005,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F005-SEM-08,F005,CRM,Lead assignment,decision,VER,Lead assignment — Decision audit and negative-path verification,"Require routing tests, SoD tests, concurrency tests, notification/outbox tests, E2E and UAT evidence.",B_EXISTING_FID_SUBCAPABILITY,YES,F005,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F006-SEM-01,F006,CRM,Lead qualification,decision,CORE,"Lead qualification — Decision request, eligibility and lifecycle","Define trigger, candidate records, pending/approved/rejected/reassigned/escalated states and terminal/reopen behavior. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F006,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F006-SEM-02,F006,CRM,Lead qualification,decision,DATA,"Lead qualification — Decision context, evidence, reason and delegation","Store decision inputs, approver/assignee, reasons, evidence, effective time, delegation/escalation and immutable history.",B_EXISTING_FID_SUBCAPABILITY,YES,F006,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F006-SEM-03,F006,CRM,Lead qualification,decision,RULE,"Lead qualification — Deterministic routing, thresholds and precedence","Define routing/ranking/eligibility rules, thresholds, calendars, fallback, overrides and tie-breaking. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F006,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F006-SEM-04,F006,CRM,Lead qualification,decision,SEC,"Lead qualification — Authority, segregation of duties and override governance","Block self-approval where prohibited, scope decisions by role/company/team and audit privileged overrides.",B_EXISTING_FID_SUBCAPABILITY,YES,F006,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F006-SEM-05,F006,CRM,Lead qualification,decision,UX,"Lead qualification — Queue, action, explanation and exception experience","Provide work queues, bulk-safe actions, reasons, SLA/age, conflict feedback, responsive/mobile approval and accessibility.",B_EXISTING_FID_SUBCAPABILITY,YES,F006,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F006-SEM-06,F006,CRM,Lead qualification,decision,INT,Lead qualification — Trigger and downstream side-effect contracts,"Define source event, public command, notifications, downstream state and exactly-once/reconciliation behavior. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F006,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F006-SEM-07,F006,CRM,Lead qualification,decision,EXC,"Lead qualification — Race, withdrawal, supersession and retry recovery","Handle simultaneous actors, changed source state, withdrawn request, duplicate job, retry and manual exception resolution. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F006,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F006-SEM-08,F006,CRM,Lead qualification,decision,VER,Lead qualification — Decision audit and negative-path verification,"Require routing tests, SoD tests, concurrency tests, notification/outbox tests, E2E and UAT evidence.",B_EXISTING_FID_SUBCAPABILITY,YES,F006,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F007-SEM-01,F007,CRM,Lead stages and statuses,master_config,CORE,"Lead stages and statuses — Definition, lifecycle and active/inactive semantics","Define creation, uniqueness, lifecycle, effective use and archival without destroying historical references. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F007,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F007-SEM-02,F007,CRM,Lead stages and statuses,master_config,DATA,"Lead stages and statuses — Identity, hierarchy and reference integrity","Freeze canonical identifiers, parent/child or classification relationships, required fields, deduplication and historical reference behavior.",B_EXISTING_FID_SUBCAPABILITY,YES,F007,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F007-SEM-03,F007,CRM,Lead stages and statuses,master_config,RULE,"Lead stages and statuses — Defaults, precedence and effective dating","Define configuration scope, defaults, overrides, precedence, future-dated changes and non-retroactive history. Lead capture/identity/qualification/assignment/conversion context must remain distinct from customer/account truth.",B_EXISTING_FID_SUBCAPABILITY,YES,F007,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F007-SEM-04,F007,CRM,Lead stages and statuses,master_config,SEC,Lead stages and statuses — Administration and field-level authority,"Separate view/use/manage authority, sensitive fields, cross-company scope and unauthorized reference prevention.",B_EXISTING_FID_SUBCAPABILITY,YES,F007,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
F007-SEM-05,F007,CRM,Lead stages and statuses,master_config,UX,"Lead stages and statuses — Search, selection, maintenance and bulk administration","Cover list/search/select/create/edit/archive, bulk changes, imports, exports, conflicts and accessible responsive maintenance.",B_EXISTING_FID_SUBCAPABILITY,YES,F007,SP008;SP009;SP014;SP015;SP017;SP018;SP020;SP021;SP023;SP024;SP030;SP033;SP036,Sales;Support / Customer Service,Feature dossier and implementation manifest must address this semantic scope with requirement/test evidence; absence blocks FEATURE_READY.,FROZEN,2026-08-31
