feature_id,feature_name,module,review_status,review_questions,owner_ai_role
F001,Leads,CRM,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F080,Goods receipt / GRN,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F081,Partial receipts,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F082,Rejected receipts,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F083,Purchase returns,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F084,Supplier invoices,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F085,2-way matching,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F086,3-way matching: PO – GRN – Invoice,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F087,Landed costs,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F088,Payment terms,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F089,Supplier performance,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F090,Supplier rating,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F091,Supplier lead times,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F092,Spend analysis,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F093,Purchase history,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F094,Reorder-generated purchasing,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F095,Subcontract purchasing,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F096,Procurement dashboard,Procurement,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F097,Item master,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F098,Item categories,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F099,SKUs,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F100,Variants,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F101,Multiple units of measure,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F102,UOM conversions,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F103,Warehouses,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F104,Warehouse locations and bins,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F105,Multi-warehouse inventory,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F106,Real-time stock balance,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F107,Stock ledger,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F108,Goods receipts,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F109,Goods issues,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F110,Internal transfers,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F111,Stock adjustments,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F112,Stock reservations,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F113,Available stock,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F114,Available-to-promise,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F115,Batch tracking,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F116,Lot tracking,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F117,Serial-number tracking,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F118,Expiry dates,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F119,Barcode scanning,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F120,Cycle counting,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F121,Physical inventory,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F122,Reorder point,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F123,Minimum / maximum stock,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F124,Safety stock,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F125,Automatic replenishment,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F126,Negative-stock control,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F127,FIFO valuation,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F128,Weighted / moving-average valuation,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F129,Standard costing,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F130,Inventory valuation,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F131,Landed cost allocation,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F132,Stock aging,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F133,Slow-moving inventory,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F134,Dead-stock reporting,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F135,Picking,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F136,Packing,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F137,Shipping,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F138,Returns,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F139,Damaged stock,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F140,Quarantine and quality-held stock,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F141,Batch / serial traceability,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F142,Inventory movement history,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F143,Stock reports,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F144,Inventory dashboard,Stock / Inventory,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F145,Bill of Materials (BOM),Manufacturing,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F146,Multi-level BOM,Manufacturing,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F147,BOM versions,Manufacturing,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F148,BOM revisions,Manufacturing,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F149,Alternate BOM,Manufacturing,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F150,Routings,Manufacturing,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F151,Operations,Manufacturing,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
F152,Work centres,Manufacturing,PENDING_RED_TEAM,feature-specific invariants/state machine; edge/concurrency/reversal; accounting/stock/payroll consequences; UX exceptions; negative tests,Module Red-Team AI
