feature_id,working_status,readiness_gate,research,requirements,design,domain,security,implementation,integration,e2e,responsive,accessibility,visual,uat,product_ready,blocking_issues,last_reviewed_on
F089,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F090,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F091,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F092,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F093,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F094,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F095,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F096,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,NOT_READY,READY,READY,READY,READY,READY,NO,"Implementation, integration execution and product UAT remain uncertified by documentation Pass 3.",2026-08-30
F097,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F098,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F099,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F100,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F101,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F102,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F103,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F104,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F105,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F106,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F107,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F108,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F109,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F110,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F111,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F112,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F113,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F114,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F115,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F116,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F117,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F118,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F119,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F120,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F121,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F122,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F123,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F124,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F125,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
F126,SPECIFICATION_READY,SPECIFICATION_READY,READY,READY,READY,READY,READY,NOT_READY,READY,READY,READY,READY,READY,READY,NO,Implementation/product verification remains a later phase; Pass 4 certifies specification only.,2026-08-30
