feature_id,feature_name,module,web_classification,mobile_classification,offline_classification,desktop_authority,accessibility,status
F047,Partial fulfilment,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F048,Backorders,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F049,Delivery and shipment,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F050,Sales invoices,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F051,Partial invoicing,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F052,Advance payments,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F053,Credit limits,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F054,Customer returns,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F055,Credit notes and refunds,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F056,Drop shipping,Sales,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F057,Sales commissions,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F058,Payment terms,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F059,Order status tracking,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F060,Sales analytics,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F061,Margin and profitability,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F062,Order-to-cash reporting,Sales,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F063,Supplier master,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F064,Supplier contacts and addresses,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F065,Supplier onboarding,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F066,Supplier categories,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F067,Purchase requisitions,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F068,Requisition approvals,Procurement,FULL_RESPONSIVE,APPROVAL_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F069,RFQ creation,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F070,RFQ to multiple vendors,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F071,Supplier quotations,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F072,Bid comparison,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F073,Supplier selection,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F074,Purchase orders,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F075,PO approvals,Procurement,FULL_RESPONSIVE,APPROVAL_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F076,PO amendments,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F077,Blanket purchase orders,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F078,Purchase agreements and contracts,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F079,Supplier price lists,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F080,Goods receipt / GRN,Procurement,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F081,Partial receipts,Procurement,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F082,Rejected receipts,Procurement,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F083,Purchase returns,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F084,Supplier invoices,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F085,2-way matching,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F086,3-way matching: PO – GRN – Invoice,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F087,Landed costs,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F088,Payment terms,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F089,Supplier performance,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F090,Supplier rating,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F091,Supplier lead times,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F092,Spend analysis,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F093,Purchase history,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F094,Reorder-generated purchasing,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F095,Subcontract purchasing,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F096,Procurement dashboard,Procurement,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F097,Item master,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F098,Item categories,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F099,SKUs,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F100,Variants,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F101,Multiple units of measure,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F102,UOM conversions,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F103,Warehouses,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F104,Warehouse locations and bins,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F105,Multi-warehouse inventory,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F106,Real-time stock balance,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F107,Stock ledger,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F108,Goods receipts,Stock / Inventory,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F109,Goods issues,Stock / Inventory,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F110,Internal transfers,Stock / Inventory,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F111,Stock adjustments,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F112,Stock reservations,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F113,Available stock,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F114,Available-to-promise,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F115,Batch tracking,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F116,Lot tracking,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F117,Serial-number tracking,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F118,Expiry dates,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F119,Barcode scanning,Stock / Inventory,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F120,Cycle counting,Stock / Inventory,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F121,Physical inventory,Stock / Inventory,FULL_RESPONSIVE,FIELD_OPTIMIZED,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F122,Reorder point,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F123,Minimum / maximum stock,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F124,Safety stock,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
F125,Automatic replenishment,Stock / Inventory,FULL_RESPONSIVE,READ_ONLY,OPT_IN_ONLY_WHERE_DOSSIER_REQUIRES,FULL_OPERATOR_EXPERIENCE,WCAG_2_2_AA_INTENT,FROZEN
