transition_id,feature_id,feature_name,module,semantic_family,machine_name,from_state,action,guard,to_state,invalid_transition_behavior,lock_strategy,idempotency_behavior,audit_event,downstream_event,reversal_transition,acceptance_test,status,reviewed_on
F003-STM-01,F003,Contacts,CRM,master_config,F003 implementation planning state machine,DRAFT,activate,"required fields/uniqueness valid; plus F003 permission/scope, semantic RULE/VAL requirements and current effective configuration.",ACTIVE,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F003 transition DRAFT --activate--> ACTIVE with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F003; otherwise reject reversal and document the alternative correction/reopen path.","Test valid DRAFT->ACTIVE, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F003.",FROZEN,2026-08-31
F003-STM-02,F003,Contacts,CRM,master_config,F003 implementation planning state machine,ACTIVE,amend,"effective-dated or allowed mutable fields valid; plus F003 permission/scope, semantic RULE/VAL requirements and current effective configuration.",ACTIVE_UPDATED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F003 transition ACTIVE --amend--> ACTIVE_UPDATED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F003; otherwise reject reversal and document the alternative correction/reopen path.","Test valid ACTIVE->ACTIVE_UPDATED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F003.",FROZEN,2026-08-31
F003-STM-03,F003,Contacts,CRM,master_config,F003 implementation planning state machine,ACTIVE,deactivate,"no blocking dependency or override authorized; plus F003 permission/scope, semantic RULE/VAL requirements and current effective configuration.",INACTIVE,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F003 transition ACTIVE --deactivate--> INACTIVE with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F003; otherwise reject reversal and document the alternative correction/reopen path.","Test valid ACTIVE->INACTIVE, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F003.",FROZEN,2026-08-31
F003-STM-04,F003,Contacts,CRM,master_config,F003 implementation planning state machine,INACTIVE,archive,"retention/dependency rules pass; plus F003 permission/scope, semantic RULE/VAL requirements and current effective configuration.",ARCHIVED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F003 transition INACTIVE --archive--> ARCHIVED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F003; otherwise reject reversal and document the alternative correction/reopen path.","Test valid INACTIVE->ARCHIVED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F003.",FROZEN,2026-08-31
F003-STM-05,F003,Contacts,CRM,master_config,F003 implementation planning state machine,ARCHIVED,restore,"restore policy permits and identifiers remain valid; plus F003 permission/scope, semantic RULE/VAL requirements and current effective configuration.",INACTIVE_RESTORED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F003 transition ARCHIVED --restore--> INACTIVE_RESTORED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F003; otherwise reject reversal and document the alternative correction/reopen path.","Test valid ARCHIVED->INACTIVE_RESTORED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F003.",FROZEN,2026-08-31
F004-STM-01,F004,Lead sources,CRM,master_config,F004 implementation planning state machine,DRAFT,activate,"required fields/uniqueness valid; plus F004 permission/scope, semantic RULE/VAL requirements and current effective configuration.",ACTIVE,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F004 transition DRAFT --activate--> ACTIVE with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F004; otherwise reject reversal and document the alternative correction/reopen path.","Test valid DRAFT->ACTIVE, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F004.",FROZEN,2026-08-31
F004-STM-02,F004,Lead sources,CRM,master_config,F004 implementation planning state machine,ACTIVE,amend,"effective-dated or allowed mutable fields valid; plus F004 permission/scope, semantic RULE/VAL requirements and current effective configuration.",ACTIVE_UPDATED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F004 transition ACTIVE --amend--> ACTIVE_UPDATED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F004; otherwise reject reversal and document the alternative correction/reopen path.","Test valid ACTIVE->ACTIVE_UPDATED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F004.",FROZEN,2026-08-31
F004-STM-03,F004,Lead sources,CRM,master_config,F004 implementation planning state machine,ACTIVE,deactivate,"no blocking dependency or override authorized; plus F004 permission/scope, semantic RULE/VAL requirements and current effective configuration.",INACTIVE,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F004 transition ACTIVE --deactivate--> INACTIVE with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F004; otherwise reject reversal and document the alternative correction/reopen path.","Test valid ACTIVE->INACTIVE, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F004.",FROZEN,2026-08-31
F004-STM-04,F004,Lead sources,CRM,master_config,F004 implementation planning state machine,INACTIVE,archive,"retention/dependency rules pass; plus F004 permission/scope, semantic RULE/VAL requirements and current effective configuration.",ARCHIVED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F004 transition INACTIVE --archive--> ARCHIVED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F004; otherwise reject reversal and document the alternative correction/reopen path.","Test valid INACTIVE->ARCHIVED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F004.",FROZEN,2026-08-31
F004-STM-05,F004,Lead sources,CRM,master_config,F004 implementation planning state machine,ARCHIVED,restore,"restore policy permits and identifiers remain valid; plus F004 permission/scope, semantic RULE/VAL requirements and current effective configuration.",INACTIVE_RESTORED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F004 transition ARCHIVED --restore--> INACTIVE_RESTORED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F004; otherwise reject reversal and document the alternative correction/reopen path.","Test valid ARCHIVED->INACTIVE_RESTORED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F004.",FROZEN,2026-08-31
F005-STM-01,F005,Lead assignment,CRM,decision,F005 implementation planning state machine,REQUESTED,submit,"request complete; plus F005 permission/scope, semantic RULE/VAL requirements and current effective configuration.",PENDING_REVIEW,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F005 transition REQUESTED --submit--> PENDING_REVIEW with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F005; otherwise reject reversal and document the alternative correction/reopen path.","Test valid REQUESTED->PENDING_REVIEW, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F005.",FROZEN,2026-08-31
F005-STM-02,F005,Lead assignment,CRM,decision,F005 implementation planning state machine,PENDING_REVIEW,approve,"authority and SoD pass; plus F005 permission/scope, semantic RULE/VAL requirements and current effective configuration.",APPROVED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F005 transition PENDING_REVIEW --approve--> APPROVED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F005; otherwise reject reversal and document the alternative correction/reopen path.","Test valid PENDING_REVIEW->APPROVED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F005.",FROZEN,2026-08-31
F005-STM-03,F005,Lead assignment,CRM,decision,F005 implementation planning state machine,PENDING_REVIEW,reject,"authorized rejection reason supplied; plus F005 permission/scope, semantic RULE/VAL requirements and current effective configuration.",REJECTED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F005 transition PENDING_REVIEW --reject--> REJECTED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F005; otherwise reject reversal and document the alternative correction/reopen path.","Test valid PENDING_REVIEW->REJECTED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F005.",FROZEN,2026-08-31
F005-STM-04,F005,Lead assignment,CRM,decision,F005 implementation planning state machine,APPROVED,apply,"target state still eligible; plus F005 permission/scope, semantic RULE/VAL requirements and current effective configuration.",APPLIED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F005 transition APPROVED --apply--> APPLIED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F005; otherwise reject reversal and document the alternative correction/reopen path.","Test valid APPROVED->APPLIED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F005.",FROZEN,2026-08-31
F005-STM-05,F005,Lead assignment,CRM,decision,F005 implementation planning state machine,APPLIED,revoke_or_reverse,"controlled correction permitted; plus F005 permission/scope, semantic RULE/VAL requirements and current effective configuration.",REVERSED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F005 transition APPLIED --revoke_or_reverse--> REVERSED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F005; otherwise reject reversal and document the alternative correction/reopen path.","Test valid APPLIED->REVERSED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F005.",FROZEN,2026-08-31
F006-STM-01,F006,Lead qualification,CRM,decision,F006 implementation planning state machine,REQUESTED,submit,"request complete; plus F006 permission/scope, semantic RULE/VAL requirements and current effective configuration.",PENDING_REVIEW,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F006 transition REQUESTED --submit--> PENDING_REVIEW with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F006; otherwise reject reversal and document the alternative correction/reopen path.","Test valid REQUESTED->PENDING_REVIEW, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F006.",FROZEN,2026-08-31
F006-STM-02,F006,Lead qualification,CRM,decision,F006 implementation planning state machine,PENDING_REVIEW,approve,"authority and SoD pass; plus F006 permission/scope, semantic RULE/VAL requirements and current effective configuration.",APPROVED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F006 transition PENDING_REVIEW --approve--> APPROVED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F006; otherwise reject reversal and document the alternative correction/reopen path.","Test valid PENDING_REVIEW->APPROVED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F006.",FROZEN,2026-08-31
F006-STM-03,F006,Lead qualification,CRM,decision,F006 implementation planning state machine,PENDING_REVIEW,reject,"authorized rejection reason supplied; plus F006 permission/scope, semantic RULE/VAL requirements and current effective configuration.",REJECTED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F006 transition PENDING_REVIEW --reject--> REJECTED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F006; otherwise reject reversal and document the alternative correction/reopen path.","Test valid PENDING_REVIEW->REJECTED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F006.",FROZEN,2026-08-31
F006-STM-04,F006,Lead qualification,CRM,decision,F006 implementation planning state machine,APPROVED,apply,"target state still eligible; plus F006 permission/scope, semantic RULE/VAL requirements and current effective configuration.",APPLIED,"Reject server-side with stable error code and permitted-next-actions metadata; do not mutate, emit downstream effect, or silently coerce state.","Use optimistic version compare for ordinary edits; use transaction row/advisory lock when the transition protects scarce quantity, money, approval, numbering, period, payment or other race-sensitive invariant.",Same idempotency/replay key with same payload returns original transition result; conflicting payload for an existing key is rejected and audited.,"Record F006 transition APPROVED --apply--> APPLIED with actor, scope, reason, version and correlation id.",Publish outbox event only after the owning transaction commits when another capability requires the state change; consumer deduplicates by event id/replay key.,"If business reversal applies, execute the controlled compensating path defined by F006; otherwise reject reversal and document the alternative correction/reopen path.","Test valid APPROVED->APPLIED, invalid source state, permission denial, stale version race, duplicate replay and audit/outbox behavior for F006.",FROZEN,2026-08-31
