feature_id,feature_name,module,review_status,semantic_family,required_flow_count,flow_ids,state_transition_count,transition_ids,happy_path,alternate_path,permission_failure,validation_failure,concurrency_conflict,retry_idempotency,reversal_recovery,downstream_failure,reconciliation_closure,review_decision,reviewed_on
F011,Probability and expected revenue,CRM,APPROVED,calculation,10,F011-PFC-01;F011-PFC-02;F011-PFC-03;F011-PFC-04;F011-PFC-05;F011-PFC-06;F011-PFC-07;F011-PFC-08;F011-PFC-09;F011-PFC-10,5,F011-STM-01;F011-STM-02;F011-STM-03;F011-STM-04;F011-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F012,Sales stages,CRM,APPROVED,master_config,10,F012-PFC-01;F012-PFC-02;F012-PFC-03;F012-PFC-04;F012-PFC-05;F012-PFC-06;F012-PFC-07;F012-PFC-08;F012-PFC-09;F012-PFC-10,5,F012-STM-01;F012-STM-02;F012-STM-03;F012-STM-04;F012-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F013,Calls,CRM,APPROVED,operational,10,F013-PFC-01;F013-PFC-02;F013-PFC-03;F013-PFC-04;F013-PFC-05;F013-PFC-06;F013-PFC-07;F013-PFC-08;F013-PFC-09;F013-PFC-10,5,F013-STM-01;F013-STM-02;F013-STM-03;F013-STM-04;F013-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F014,Meetings,CRM,APPROVED,operational,10,F014-PFC-01;F014-PFC-02;F014-PFC-03;F014-PFC-04;F014-PFC-05;F014-PFC-06;F014-PFC-07;F014-PFC-08;F014-PFC-09;F014-PFC-10,5,F014-STM-01;F014-STM-02;F014-STM-03;F014-STM-04;F014-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F015,Tasks,CRM,APPROVED,operational,10,F015-PFC-01;F015-PFC-02;F015-PFC-03;F015-PFC-04;F015-PFC-05;F015-PFC-06;F015-PFC-07;F015-PFC-08;F015-PFC-09;F015-PFC-10,5,F015-STM-01;F015-STM-02;F015-STM-03;F015-STM-04;F015-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F016,Follow-ups and reminders,CRM,APPROVED,operational,10,F016-PFC-01;F016-PFC-02;F016-PFC-03;F016-PFC-04;F016-PFC-05;F016-PFC-06;F016-PFC-07;F016-PFC-08;F016-PFC-09;F016-PFC-10,5,F016-STM-01;F016-STM-02;F016-STM-03;F016-STM-04;F016-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F017,Notes and attachments,CRM,APPROVED,operational,10,F017-PFC-01;F017-PFC-02;F017-PFC-03;F017-PFC-04;F017-PFC-05;F017-PFC-06;F017-PFC-07;F017-PFC-08;F017-PFC-09;F017-PFC-10,5,F017-STM-01;F017-STM-02;F017-STM-03;F017-STM-04;F017-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F018,Email history,CRM,APPROVED,operational,10,F018-PFC-01;F018-PFC-02;F018-PFC-03;F018-PFC-04;F018-PFC-05;F018-PFC-06;F018-PFC-07;F018-PFC-08;F018-PFC-09;F018-PFC-10,5,F018-STM-01;F018-STM-02;F018-STM-03;F018-STM-04;F018-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F019,Activity timeline,CRM,APPROVED,operational,10,F019-PFC-01;F019-PFC-02;F019-PFC-03;F019-PFC-04;F019-PFC-05;F019-PFC-06;F019-PFC-07;F019-PFC-08;F019-PFC-09;F019-PFC-10,5,F019-STM-01;F019-STM-02;F019-STM-03;F019-STM-04;F019-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F020,Territories and sales teams,CRM,APPROVED,operational,10,F020-PFC-01;F020-PFC-02;F020-PFC-03;F020-PFC-04;F020-PFC-05;F020-PFC-06;F020-PFC-07;F020-PFC-08;F020-PFC-09;F020-PFC-10,5,F020-STM-01;F020-STM-02;F020-STM-03;F020-STM-04;F020-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F021,Lead import and export,CRM,APPROVED,operational,10,F021-PFC-01;F021-PFC-02;F021-PFC-03;F021-PFC-04;F021-PFC-05;F021-PFC-06;F021-PFC-07;F021-PFC-08;F021-PFC-09;F021-PFC-10,5,F021-STM-01;F021-STM-02;F021-STM-03;F021-STM-04;F021-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F022,Lead-to-opportunity conversion,CRM,APPROVED,operational,10,F022-PFC-01;F022-PFC-02;F022-PFC-03;F022-PFC-04;F022-PFC-05;F022-PFC-06;F022-PFC-07;F022-PFC-08;F022-PFC-09;F022-PFC-10,5,F022-STM-01;F022-STM-02;F022-STM-03;F022-STM-04;F022-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F023,Opportunity-to-quotation conversion,CRM,APPROVED,document,10,F023-PFC-01;F023-PFC-02;F023-PFC-03;F023-PFC-04;F023-PFC-05;F023-PFC-06;F023-PFC-07;F023-PFC-08;F023-PFC-09;F023-PFC-10,5,F023-STM-01;F023-STM-02;F023-STM-03;F023-STM-04;F023-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F024,Pipeline dashboard,CRM,APPROVED,analytics,10,F024-PFC-01;F024-PFC-02;F024-PFC-03;F024-PFC-04;F024-PFC-05;F024-PFC-06;F024-PFC-07;F024-PFC-08;F024-PFC-09;F024-PFC-10,5,F024-STM-01;F024-STM-02;F024-STM-03;F024-STM-04;F024-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F025,Sales forecast,CRM,APPROVED,analytics,10,F025-PFC-01;F025-PFC-02;F025-PFC-03;F025-PFC-04;F025-PFC-05;F025-PFC-06;F025-PFC-07;F025-PFC-08;F025-PFC-09;F025-PFC-10,5,F025-STM-01;F025-STM-02;F025-STM-03;F025-STM-04;F025-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F026,Won / lost reasons,CRM,APPROVED,operational,10,F026-PFC-01;F026-PFC-02;F026-PFC-03;F026-PFC-04;F026-PFC-05;F026-PFC-06;F026-PFC-07;F026-PFC-08;F026-PFC-09;F026-PFC-10,5,F026-STM-01;F026-STM-02;F026-STM-03;F026-STM-04;F026-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F027,Basic lead scoring,CRM,APPROVED,operational,10,F027-PFC-01;F027-PFC-02;F027-PFC-03;F027-PFC-04;F027-PFC-05;F027-PFC-06;F027-PFC-07;F027-PFC-08;F027-PFC-09;F027-PFC-10,5,F027-STM-01;F027-STM-02;F027-STM-03;F027-STM-04;F027-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F028,Custom fields and tags,CRM,APPROVED,master_config,10,F028-PFC-01;F028-PFC-02;F028-PFC-03;F028-PFC-04;F028-PFC-05;F028-PFC-06;F028-PFC-07;F028-PFC-08;F028-PFC-09;F028-PFC-10,5,F028-STM-01;F028-STM-02;F028-STM-03;F028-STM-04;F028-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F029,Bulk actions,CRM,APPROVED,operational,10,F029-PFC-01;F029-PFC-02;F029-PFC-03;F029-PFC-04;F029-PFC-05;F029-PFC-06;F029-PFC-07;F029-PFC-08;F029-PFC-09;F029-PFC-10,5,F029-STM-01;F029-STM-02;F029-STM-03;F029-STM-04;F029-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F030,CRM reports,CRM,APPROVED,analytics,10,F030-PFC-01;F030-PFC-02;F030-PFC-03;F030-PFC-04;F030-PFC-05;F030-PFC-06;F030-PFC-07;F030-PFC-08;F030-PFC-09;F030-PFC-10,5,F030-STM-01;F030-STM-02;F030-STM-03;F030-STM-04;F030-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F031,Customer master,Sales,APPROVED,master_config,10,F031-PFC-01;F031-PFC-02;F031-PFC-03;F031-PFC-04;F031-PFC-05;F031-PFC-06;F031-PFC-07;F031-PFC-08;F031-PFC-09;F031-PFC-10,5,F031-STM-01;F031-STM-02;F031-STM-03;F031-STM-04;F031-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F032,Customer addresses and contacts,Sales,APPROVED,master_config,10,F032-PFC-01;F032-PFC-02;F032-PFC-03;F032-PFC-04;F032-PFC-05;F032-PFC-06;F032-PFC-07;F032-PFC-08;F032-PFC-09;F032-PFC-10,5,F032-STM-01;F032-STM-02;F032-STM-03;F032-STM-04;F032-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F033,Products and services,Sales,APPROVED,master_config,10,F033-PFC-01;F033-PFC-02;F033-PFC-03;F033-PFC-04;F033-PFC-05;F033-PFC-06;F033-PFC-07;F033-PFC-08;F033-PFC-09;F033-PFC-10,5,F033-STM-01;F033-STM-02;F033-STM-03;F033-STM-04;F033-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F034,Price lists,Sales,APPROVED,master_config,10,F034-PFC-01;F034-PFC-02;F034-PFC-03;F034-PFC-04;F034-PFC-05;F034-PFC-06;F034-PFC-07;F034-PFC-08;F034-PFC-09;F034-PFC-10,5,F034-STM-01;F034-STM-02;F034-STM-03;F034-STM-04;F034-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F035,Customer-specific prices,Sales,APPROVED,operational,10,F035-PFC-01;F035-PFC-02;F035-PFC-03;F035-PFC-04;F035-PFC-05;F035-PFC-06;F035-PFC-07;F035-PFC-08;F035-PFC-09;F035-PFC-10,5,F035-STM-01;F035-STM-02;F035-STM-03;F035-STM-04;F035-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F036,Quotations,Sales,APPROVED,document,10,F036-PFC-01;F036-PFC-02;F036-PFC-03;F036-PFC-04;F036-PFC-05;F036-PFC-06;F036-PFC-07;F036-PFC-08;F036-PFC-09;F036-PFC-10,5,F036-STM-01;F036-STM-02;F036-STM-03;F036-STM-04;F036-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F037,Quotation versions and revisions,Sales,APPROVED,document,10,F037-PFC-01;F037-PFC-02;F037-PFC-03;F037-PFC-04;F037-PFC-05;F037-PFC-06;F037-PFC-07;F037-PFC-08;F037-PFC-09;F037-PFC-10,5,F037-STM-01;F037-STM-02;F037-STM-03;F037-STM-04;F037-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F038,Quotation expiry,Sales,APPROVED,document,10,F038-PFC-01;F038-PFC-02;F038-PFC-03;F038-PFC-04;F038-PFC-05;F038-PFC-06;F038-PFC-07;F038-PFC-08;F038-PFC-09;F038-PFC-10,5,F038-STM-01;F038-STM-02;F038-STM-03;F038-STM-04;F038-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F039,Discounts,Sales,APPROVED,operational,10,F039-PFC-01;F039-PFC-02;F039-PFC-03;F039-PFC-04;F039-PFC-05;F039-PFC-06;F039-PFC-07;F039-PFC-08;F039-PFC-09;F039-PFC-10,5,F039-STM-01;F039-STM-02;F039-STM-03;F039-STM-04;F039-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F040,Taxes,Sales,APPROVED,calculation,10,F040-PFC-01;F040-PFC-02;F040-PFC-03;F040-PFC-04;F040-PFC-05;F040-PFC-06;F040-PFC-07;F040-PFC-08;F040-PFC-09;F040-PFC-10,5,F040-STM-01;F040-STM-02;F040-STM-03;F040-STM-04;F040-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F041,Approval workflow,Sales,APPROVED,decision,10,F041-PFC-01;F041-PFC-02;F041-PFC-03;F041-PFC-04;F041-PFC-05;F041-PFC-06;F041-PFC-07;F041-PFC-08;F041-PFC-09;F041-PFC-10,5,F041-STM-01;F041-STM-02;F041-STM-03;F041-STM-04;F041-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F042,Sales orders,Sales,APPROVED,document,10,F042-PFC-01;F042-PFC-02;F042-PFC-03;F042-PFC-04;F042-PFC-05;F042-PFC-06;F042-PFC-07;F042-PFC-08;F042-PFC-09;F042-PFC-10,5,F042-STM-01;F042-STM-02;F042-STM-03;F042-STM-04;F042-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F043,Order confirmation,Sales,APPROVED,document,10,F043-PFC-01;F043-PFC-02;F043-PFC-03;F043-PFC-04;F043-PFC-05;F043-PFC-06;F043-PFC-07;F043-PFC-08;F043-PFC-09;F043-PFC-10,5,F043-STM-01;F043-STM-02;F043-STM-03;F043-STM-04;F043-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F044,Order amendments,Sales,APPROVED,document,10,F044-PFC-01;F044-PFC-02;F044-PFC-03;F044-PFC-04;F044-PFC-05;F044-PFC-06;F044-PFC-07;F044-PFC-08;F044-PFC-09;F044-PFC-10,5,F044-STM-01;F044-STM-02;F044-STM-03;F044-STM-04;F044-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F045,Availability check,Sales,APPROVED,operational,10,F045-PFC-01;F045-PFC-02;F045-PFC-03;F045-PFC-04;F045-PFC-05;F045-PFC-06;F045-PFC-07;F045-PFC-08;F045-PFC-09;F045-PFC-10,5,F045-STM-01;F045-STM-02;F045-STM-03;F045-STM-04;F045-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F046,Stock reservation,Sales,APPROVED,operational,10,F046-PFC-01;F046-PFC-02;F046-PFC-03;F046-PFC-04;F046-PFC-05;F046-PFC-06;F046-PFC-07;F046-PFC-08;F046-PFC-09;F046-PFC-10,5,F046-STM-01;F046-STM-02;F046-STM-03;F046-STM-04;F046-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F047,Partial fulfilment,Sales,APPROVED,operational,10,F047-PFC-01;F047-PFC-02;F047-PFC-03;F047-PFC-04;F047-PFC-05;F047-PFC-06;F047-PFC-07;F047-PFC-08;F047-PFC-09;F047-PFC-10,5,F047-STM-01;F047-STM-02;F047-STM-03;F047-STM-04;F047-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F048,Backorders,Sales,APPROVED,document,10,F048-PFC-01;F048-PFC-02;F048-PFC-03;F048-PFC-04;F048-PFC-05;F048-PFC-06;F048-PFC-07;F048-PFC-08;F048-PFC-09;F048-PFC-10,5,F048-STM-01;F048-STM-02;F048-STM-03;F048-STM-04;F048-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F049,Delivery and shipment,Sales,APPROVED,operational,10,F049-PFC-01;F049-PFC-02;F049-PFC-03;F049-PFC-04;F049-PFC-05;F049-PFC-06;F049-PFC-07;F049-PFC-08;F049-PFC-09;F049-PFC-10,5,F049-STM-01;F049-STM-02;F049-STM-03;F049-STM-04;F049-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F050,Sales invoices,Sales,APPROVED,document,10,F050-PFC-01;F050-PFC-02;F050-PFC-03;F050-PFC-04;F050-PFC-05;F050-PFC-06;F050-PFC-07;F050-PFC-08;F050-PFC-09;F050-PFC-10,5,F050-STM-01;F050-STM-02;F050-STM-03;F050-STM-04;F050-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
F051,Partial invoicing,Sales,APPROVED,operational,10,F051-PFC-01;F051-PFC-02;F051-PFC-03;F051-PFC-04;F051-PFC-05;F051-PFC-06;F051-PFC-07;F051-PFC-08;F051-PFC-09;F051-PFC-10,5,F051-STM-01;F051-STM-02;F051-STM-03;F051-STM-04;F051-STM-05,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FROZEN,FLOW_AND_STATE_MACHINE_COMPLETE_FOR_IMPLEMENTATION_PLANNING,2026-08-31
