requirement_id,feature_id,capability_id,module,requirement_type,priority,ui_relevance,test_ids,status
F001-DATA-002,F001,CRM-CAP-001,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F001-DATA-002,IMPLEMENTED_UNVERIFIED
F001-VAL-001,F001,CRM-CAP-001,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F001-VAL-001;PVT-F001-VAL-001,IMPLEMENTED_UNVERIFIED
F001-VAL-002,F001,CRM-CAP-001,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F001-VAL-002;PVT-F001-VAL-002,IMPLEMENTED_UNVERIFIED
F001-CALC-001,F001,CRM-CAP-001,CRM,CALC,P0,AFFECTS_UI_STATE,TST-F001-CALC-001;PVT-F001-CALC-001,IMPLEMENTED_UNVERIFIED
F001-UX-001,F001,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F001-UX-001,IMPLEMENTED_UNVERIFIED
F001-UX-002,F001,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F001-UX-002,IMPLEMENTED_UNVERIFIED
F001-UX-003,F001,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F001-UX-003,IMPLEMENTED_UNVERIFIED
F001-SEC-001,F001,CRM-CAP-001,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F001-SEC-001;PVT-F001-SEC-001,IMPLEMENTED_UNVERIFIED
F001-SEC-002,F001,CRM-CAP-001,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F001-SEC-002;PVT-F001-SEC-002,IMPLEMENTED_UNVERIFIED
F001-AUTO-001,F001,CRM-CAP-001,CRM,AUTO,P0,AFFECTS_UI_STATE,PVT-F001-AUTO-001,IMPLEMENTED_UNVERIFIED
F001-APP-001,F001,CRM-CAP-001,CRM,APP,P0,DIRECT_UI,PVT-F001-APP-001,IMPLEMENTED_UNVERIFIED
F001-NOTIF-001,F001,CRM-CAP-001,CRM,NOTIF,P0,AFFECTS_UI_STATE,PVT-F001-NOTIF-001,IMPLEMENTED_UNVERIFIED
F001-REP-001,F001,CRM-CAP-001,CRM,REP,P0,DIRECT_UI,PVT-F001-REP-001,IMPLEMENTED_UNVERIFIED
F001-AI-001,F001,CRM-CAP-001,CRM,AI,P0,AFFECTS_UI_STATE,PVT-F001-AI-001,IMPLEMENTED_UNVERIFIED
F001-INT-001,F001,CRM-CAP-001,CRM,INT,P0,NO_DIRECT_UI,TST-F001-INT-001;PVT-F001-INT-001,IMPLEMENTED_UNVERIFIED
F001-INT-002,F001,CRM-CAP-001,CRM,INT,P0,NO_DIRECT_UI,TST-F001-INT-002;PVT-F001-INT-002,IMPLEMENTED_UNVERIFIED
F001-API-001,F001,CRM-CAP-001,CRM,API,P0,NO_DIRECT_UI,TST-F001-API-001;PVT-F001-API-001,IMPLEMENTED_UNVERIFIED
F001-API-002,F001,CRM-CAP-001,CRM,API,P0,NO_DIRECT_UI,TST-F001-API-002;PVT-F001-API-002,IMPLEMENTED_UNVERIFIED
F001-PERF-001,F001,CRM-CAP-001,CRM,PERF,P1,AFFECTS_UI_STATE,TST-F001-PERF-001;PVT-F001-PERF-001,IMPLEMENTED_UNVERIFIED
F001-OBS-001,F001,CRM-CAP-001,CRM,OBS,P0,NO_DIRECT_UI,TST-F001-OBS-001;PVT-F001-OBS-001,IMPLEMENTED_UNVERIFIED
F001-E2E-001,F001,CRM-CAP-001,CRM,E2E,P0,NO_DIRECT_UI,TST-F001-E2E-001;PVT-F001-E2E-001,IMPLEMENTED_UNVERIFIED
F001-E2E-002,F001,CRM-CAP-001,CRM,E2E,P0,NO_DIRECT_UI,TST-F001-E2E-002;PVT-F001-E2E-002,IMPLEMENTED_UNVERIFIED
F001-UAT-001,F001,CRM-CAP-001,CRM,UAT,P0,NO_DIRECT_UI,TST-F001-UAT-001;PVT-F001-UAT-001,IMPLEMENTED_UNVERIFIED
F001-UAT-002,F001,CRM-CAP-001,CRM,UAT,P0,NO_DIRECT_UI,TST-F001-UAT-002;PVT-F001-UAT-002,IMPLEMENTED_UNVERIFIED
F002-CAP-001,F002,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F002-CAP-001,IMPLEMENTED_UNVERIFIED
F002-CAP-002,F002,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F002-CAP-002,IMPLEMENTED_UNVERIFIED
F002-CAP-003,F002,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F002-CAP-003,IMPLEMENTED_UNVERIFIED
F002-FR-001,F002,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F002-FR-001;PVT-F002-FR-001,IMPLEMENTED_UNVERIFIED
F002-FR-002,F002,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F002-FR-002;PVT-F002-FR-002,IMPLEMENTED_UNVERIFIED
F002-FR-003,F002,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F002-FR-003;PVT-F002-FR-003,IMPLEMENTED_UNVERIFIED
F002-US-001,F002,CRM-CAP-001,CRM,US,P0,DIRECT_UI,PVT-F002-US-001,IMPLEMENTED_UNVERIFIED
F002-US-002,F002,CRM-CAP-001,CRM,US,P0,DIRECT_UI,PVT-F002-US-002,IMPLEMENTED_UNVERIFIED
F002-FLOW-001,F002,CRM-CAP-001,CRM,FLOW,P0,DIRECT_UI,PVT-F002-FLOW-001,IMPLEMENTED_UNVERIFIED
F002-FLOW-002,F002,CRM-CAP-001,CRM,FLOW,P0,DIRECT_UI,PVT-F002-FLOW-002,IMPLEMENTED_UNVERIFIED
F002-BR-001,F002,CRM-CAP-001,CRM,BR,P0,AFFECTS_UI_STATE,TST-F002-BR-001;PVT-F002-BR-001,IMPLEMENTED_UNVERIFIED
F002-BR-002,F002,CRM-CAP-001,CRM,BR,P0,AFFECTS_UI_STATE,TST-F002-BR-002;PVT-F002-BR-002,IMPLEMENTED_UNVERIFIED
F002-DATA-001,F002,CRM-CAP-001,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F002-DATA-001,IMPLEMENTED_UNVERIFIED
F002-DATA-002,F002,CRM-CAP-001,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F002-DATA-002,IMPLEMENTED_UNVERIFIED
F002-VAL-001,F002,CRM-CAP-001,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F002-VAL-001;PVT-F002-VAL-001,IMPLEMENTED_UNVERIFIED
F002-VAL-002,F002,CRM-CAP-001,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F002-VAL-002;PVT-F002-VAL-002,IMPLEMENTED_UNVERIFIED
F002-CALC-001,F002,CRM-CAP-001,CRM,CALC,P0,AFFECTS_UI_STATE,TST-F002-CALC-001;PVT-F002-CALC-001,IMPLEMENTED_UNVERIFIED
F002-UX-001,F002,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F002-UX-001,IMPLEMENTED_UNVERIFIED
F002-UX-002,F002,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F002-UX-002,IMPLEMENTED_UNVERIFIED
F002-UX-003,F002,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F002-UX-003,IMPLEMENTED_UNVERIFIED
F002-SEC-001,F002,CRM-CAP-001,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F002-SEC-001;PVT-F002-SEC-001,IMPLEMENTED_UNVERIFIED
F002-SEC-002,F002,CRM-CAP-001,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F002-SEC-002;PVT-F002-SEC-002,IMPLEMENTED_UNVERIFIED
F002-AUTO-001,F002,CRM-CAP-001,CRM,AUTO,P0,AFFECTS_UI_STATE,PVT-F002-AUTO-001,IMPLEMENTED_UNVERIFIED
F002-APP-001,F002,CRM-CAP-001,CRM,APP,P0,DIRECT_UI,PVT-F002-APP-001,IMPLEMENTED_UNVERIFIED
F002-NOTIF-001,F002,CRM-CAP-001,CRM,NOTIF,P0,AFFECTS_UI_STATE,PVT-F002-NOTIF-001,IMPLEMENTED_UNVERIFIED
F002-REP-001,F002,CRM-CAP-001,CRM,REP,P0,DIRECT_UI,PVT-F002-REP-001,IMPLEMENTED_UNVERIFIED
F002-AI-001,F002,CRM-CAP-001,CRM,AI,P0,AFFECTS_UI_STATE,PVT-F002-AI-001,IMPLEMENTED_UNVERIFIED
F002-INT-001,F002,CRM-CAP-001,CRM,INT,P0,NO_DIRECT_UI,TST-F002-INT-001;PVT-F002-INT-001,IMPLEMENTED_UNVERIFIED
F002-INT-002,F002,CRM-CAP-001,CRM,INT,P0,NO_DIRECT_UI,TST-F002-INT-002;PVT-F002-INT-002,IMPLEMENTED_UNVERIFIED
F002-API-001,F002,CRM-CAP-001,CRM,API,P0,NO_DIRECT_UI,TST-F002-API-001;PVT-F002-API-001,IMPLEMENTED_UNVERIFIED
F002-API-002,F002,CRM-CAP-001,CRM,API,P0,NO_DIRECT_UI,TST-F002-API-002;PVT-F002-API-002,IMPLEMENTED_UNVERIFIED
F002-PERF-001,F002,CRM-CAP-001,CRM,PERF,P1,AFFECTS_UI_STATE,TST-F002-PERF-001;PVT-F002-PERF-001,IMPLEMENTED_UNVERIFIED
F002-OBS-001,F002,CRM-CAP-001,CRM,OBS,P0,NO_DIRECT_UI,TST-F002-OBS-001;PVT-F002-OBS-001,IMPLEMENTED_UNVERIFIED
F002-E2E-001,F002,CRM-CAP-001,CRM,E2E,P0,NO_DIRECT_UI,TST-F002-E2E-001;PVT-F002-E2E-001,IMPLEMENTED_UNVERIFIED
F002-E2E-002,F002,CRM-CAP-001,CRM,E2E,P0,NO_DIRECT_UI,TST-F002-E2E-002;PVT-F002-E2E-002,IMPLEMENTED_UNVERIFIED
F002-UAT-001,F002,CRM-CAP-001,CRM,UAT,P0,NO_DIRECT_UI,TST-F002-UAT-001;PVT-F002-UAT-001,IMPLEMENTED_UNVERIFIED
F002-UAT-002,F002,CRM-CAP-001,CRM,UAT,P0,NO_DIRECT_UI,TST-F002-UAT-002;PVT-F002-UAT-002,IMPLEMENTED_UNVERIFIED
F003-CAP-001,F003,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F003-CAP-001,IMPLEMENTED_UNVERIFIED
F003-CAP-002,F003,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F003-CAP-002,IMPLEMENTED_UNVERIFIED
F003-CAP-003,F003,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F003-CAP-003,IMPLEMENTED_UNVERIFIED
F003-FR-001,F003,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F003-FR-001;PVT-F003-FR-001,IMPLEMENTED_UNVERIFIED
F003-FR-002,F003,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F003-FR-002;PVT-F003-FR-002,IMPLEMENTED_UNVERIFIED
F003-FR-003,F003,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F003-FR-003;PVT-F003-FR-003,IMPLEMENTED_UNVERIFIED
F003-US-001,F003,CRM-CAP-001,CRM,US,P0,DIRECT_UI,PVT-F003-US-001,IMPLEMENTED_UNVERIFIED
F003-US-002,F003,CRM-CAP-001,CRM,US,P0,DIRECT_UI,PVT-F003-US-002,IMPLEMENTED_UNVERIFIED
F003-FLOW-001,F003,CRM-CAP-001,CRM,FLOW,P0,DIRECT_UI,PVT-F003-FLOW-001,IMPLEMENTED_UNVERIFIED
F003-FLOW-002,F003,CRM-CAP-001,CRM,FLOW,P0,DIRECT_UI,PVT-F003-FLOW-002,IMPLEMENTED_UNVERIFIED
F003-BR-001,F003,CRM-CAP-001,CRM,BR,P0,AFFECTS_UI_STATE,TST-F003-BR-001;PVT-F003-BR-001,IMPLEMENTED_UNVERIFIED
F003-BR-002,F003,CRM-CAP-001,CRM,BR,P0,AFFECTS_UI_STATE,TST-F003-BR-002;PVT-F003-BR-002,IMPLEMENTED_UNVERIFIED
F003-DATA-001,F003,CRM-CAP-001,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F003-DATA-001,IMPLEMENTED_UNVERIFIED
F003-DATA-002,F003,CRM-CAP-001,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F003-DATA-002,IMPLEMENTED_UNVERIFIED
F003-VAL-001,F003,CRM-CAP-001,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F003-VAL-001;PVT-F003-VAL-001,IMPLEMENTED_UNVERIFIED
F003-VAL-002,F003,CRM-CAP-001,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F003-VAL-002;PVT-F003-VAL-002,IMPLEMENTED_UNVERIFIED
F003-CALC-001,F003,CRM-CAP-001,CRM,CALC,P0,AFFECTS_UI_STATE,TST-F003-CALC-001;PVT-F003-CALC-001,IMPLEMENTED_UNVERIFIED
F003-UX-001,F003,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F003-UX-001,IMPLEMENTED_UNVERIFIED
F003-UX-002,F003,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F003-UX-002,IMPLEMENTED_UNVERIFIED
F003-UX-003,F003,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F003-UX-003,IMPLEMENTED_UNVERIFIED
F003-SEC-001,F003,CRM-CAP-001,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F003-SEC-001;PVT-F003-SEC-001,IMPLEMENTED_UNVERIFIED
F003-SEC-002,F003,CRM-CAP-001,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F003-SEC-002;PVT-F003-SEC-002,IMPLEMENTED_UNVERIFIED
F003-AUTO-001,F003,CRM-CAP-001,CRM,AUTO,P0,AFFECTS_UI_STATE,PVT-F003-AUTO-001,IMPLEMENTED_UNVERIFIED
F003-APP-001,F003,CRM-CAP-001,CRM,APP,P0,DIRECT_UI,PVT-F003-APP-001,IMPLEMENTED_UNVERIFIED
F003-NOTIF-001,F003,CRM-CAP-001,CRM,NOTIF,P0,AFFECTS_UI_STATE,PVT-F003-NOTIF-001,IMPLEMENTED_UNVERIFIED
F003-REP-001,F003,CRM-CAP-001,CRM,REP,P0,DIRECT_UI,PVT-F003-REP-001,IMPLEMENTED_UNVERIFIED
F003-AI-001,F003,CRM-CAP-001,CRM,AI,P0,AFFECTS_UI_STATE,PVT-F003-AI-001,IMPLEMENTED_UNVERIFIED
F003-INT-001,F003,CRM-CAP-001,CRM,INT,P0,NO_DIRECT_UI,TST-F003-INT-001;PVT-F003-INT-001,IMPLEMENTED_UNVERIFIED
F003-INT-002,F003,CRM-CAP-001,CRM,INT,P0,NO_DIRECT_UI,TST-F003-INT-002;PVT-F003-INT-002,IMPLEMENTED_UNVERIFIED
F003-API-001,F003,CRM-CAP-001,CRM,API,P0,NO_DIRECT_UI,TST-F003-API-001;PVT-F003-API-001,IMPLEMENTED_UNVERIFIED
F003-API-002,F003,CRM-CAP-001,CRM,API,P0,NO_DIRECT_UI,TST-F003-API-002;PVT-F003-API-002,IMPLEMENTED_UNVERIFIED
F003-PERF-001,F003,CRM-CAP-001,CRM,PERF,P1,AFFECTS_UI_STATE,TST-F003-PERF-001;PVT-F003-PERF-001,IMPLEMENTED_UNVERIFIED
F003-OBS-001,F003,CRM-CAP-001,CRM,OBS,P0,NO_DIRECT_UI,TST-F003-OBS-001;PVT-F003-OBS-001,IMPLEMENTED_UNVERIFIED
F003-E2E-001,F003,CRM-CAP-001,CRM,E2E,P0,NO_DIRECT_UI,TST-F003-E2E-001;PVT-F003-E2E-001,IMPLEMENTED_UNVERIFIED
F003-E2E-002,F003,CRM-CAP-001,CRM,E2E,P0,NO_DIRECT_UI,TST-F003-E2E-002;PVT-F003-E2E-002,IMPLEMENTED_UNVERIFIED
F003-UAT-001,F003,CRM-CAP-001,CRM,UAT,P0,NO_DIRECT_UI,TST-F003-UAT-001;PVT-F003-UAT-001,IMPLEMENTED_UNVERIFIED
F003-UAT-002,F003,CRM-CAP-001,CRM,UAT,P0,NO_DIRECT_UI,TST-F003-UAT-002;PVT-F003-UAT-002,IMPLEMENTED_UNVERIFIED
F004-CAP-001,F004,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F004-CAP-001,IMPLEMENTED_UNVERIFIED
F004-CAP-002,F004,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F004-CAP-002,IMPLEMENTED_UNVERIFIED
F004-CAP-003,F004,CRM-CAP-001,CRM,CAP,P0,DIRECT_UI,PVT-F004-CAP-003,IMPLEMENTED_UNVERIFIED
F004-FR-001,F004,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F004-FR-001;PVT-F004-FR-001,IMPLEMENTED_UNVERIFIED
F004-FR-002,F004,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F004-FR-002;PVT-F004-FR-002,IMPLEMENTED_UNVERIFIED
F004-FR-003,F004,CRM-CAP-001,CRM,FR,P0,DIRECT_UI,TST-F004-FR-003;PVT-F004-FR-003,IMPLEMENTED_UNVERIFIED
F004-US-001,F004,CRM-CAP-001,CRM,US,P0,DIRECT_UI,PVT-F004-US-001,IMPLEMENTED_UNVERIFIED
F004-US-002,F004,CRM-CAP-001,CRM,US,P0,DIRECT_UI,PVT-F004-US-002,IMPLEMENTED_UNVERIFIED
F004-FLOW-001,F004,CRM-CAP-001,CRM,FLOW,P0,DIRECT_UI,PVT-F004-FLOW-001,IMPLEMENTED_UNVERIFIED
F004-FLOW-002,F004,CRM-CAP-001,CRM,FLOW,P0,DIRECT_UI,PVT-F004-FLOW-002,IMPLEMENTED_UNVERIFIED
F004-BR-001,F004,CRM-CAP-001,CRM,BR,P0,AFFECTS_UI_STATE,TST-F004-BR-001;PVT-F004-BR-001,IMPLEMENTED_UNVERIFIED
F004-BR-002,F004,CRM-CAP-001,CRM,BR,P0,AFFECTS_UI_STATE,TST-F004-BR-002;PVT-F004-BR-002,IMPLEMENTED_UNVERIFIED
F004-DATA-001,F004,CRM-CAP-001,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F004-DATA-001,IMPLEMENTED_UNVERIFIED
F004-DATA-002,F004,CRM-CAP-001,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F004-DATA-002,IMPLEMENTED_UNVERIFIED
F004-VAL-001,F004,CRM-CAP-001,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F004-VAL-001;PVT-F004-VAL-001,IMPLEMENTED_UNVERIFIED
F004-VAL-002,F004,CRM-CAP-001,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F004-VAL-002;PVT-F004-VAL-002,IMPLEMENTED_UNVERIFIED
F004-CALC-001,F004,CRM-CAP-001,CRM,CALC,P0,AFFECTS_UI_STATE,TST-F004-CALC-001;PVT-F004-CALC-001,IMPLEMENTED_UNVERIFIED
F004-UX-001,F004,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F004-UX-001,IMPLEMENTED_UNVERIFIED
F004-UX-002,F004,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F004-UX-002,IMPLEMENTED_UNVERIFIED
F004-UX-003,F004,CRM-CAP-001,CRM,UX,P0,DIRECT_UI,PVT-F004-UX-003,IMPLEMENTED_UNVERIFIED
F004-SEC-001,F004,CRM-CAP-001,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F004-SEC-001;PVT-F004-SEC-001,IMPLEMENTED_UNVERIFIED
F004-SEC-002,F004,CRM-CAP-001,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F004-SEC-002;PVT-F004-SEC-002,IMPLEMENTED_UNVERIFIED
F004-AUTO-001,F004,CRM-CAP-001,CRM,AUTO,P0,AFFECTS_UI_STATE,PVT-F004-AUTO-001,IMPLEMENTED_UNVERIFIED
F004-APP-001,F004,CRM-CAP-001,CRM,APP,P0,DIRECT_UI,PVT-F004-APP-001,IMPLEMENTED_UNVERIFIED
F004-NOTIF-001,F004,CRM-CAP-001,CRM,NOTIF,P0,AFFECTS_UI_STATE,PVT-F004-NOTIF-001,IMPLEMENTED_UNVERIFIED
F004-REP-001,F004,CRM-CAP-001,CRM,REP,P0,DIRECT_UI,PVT-F004-REP-001,IMPLEMENTED_UNVERIFIED
F004-AI-001,F004,CRM-CAP-001,CRM,AI,P0,AFFECTS_UI_STATE,PVT-F004-AI-001,IMPLEMENTED_UNVERIFIED
F004-INT-001,F004,CRM-CAP-001,CRM,INT,P0,NO_DIRECT_UI,TST-F004-INT-001;PVT-F004-INT-001,IMPLEMENTED_UNVERIFIED
F004-INT-002,F004,CRM-CAP-001,CRM,INT,P0,NO_DIRECT_UI,TST-F004-INT-002;PVT-F004-INT-002,IMPLEMENTED_UNVERIFIED
F004-API-001,F004,CRM-CAP-001,CRM,API,P0,NO_DIRECT_UI,TST-F004-API-001;PVT-F004-API-001,IMPLEMENTED_UNVERIFIED
F004-API-002,F004,CRM-CAP-001,CRM,API,P0,NO_DIRECT_UI,TST-F004-API-002;PVT-F004-API-002,IMPLEMENTED_UNVERIFIED
F004-PERF-001,F004,CRM-CAP-001,CRM,PERF,P1,AFFECTS_UI_STATE,TST-F004-PERF-001;PVT-F004-PERF-001,IMPLEMENTED_UNVERIFIED
F004-OBS-001,F004,CRM-CAP-001,CRM,OBS,P0,NO_DIRECT_UI,TST-F004-OBS-001;PVT-F004-OBS-001,IMPLEMENTED_UNVERIFIED
F004-E2E-001,F004,CRM-CAP-001,CRM,E2E,P0,NO_DIRECT_UI,TST-F004-E2E-001;PVT-F004-E2E-001,IMPLEMENTED_UNVERIFIED
F004-E2E-002,F004,CRM-CAP-001,CRM,E2E,P0,NO_DIRECT_UI,TST-F004-E2E-002;PVT-F004-E2E-002,IMPLEMENTED_UNVERIFIED
F004-UAT-001,F004,CRM-CAP-001,CRM,UAT,P0,NO_DIRECT_UI,TST-F004-UAT-001;PVT-F004-UAT-001,IMPLEMENTED_UNVERIFIED
F004-UAT-002,F004,CRM-CAP-001,CRM,UAT,P0,NO_DIRECT_UI,TST-F004-UAT-002;PVT-F004-UAT-002,IMPLEMENTED_UNVERIFIED
F005-CAP-001,F005,CRM-CAP-002,CRM,CAP,P0,DIRECT_UI,PVT-F005-CAP-001,IMPLEMENTED_UNVERIFIED
F005-CAP-002,F005,CRM-CAP-002,CRM,CAP,P0,DIRECT_UI,PVT-F005-CAP-002,IMPLEMENTED_UNVERIFIED
F005-CAP-003,F005,CRM-CAP-002,CRM,CAP,P0,DIRECT_UI,PVT-F005-CAP-003,IMPLEMENTED_UNVERIFIED
F005-FR-001,F005,CRM-CAP-002,CRM,FR,P0,DIRECT_UI,TST-F005-FR-001;PVT-F005-FR-001,IMPLEMENTED_UNVERIFIED
F005-FR-002,F005,CRM-CAP-002,CRM,FR,P0,DIRECT_UI,TST-F005-FR-002;PVT-F005-FR-002,IMPLEMENTED_UNVERIFIED
F005-FR-003,F005,CRM-CAP-002,CRM,FR,P0,DIRECT_UI,TST-F005-FR-003;PVT-F005-FR-003,IMPLEMENTED_UNVERIFIED
F005-US-001,F005,CRM-CAP-002,CRM,US,P0,DIRECT_UI,PVT-F005-US-001,IMPLEMENTED_UNVERIFIED
F005-US-002,F005,CRM-CAP-002,CRM,US,P0,DIRECT_UI,PVT-F005-US-002,IMPLEMENTED_UNVERIFIED
F005-FLOW-001,F005,CRM-CAP-002,CRM,FLOW,P0,DIRECT_UI,PVT-F005-FLOW-001,IMPLEMENTED_UNVERIFIED
F005-FLOW-002,F005,CRM-CAP-002,CRM,FLOW,P0,DIRECT_UI,PVT-F005-FLOW-002,IMPLEMENTED_UNVERIFIED
F005-BR-001,F005,CRM-CAP-002,CRM,BR,P0,AFFECTS_UI_STATE,TST-F005-BR-001;PVT-F005-BR-001,IMPLEMENTED_UNVERIFIED
F005-BR-002,F005,CRM-CAP-002,CRM,BR,P0,AFFECTS_UI_STATE,TST-F005-BR-002;PVT-F005-BR-002,IMPLEMENTED_UNVERIFIED
F005-DATA-001,F005,CRM-CAP-002,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F005-DATA-001,IMPLEMENTED_UNVERIFIED
F005-DATA-002,F005,CRM-CAP-002,CRM,DATA,P0,AFFECTS_UI_STATE,PVT-F005-DATA-002,IMPLEMENTED_UNVERIFIED
F005-VAL-001,F005,CRM-CAP-002,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F005-VAL-001;PVT-F005-VAL-001,IMPLEMENTED_UNVERIFIED
F005-VAL-002,F005,CRM-CAP-002,CRM,VAL,P0,AFFECTS_UI_STATE,TST-F005-VAL-002;PVT-F005-VAL-002,IMPLEMENTED_UNVERIFIED
F005-CALC-001,F005,CRM-CAP-002,CRM,CALC,P0,AFFECTS_UI_STATE,TST-F005-CALC-001;PVT-F005-CALC-001,IMPLEMENTED_UNVERIFIED
F005-UX-001,F005,CRM-CAP-002,CRM,UX,P0,DIRECT_UI,PVT-F005-UX-001,IMPLEMENTED_UNVERIFIED
F005-UX-002,F005,CRM-CAP-002,CRM,UX,P0,DIRECT_UI,PVT-F005-UX-002,IMPLEMENTED_UNVERIFIED
F005-UX-003,F005,CRM-CAP-002,CRM,UX,P0,DIRECT_UI,PVT-F005-UX-003,IMPLEMENTED_UNVERIFIED
F005-SEC-001,F005,CRM-CAP-002,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F005-SEC-001;PVT-F005-SEC-001,IMPLEMENTED_UNVERIFIED
F005-SEC-002,F005,CRM-CAP-002,CRM,SEC,P0,AFFECTS_UI_STATE,TST-F005-SEC-002;PVT-F005-SEC-002,IMPLEMENTED_UNVERIFIED
F005-AUTO-001,F005,CRM-CAP-002,CRM,AUTO,P0,AFFECTS_UI_STATE,PVT-F005-AUTO-001,IMPLEMENTED_UNVERIFIED
