feature_id,scope,module,category,feature_name,source_section,status,uat_status,ui_evidence,service_evidence,database_evidence,permission_evidence,test_evidence,primary_gap,secondary_gap,blocker_type,recommended_prompt_cluster,notes
CRM-016,module,CRM,Capture,Public lead capture forms,Part 10,COMPLETE,LIMITED,api/crm/public/capture/[key],HMAC-signed + honeypot,,,crm-public-capture.test.mjs,No rate limiting on public endpoint (confirmed still true from Prompt 1),,AUTHORIZATION,23-24,Security gap flagged in Prompt 1 Section 12
CRM-017,module,CRM,Access control,Per-record ownership scoping (leads/opportunities/activities),Part 10,COMPLETE,LIMITED,,crm.js recordScope()/canViewAllCrmRecords(),,crm.records.view_all,crm-record-scope.test.mjs (290 lines),"crm.records.view_all permission is referenced by 7 role templates but NEVER inserted into the permissions table by any migration - CONFIRMED LIVE: 0 rows in permissions table, 0 rows in role_permissions","This breaks org onboarding transaction (FK violation, no try/catch) for any org that seeds one of those 7 roles",AUTHORIZATION,12,"P0 CONFIRMED LIVE BUG - see Section 23/32 of reconciliation report. Must be fixed in Prompt 12 before anything else."
CRM-018,module,CRM,AI,AI-intelligence (deal risk/next-best-action/relationship),Part 10,COMPLETE,READY,,crm/ai-intelligence.js (deterministic formulas + template drafting),,,,"No real ML/AI - confirms Prompt 1 finding",,PRODUCT_DECISION,23-24,Not a gap; a documentation-accuracy note only
CRM-019,module,CRM,Mobile,Offline sync (mobile),Part 10,COMPLETE,READY,,crm/offline-sync.js (463 lines),,,,,,,23-24,
CRM-020,module,CRM,Reports,CRM dashboards and 14 report types,Part 10,COMPLETE,READY,/crm/reports,getCrmDashboard/getCrmReport,,crm.reports.view,,,,,23-24,
SALES-001,module,Sales,Catalogue,Product/service catalogue and pricing rules,Part 11,COMPLETE,READY,,sales/index.js previewSalesDocument pricing engine,sales_pricing_rules,,,,,,25-28,
SALES-002,module,Sales,Quotations,"Quotation creation, revision, approval, versions",Part 11,COMPLETE,READY,,createQuotation/reviseQuotation/approveQuotation,sales_quotation_versions,,,,,,25-28,
SALES-003,module,Sales,Quotations,Public customer acceptance/rejection,Part 11,COMPLETE,READY,,resolvePublicQuoteToken/recordPublicQuoteDecision,sales_quote_decisions,,,,,,25-28,
SALES-004,module,Sales,Orders,Sales order creation and 9-action lifecycle,Part 11,COMPLETE,READY,,confirmSalesOrder + lockOrder,,,,,,,25-28,
SALES-005,module,Sales,Orders,Credit limit and credit hold enforcement,Part 11,COMPLETE,READY,,real exposure calc vs business_parties.credit_limit,,sales.credit.override,,,,,25-28,"Deeper than prior audit suggested - genuinely real"
SALES-006,module,Sales,Orders,Generic order hold placement,Part 11,COMPLETE,LIMITED,,placeOrderHold,,,,,,,25-28,
SALES-007,module,Sales,Orders,Order hold RELEASE,Part 11,UI_ONLY,NOT_READY,"sales-document-actions.tsx:7 button has literal disabled attribute, no onClick",releaseOrderHold fully implemented and routed,,,,"Button is permanently disabled/decorative - user cannot release a hold via UI",,UI,25-28,"Backend complete, UI is a confirmed dead control"
SALES-008,module,Sales,Orders,Amendment/revision workflow,Part 11,COMPLETE,READY,,amendSalesOrder/approveSalesOrderAmendment,,,,,,,25-28,
SALES-009,module,Sales,Fulfillment,Inventory reservation,Part 11,FOUNDATION_ONLY,NOT_READY,,reserveSalesOrderLines (Sales-local bookkeeping only),sales_order_line_progress.reserved_quantity,,,"Never touches tenant.stock_reservations - confirmed zero Stock-module references",no UI trigger,INTEGRATION,25-28,"Sales 'reservation' has zero effect on real inventory availability"
SALES-010,module,Sales,Fulfillment,"Pick, pack, ship fulfilment",Part 11,PARTIAL,LIMITED,,createFulfillmentRequest/completeFulfillmentRequest,sales_order_line_progress.fulfilled_quantity,,,"Never creates stock_movements row - Sales-local only",,INTEGRATION,25-28,
SALES-011,module,Sales,Fulfillment,Backorders,Part 11,MISSING,NOT_READY,,,,,,"No backorder concept anywhere in Sales code",,PRODUCT_DECISION,25-28,
SALES-012,module,Sales,Fulfillment,Make-to-order / drop ship,Part 11,MISSING,NOT_READY,,,,,,Not modeled,,PRODUCT_DECISION,25-28,
SALES-013,module,Sales,Fulfillment,Recurring orders / subscriptions,Part 11,MISSING,NOT_READY,,,,,,"Not modeled (platform's own Razorpay billing is unrelated)",,PRODUCT_DECISION,25-28,
SALES-014,module,Sales,Returns,"Returns, RMA, exchange, refund",Part 11,FOUNDATION_ONLY,NOT_READY,,"createSalesReturnRequest (validated, real)",sales_return_requests,,,"No consumer anywhere - no Accounting credit note, no Stock receipt; also no UI control",,INTEGRATION,25-28,"Fully unreachable by a normal user, produces no downstream business effect even via API"
SALES-015,module,Sales,Returns,Credit/debit notes,Part 11,PARTIAL,LIMITED,,accounting generic credit_note type exists,,,,"Nothing bridges a Sales return to an actual credit note",,INTEGRATION,25-28,
SALES-016,module,Sales,Billing,Invoice handoff to Accounting,Part 11,COMPLETE,READY,api/accounting/receivables/sales-requests/[id]/import,createInvoiceFromSalesRequest (real consumer),sales_invoice_requests,,,"Manual pull (two-step request+import), not automatic same-transaction",,WORKFLOW,25-28,"Genuine validated handoff, not just a link - stronger than assumed"
SALES-017,module,Sales,Analytics,"Sales dashboards, targets, profitability/margin",Part 11,COMPLETE,READY,/sales/reports,getSalesDashboard/getSalesReport,,sales.margin.view,,,,,25-28,
SALES-018,module,Sales,CPQ,CPQ / advanced pricing / contracts,Part 11,PARTIAL,LIMITED,,rules-based pricing engine only,,,,"No product configurator, no contract-pricing entity, no subscription pricing",,PRODUCT_DECISION,25-28,
SALES-019,module,Sales,Omnichannel,Marketplace / omnichannel,Part 11,MISSING,NOT_READY,,,,,,Not modeled,,PRODUCT_DECISION,25-28,
SALES-020,module,Sales,Cross-module,CRM opportunity to Sales quotation,Part 11,COMPLETE,READY,,getSalesOptions prefills quotation lines from opportunity,,,,,,,25-28,"Positive finding - real and strong"
PROC-001,module,Procurement,Suppliers,"Supplier master, identity, banking",Part 12,COMPLETE,READY,procurement-workspace.tsx,index.js field-sensitivity gating,procurement_suppliers,procurement.suppliers.sensitive,,,,,29-32,
PROC-002,module,Procurement,Suppliers,Supplier lifecycle state machine,Part 12,COMPLETE,READY,,version-locked transitions,,,,,,,29-32,
PROC-003,module,Procurement,Suppliers,"Onboarding sites, qualifications, certifications",Part 12,PARTIAL,LIMITED,,child dispatcher (CHILDREN.suppliers),,,,No dedicated UI - only generic child API,,UI,29-32,
PROC-004,module,Procurement,Suppliers,Supplier risk and performance scorecards,Part 12,PARTIAL,LIMITED,,evaluateSupplierScore() weighted calc,,,,No UI to enter scorecards,,UI,29-32,
PROC-005,module,Procurement,Suppliers,Supplier portal,Part 12,FOUNDATION_ONLY,NOT_READY,,,procurement_portal_users,procurement.supplier_portal.manage,,No supplier-facing auth surface/UI exists anywhere,,UI,29-32,
PROC-006,module,Procurement,Requisitions,Requisitions create/lines/approve,Part 12,COMPLETE,READY,procurement-workspace.tsx,normalizeDocument requisitions case,,,,,,,29-32,
PROC-007,module,Procurement,Budget,Budget checks,Part 12,MISSING,NOT_READY,,,,,,"No budget table, no ceiling check anywhere",,DATABASE,29-32,
PROC-008,module,Procurement,Catalogue,Catalogue / catalog requests,Part 12,FOUNDATION_ONLY,NOT_READY,,,procurement_catalogs/catalog_items,,,"Zero UI - not in DEFINITIONS, no route folder",,UI,29-32,
PROC-009,module,Procurement,Sourcing,RFQ / sourcing event creation,Part 12,COMPLETE,READY,sourcing/ route,normalizeDocument sourcing-events,,,,,,,29-32,
PROC-010,module,Procurement,Sourcing,"Bids, invitations, evaluations",Part 12,FOUNDATION_ONLY,NOT_READY,,CHILDREN[sourcing-events] real CRUD,,,,No UI at all - cleanRecord() explicitly filters out arrays hiding these,,UI,29-32,
PROC-011,module,Procurement,Sourcing,Negotiations,Part 12,MISSING,NOT_READY,,,,,,No negotiation-round concept anywhere,,PRODUCT_DECISION,29-32,
PROC-012,module,Procurement,Sourcing,Award / selection,Part 12,UI_ONLY,NOT_READY,"window.prompt('Selected bid ID')",awardSourcingEvent() genuinely sophisticated backend,,,,UI trigger is a raw browser prompt requiring a UUID nobody can see,,UI,29-32,"Backend real, UI is a joke-grade placeholder"
PROC-013,module,Procurement,Orders,Purchase order create/approve/dispatch/acknowledge,Part 12,COMPLETE,READY,orders/ route,full state machine,,,,,,,29-32,
PROC-014,module,Procurement,Orders,"Service PO, blanket/contract/scheduled PO",Part 12,PARTIAL,LIMITED,,agreements resource covers generically,purchase_order_schedules,,,No differentiation of agreement subtype; schedules have no UI,,UI,29-32,
PROC-015,module,Procurement,Orders,Drop ship,Part 12,MISSING,NOT_READY,,,,,,Not modeled,,PRODUCT_DECISION,29-32,
PROC-016,module,Procurement,Orders,PO amendments,Part 12,COMPLETE,READY,,amendPurchaseOrder + rollback on rejection,,,,,,,29-32,
PROC-017,module,Procurement,Orders,Delivery schedule,Part 12,PARTIAL,LIMITED,,,purchase_order_schedules,,,No UI to create/view schedules,,UI,29-32,
PROC-018,module,Procurement,Receiving,Receiving / GRN with over-receipt prevention,Part 12,COMPLETE,READY,receipts/ route,applyReceiptToOrder(),,,,,,,29-32,
PROC-019,module,Procurement,Receiving,Receiving updates Stock,Part 12,MISSING,NOT_READY,,,,,,"Confirmed: zero references to stock_movements/stock_balances in procurement code - receiving has no effect on physical inventory",,INTEGRATION,29-32,Major cross-module gap
PROC-020,module,Procurement,Quality,Quality inspection linkage,Part 12,MISSING,NOT_READY,,,,,,"inspectionAccepted checked in matching but never set anywhere - dead logic branch",,INTEGRATION,29-32,Four-way matching mode will always flag exception
PROC-021,module,Procurement,Returns,Returns (RTV),Part 12,PARTIAL,LIMITED,,full resource config + transitions,,,,No UI - backend only,,UI,29-32,
PROC-022,module,Procurement,Matching,"Invoice matching (2/3/4-way)",Part 12,COMPLETE,READY,matching/page.tsx,runProcurementMatch() sophisticated,,,,4-way mode broken due to PROC-020,,,29-32,
PROC-023,module,Procurement,Matching,Matched invoice to Accounting vendor bill,Part 12,COMPLETE,READY,,importProcurementMatchAsVendorBill() real+idempotent,,,,Manual trigger only,,,29-32,
PROC-024,module,Procurement,Analytics,Reporting (12 real SQL reports),Part 12,COMPLETE,READY,reports/page.tsx,REPORT_SQL,,,,,,,29-32,
PROC-025,module,Procurement,Sourcing,Advanced sourcing (multi-round/auction),Part 12,MISSING,NOT_READY,,,,,,eventType accepts auction as a label only,,PRODUCT_DECISION,29-32,
PROC-026,module,Procurement,Governance,Governance/control-tower dashboard,Part 12,COMPLETE,READY,governance/page.tsx,governance.js (942 lines),,,,,,,29-32,
PROC-027,module,Procurement,Settings,Settings page,Part 12,UI_ONLY,NOT_READY,"procurement/settings/page.tsx renders 6 hardcoded 'Governed' badges",,,,,Not backed by any query - cosmetic,,UI,29-32,
STOCK-001,module,Stock,Item master,"Item master, HSN/SAC, valuation method",Part 13,COMPLETE,READY,master-data-catalogue.tsx,,items,,,,,,33-38,
STOCK-002,module,Stock,Item master,Variants,Part 13,MISSING,NOT_READY,,,,,,No variant/attribute table found,,DATABASE,33-38,
STOCK-003,module,Stock,Item master,UOM and conversions,Part 13,COMPLETE,READY,,,units_of_measure/item_uom_conversions,,,,,,33-38,
STOCK-004,module,Stock,Item master,Barcode / QR,Part 13,PARTIAL,LIMITED,,,items.barcode unique index,,,No QR-specific field/scan flow; no scanning UI,,MOBILE_WEB,33-38,
STOCK-005,module,Stock,Traceability,Lots/batches,Part 13,FOUNDATION_ONLY,NOT_READY,,,stock_batches,,,Zero code anywhere inserts into stock_batches - table permanently empty,,DATABASE,33-38,
STOCK-006,module,Stock,Traceability,Serials,Part 13,FOUNDATION_ONLY,NOT_READY,,,stock_serials,,,Same as batches - no INSERT anywhere,,DATABASE,33-38,
STOCK-007,module,Stock,Traceability,Expiry tracking,Part 13,MISSING,NOT_READY,,,stock_batches.expires_on,,,Never read/queried; no FEFO logic; batches cannot be created anyway,,DATABASE,33-38,
STOCK-008,module,Stock,Warehouses,Warehouses (7 real types),Part 13,COMPLETE,READY,master-data-catalogue.tsx,,warehouses,,,,,,33-38,
STOCK-009,module,Stock,Warehouses,"Zones, aisles, racks, bins",Part 13,PARTIAL,LIMITED,master-data-catalogue.tsx,,warehouse_locations hierarchy,,,"Real CRUD exists, but movement/balance flows only use a flat location_id - no real put-away/slotting algorithm",,SERVICE,33-38,
STOCK-010,module,Stock,Movements,"Inventory movements (receipt/issue/adjustment)",Part 13,COMPLETE,LIMITED,,postStockMovement() row-locked+moving-average,,,,No UI exists to invoke it - API-only,,UI,33-38,
STOCK-011,module,Stock,Movements,Reservations,Part 13,FOUNDATION_ONLY,NOT_READY,,,stock_reservations,,,"No service function in Stock module creates/releases a reservation",,SERVICE,33-38,
STOCK-012,module,Stock,Movements,Adjustments,Part 13,PARTIAL,LIMITED,,generic movementType=adjustment,,stock.adjust,,No dedicated UI form,,UI,33-38,
STOCK-013,module,Stock,Movements,Opening stock,Part 13,PARTIAL,LIMITED,,generic receipt movement,,,,No dedicated opening-balance flow/UI,,UI,33-38,
STOCK-014,module,Stock,Movements,Transfers create/complete,Part 13,COMPLETE,LIMITED,,createStockTransfer/completeStockTransfer atomic,,,,No UI form,,UI,33-38,
STOCK-015,module,Stock,WMS,"Receiving, put-away, picking, packing, dispatch, cross-dock, kitting",Part 13,MISSING,NOT_READY,,,,,,Not modeled beyond raw movement/transfer primitives,,SERVICE,33-38,
STOCK-016,module,Stock,Planning,"Reorder, safety stock, EOQ, demand",Part 13,PARTIAL,LIMITED,,low-stock count on dashboard,stock_reorder_rules,,,No EOQ calc/demand forecasting/auto-PO trigger; rule table has no UI,,SERVICE,33-38,
STOCK-017,module,Stock,Planning,ATP/CTP,Part 13,MISSING,NOT_READY,,ad hoc quantity-reserved subtraction only inside POS,,,,No cross-order/cross-time CTP logic; not a Stock service function,,SERVICE,33-38,
STOCK-018,module,Stock,Planning,Cycle count / physical stock,Part 13,MISSING,NOT_READY,,,stock_movements movement_type allows 'count',,,No function ever creates a count-type movement; no count-sheet workflow,,SERVICE,33-38,
STOCK-019,module,Stock,Planning,ABC/XYZ classification,Part 13,MISSING,NOT_READY,,,,,,Not modeled,,DATABASE,33-38,
STOCK-020,module,Stock,Valuation,"Valuation (moving average / FIFO)",Part 13,PARTIAL,LIMITED,,postStockMovement only implements moving-average math,stock_settings.costing_method allows fifo,,,Selecting FIFO silently still uses moving-average logic,,SERVICE,33-38,Correctness risk
STOCK-021,module,Stock,Valuation,Landed cost,Part 13,MISSING,NOT_READY,,,,,,No landed-cost allocation table/logic,,DATABASE,33-38,
STOCK-022,module,Stock,Valuation,Stock ledger / valuation layers,Part 13,PARTIAL,LIMITED,,written on every movement,stock_valuation_layers,,,"Written but never read/queried anywhere - no FIFO consumption, no report uses it",,REPORTING,33-38,
STOCK-023,module,Stock,Analytics,Dashboard (4 metrics),Part 13,PARTIAL,LIMITED,stock-dashboard.tsx,,,,,Only 4 metrics; no trend/valuation breakdown/turnover,,REPORTING,33-38,
STOCK-024,module,Stock,Advanced,Advanced WMS/RFID/IoT,Part 13,MISSING,NOT_READY,,,,,,Not modeled - expected at this maturity stage,,PRODUCT_DECISION,33-38,
STOCK-025,module,Stock,Cross-module,Manufacturing writes to Stock balances,Part 13,PARTIAL,NOT_READY,,manufacturing/index.js forks own postStockMovement,,,,"Never updates stock_balances - only 3 stock_balances hits, all SELECTs",,INTEGRATION,12,"P0-adjacent data-integrity bug - fix alongside crm.records.view_all in Prompt 12"
STOCK-026,module,Stock,Cross-module,POS writes to Stock balances,Part 13,PARTIAL,NOT_READY,,point-of-sale/index.js forks own postStockMovement,,,,"Same bug - inserts stock_movements, never writes stock_balances",,INTEGRATION,12,"POS sales never actually decrement on-hand stock - P0-adjacent, fix in Prompt 12"
STOCK-027,module,Stock,UX,No UI to invoke movement/transfer routes,Part 13,UI_ONLY,NOT_READY,,"routes exist (/api/stock/movements,/transfers)",,,,Zero client code calls these routes anywhere in apps/web,,UI,33-38,
MFG-001,module,Manufacturing,Engineering,Product engineering / item link,Part 20,FOUNDATION_ONLY,NOT_READY,,,manufacturing_boms.item_id FK,,,No product-engineering UI/logic beyond FK reference,,UI,39-46,
MFG-002,module,Manufacturing,BOM,BOM create/activate (single-level),Part 20,PARTIAL,LIMITED,,createBillOfMaterial/activateBillOfMaterial,,manufacturing.routing.manage,,No UI form - API-only,,UI,39-46,
MFG-003,module,Manufacturing,BOM,Multi-level BOM explosion,Part 20,MISSING,NOT_READY,,,,,,No self-reference to another BOM; no explosion logic,,SERVICE,39-46,
MFG-004,module,Manufacturing,Routing,"Routings, work centers",Part 20,MISSING,NOT_READY,,,manufacturing_routings/routing_operations/work_centers (full schema),manufacturing.routing.manage,,"Zero application code creates/updates a routing or work center - permission exists, implementation does not",,SERVICE,39-46,
MFG-005,module,Manufacturing,Capacity,Work center capacity planning,Part 20,MISSING,NOT_READY,,,capacity_per_day/efficiency_percent/calendar columns exist,,,No code ever reads/aggregates these,,SERVICE,39-46,
MFG-006,module,Manufacturing,Planning,MRP,Part 20,FOUNDATION_ONLY,NOT_READY,,,manufacturing_planning_runs/material_requirements,manufacturing.planning.run,,Zero application code writes to either table - no MRP run ever executes,,SERVICE,39-46,Pure dead schema
MFG-007,module,Manufacturing,Production,Production orders (work orders) create/release/start,Part 20,PARTIAL,LIMITED,,createWorkOrder/releaseWorkOrder/startWorkOrder real+transactional,,,,No UI - API-only,,UI,39-46,
MFG-008,module,Manufacturing,Shop floor,Job cards / shop-floor execution,Part 20,PARTIAL,NOT_READY,,work_order_operations generated at WO creation,,,,"Nothing ever transitions an operation to completed - this makes the production-posting completion gate PERMANENTLY BLOCKING once a routing is attached",,SERVICE,39-46,Real bug worth immediate attention within cluster
MFG-009,module,Manufacturing,Materials,Materials issue / backflush,Part 20,PARTIAL,LIMITED,,postProduction real shortage validation+stock postings,manufacturing_settings.backflush_materials flag,,,backflush_materials setting is read nowhere - dead toggle,,SERVICE,39-46,
MFG-010,module,Manufacturing,Materials,Scrap,Part 20,MISSING,NOT_READY,,,quantity_scrapped column + scrap posting_type,manufacturing.scrap.post,,No code ever writes quantity_scrapped or posts a scrap-type posting,,SERVICE,39-46,
MFG-011,module,Manufacturing,Traceability,Lots/serials traceability,Part 20,PARTIAL,LIMITED,,batch_id/serial_id flow through movements,,,,No lot/serial genealogy report or query,,REPORTING,39-46,
MFG-012,module,Manufacturing,Quality,Quality linkage,Part 20,MISSING,NOT_READY,,,,,,No FK/reference from manufacturing tables to any quality_* table,,INTEGRATION,39-46,
MFG-013,module,Manufacturing,Maintenance,Maintenance linkage (equipment),Part 20,MISSING,NOT_READY,,,,,,No FK from work_centers to asset_maintenance_orders/assets,,INTEGRATION,39-46,
MFG-014,module,Manufacturing,Costing,Costing engine,Part 20,FOUNDATION_ONLY,NOT_READY,,,manufacturing_cost_snapshots (full schema),manufacturing.costing.view,,Zero code writes to this table - no costing computation exists anywhere,,SERVICE,39-46,Pure dead schema
MFG-015,module,Manufacturing,Costing,Variance analysis,Part 20,MISSING,NOT_READY,,,,,,No variance query/report found,,REPORTING,39-46,
MFG-016,module,Manufacturing,Analytics,Dashboard (WO counts + shortage join),Part 20,PARTIAL,LIMITED,manufacturing-dashboard.tsx,getManufacturingDashboard real SQL,,,,"Limited to 4 KPI tiles, no drill-down",,REPORTING,39-46,
MFG-017,module,Manufacturing,Subcontracting,Subcontracting,Part 20,FOUNDATION_ONLY,NOT_READY,,,routing_operations.subcontracted flag exists,,,"Flag set nowhere, read nowhere - no subcontract PO/receipt flow",,SERVICE,39-46,
MFG-018,module,Manufacturing,Advanced,APS / Industry 4.0 / IoT,Part 20,MISSING,NOT_READY,,,,,,No evidence anywhere,,PRODUCT_DECISION,39-46,
MFG-019,module,Manufacturing,Cross-module,Manufacturing to Stock (production posting),Part 20,COMPLETE,LIMITED,,postProduction real+idempotent+atomic stock movement,,,,Strongest cross-module path of the three modules,,,39-46,"Positive finding, but see STOCK-025 (balance not updated)"
PROJ-001,module,Projects,Projects,Project CRUD/lifecycle state machine,Part 19,PARTIAL,LIMITED,,createProject/transitionProject real,,,,No UI to create a project or trigger a transition - API-only,,UI,47-51,
PROJ-002,module,Projects,Milestones,Milestones create,Part 19,MISSING,NOT_READY,,,project_milestones (full schema),projects.milestones.manage,,No createMilestone/update function exists in the service at all,,SERVICE,47-51,Dashboard claims capability that does not exist
PROJ-003,module,Projects,Tasks,Task creation,Part 19,PARTIAL,LIMITED,,createProjectTask real,,,,No UI,,UI,47-51,
PROJ-004,module,Projects,Tasks,Task dependencies,Part 19,FOUNDATION_ONLY,NOT_READY,,,project_task_dependencies (4 dependency types),,,No code ever creates a dependency row - dead table,,SERVICE,47-51,
PROJ-005,module,Projects,Resourcing,Resource allocation,Part 19,FOUNDATION_ONLY,NOT_READY,,,project_members allocation_percent/cost_rate/bill_rate,,,Only written implicitly as PM auto-assignment side effect,,SERVICE,47-51,
PROJ-006,module,Projects,Time,Time tracking entry,Part 19,COMPLETE,READY,,createTimeEntry real,,,,,,,47-51,
PROJ-007,module,Projects,Time,Time entry approval,Part 19,COMPLETE,BLOCKED,,approveTimeEntry real+self-approval-blocked,,,,"Implemented in service, zero routes wired to it anywhere in apps/web",,UI,47-51,Orphaned at route layer not service layer
PROJ-008,module,Projects,Expenses,Expense entry,Part 19,MISSING,NOT_READY,,,project_expenses (full schema),projects.expense.enter/approve,,No createExpense function exists in the service at all,,SERVICE,47-51,
PROJ-009,module,Projects,Billing,Billing/financial integration (milestones to Accounting),Part 19,FOUNDATION_ONLY,NOT_READY,,,project_billing_milestones w/ accounting_customer_invoice_id FK,projects.billing.manage,,"No function creates/transitions/posts a billing milestone - UI-copy promise with zero backing implementation",,SERVICE,47-51,
PROJ-010,module,Projects,Budgets,Budget create/approve,Part 19,MISSING,NOT_READY,,,"project_budgets (full schema, versioned)",projects.budget.manage,,No create/approve function in the service,,SERVICE,47-51,
PROJ-011,module,Projects,Collaboration,Collaboration (comments/mentions/attachments),Part 19,MISSING,NOT_READY,,,,,,No table or code found under this module,,DATABASE,47-51,
PROJ-012,module,Projects,Governance,Self-approval blocks and audit trail,Part 19,COMPLETE,READY,,project_events append-only,,,,,,,47-51,
PROJ-013,module,Projects,Analytics,Profitability calculation,Part 19,COMPLETE,LIMITED,/profitability route,getProjectProfitability real aggregation,project_profitability_snapshots,,,"Math correct but expense/billed-revenue inputs structurally unreachable since PROJ-008/PROJ-009 have no write path",,SERVICE,47-51,
PROJ-014,module,Projects,Analytics,Portfolio dashboard,Part 19,PARTIAL,LIMITED,,getProjectsDashboard real SQL,,,,"Single dashboard view, no cross-project resource/capacity rollup",,REPORTING,47-51,
PROJ-015,module,Projects,Cross-module,Procurement links to profitability,Part 19,FOUNDATION_ONLY,NOT_READY,,,project_procurement_links,,,"Table exists, read by profitability calc, but no code populates it",,INTEGRATION,47-51,
ASSET-001,module,Assets,Register,Asset register / categories create,Part 18,PARTIAL,LIMITED,,createManagedAssetCategory/createManagedAsset real,,,,No UI create form - API-only,,UI,52-56,
ASSET-002,module,Assets,Acquisition,Acquisition linkage (PO/receipt/vendor bill),Part 18,PARTIAL,LIMITED,,accepted as free-form input,,,,Not validated against real Procurement/Accounting records,,INTEGRATION,52-56,
