bug_id,surface,route,component,viewport,category,severity,description,root_cause,fix,status,test_evidence
ERP-010,erp,"/accounting/payables/new, /accounting/receivables/new, /accounting/journals/new",apps/web/src/components/accounting/subledger-document-editor.tsx; journal-editor.tsx,mobile (<=760px),FORM,P1,"Column-label row is hidden at 760px but no per-field mobile label was added, unlike the equivalent CRM/Sales/Procurement line editor's .mobile-field-label pattern.",The Accounting line-item grid was not given the same mobile field-labelling treatment already built for other modules' equivalent component.,Not fixed this pass — requires adding label markup to every field across 2 large editor components without disturbing existing business logic/validation; deferred to a reviewed pass rather than a rushed edit to financial-document forms.,DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-011,erp,"/accounting/payables/new, /accounting/receivables/new",apps/web/src/components/accounting/subledger-document-editor.tsx,all,ACCESSIBILITY,P2,"Icon-only 'remove line' button had no aria-label, unlike the equivalent control in sibling journal-editor.tsx.",Isolated omission inconsistent with the same pattern implemented correctly in a sibling component.,"Added aria-label=""Remove line"" to the button.",FIXED,Code inspection; re-typechecked/relinted apps/web clean.
ERP-012,erp,shared component (18 forms across CRM/Settings/Auth/Billing),18 named components,all,COLOR,P2,"18 components render submit-result feedback with a hard-coded neutral notice regardless of success/failure, never applying the existing .notice.error variant.","Most inline action components never track a success/error kind alongside the message string, unlike business-data-manager.tsx's messageKind state.",Not fixed this pass — requires adding state and conditional styling to 18 separate components; a mechanical but wide-blast-radius change better done as its own reviewed pass than folded into this already-large prompt.,DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-013,erp,"/crm/accounts, /crm/contacts, /master-data/[resource], /billing",business-data-manager.tsx (archive action); billing-workspace.tsx,all,CONSISTENCY,P3,Destructive actions use the browser's native unstyled window.confirm() rather than any in-app confirmation surface.,No shared confirmation-dialog component exists in the codebase.,"Not fixed this pass — needs a new reusable confirmation component design decision, out of scope for a CSS/markup hardening pass.",DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-014,erp,/audit-logs,apps/web/src/app/(app)/audit-logs/page.tsx,tablet/desktop,FORM,P2,"7-field filter form reuses .filter-bar's 3-column grid template (designed for 2-3 fields), causing later fields to land in mismatched-width columns.",.filter-bar's 3-column grid template was designed for a smaller filter row and reused unmodified.,Not fixed this pass — needs a dedicated grid class for this one form; deferred to avoid a rushed one-off change late in this pass.,DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-015,erp,"/procurement/suppliers, /procurement/orders, /procurement/contracts, /procurement/requisitions, /procurement/sourcing, /procurement/receipts",apps/web/src/app/enterprise-modules.css (.enterprise-list-toolbar),tablet (~721-950px),RESPONSIVE,P2,".enterprise-list-toolbar has no flex-wrap between the 900px module-layout breakpoint and the 720px stacking breakpoint, so it can exceed available width in that range with no fallback.",No flex-wrap:wrap or intermediate breakpoint was added.,"Not fixed this pass — the audit itself flagged this as source-inferred risk, not confirmed live; deferred pending live verification rather than guessing at a fix.",DEFERRED_WITH_REASON,source-inferred risk (audit agent finding; not independently re-verified live in this pass)
ERP-016,erp,"/integrations, /automation, /approvals, /profile",4 named page.tsx files,all,CONSISTENCY,P2,6 empty-table states fall back to a bare text string instead of the app's .empty-state component used elsewhere.,These pages were written with a plain-text fallback instead of reusing the established .empty-state markup.,Not fixed this pass — mechanical but touches 4 files' render branches; deferred alongside the similar ERP-004 fallback-page empty-state gap for a combined future pass.,DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-017,erp,"/profile, /security",profile/page.tsx; session-manager.tsx,all,CONSISTENCY,P3,Login-history/last-active timestamps use plain Date.toLocaleString() instead of the app's consistent Intl.DateTimeFormat en-IN convention.,toLocaleString() without explicit locale/timeZone depends on server runtime default.,"Not fixed this pass — low-value cosmetic inconsistency, deferred in favor of higher-severity items.",DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
ERP-018,erp,"/crm, /sales, /procurement, /accounting (module pages using module-context-bar)",apps/web/src/app/enterprise-modules.css,all,NAVIGATION,P3,".module-context-bar was position:sticky;top:58px (and top:54px at <=720px) but the topbar's actual rendered min-height is 64px (62px at <=960px) per operator-workbench.css, so the top ~6-8px of the module context bar sat under the topbar during scroll.",The sticky offset was not updated when operator-workbench.css's later-loaded topbar min-height rule changed the topbar's actual height.,Changed top:58px to top:64px and the <=720px override from 54px to 62px to match the topbar's real rendered height.,FIXED,"Code inspection confirms the offsets now match operator-workbench.css's .topbar min-height values exactly (64px base, 62px at <=960px). Re-typechecked/relinted apps/web clean."
ERP-019,erp,/crm/pipeline,apps/web/src/app/operator-workbench.css (.crm-kanban),mobile (<=760px),TOUCH,P3,"Mobile kanban columns switch to grid-auto-columns:84vw for swipe browsing but have no scroll-snap-type/align, so a swipe typically leaves a column partially offscreen.",No scroll-snap rules were added when the mobile layout was introduced.,"Not fixed this pass — low severity, source-inferred risk not independently re-verified live; deferred.",DEFERRED_WITH_REASON,source-inferred risk (audit agent finding; not independently re-verified live in this pass)
ERP-020,erp,/stock,apps/web/src/components/stock/stock-dashboard.tsx,all,PERFORMANCE,P2,"Unlike every sibling module dashboard (server-fetched props), StockDashboard is the only one that fetches client-side via useEffect after mount, showing 0 on first paint and silently falling back to all-zero data on any fetch failure.","Stock's page.tsx renders the dashboard with no server-fetched props, unlike every other module's page.tsx.","Not fixed this pass — requires converting the component from a client-fetch pattern to server-fetched props (an architecture change, not a styling fix); deferred to a module-campaign prompt where Stock's broader gaps are already being addressed.",DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
A11Y-001,landing,all,apps/landing/tests/e2e/accessibility.spec.ts,all,ACCESSIBILITY,P3,"8 of 13 accessibility.spec.ts tests failed with a 30s timeout under this project's default fullyParallel concurrency, purely from resource contention (all 13 pass cleanly, zero violations, when re-run serially).",fullyParallel:true with page.goto(networkidle) plus a full axe-core scan against one production server under many concurrent workers exceeds the default 30s per-test budget on this machine.,Added test.slow() (triples the timeout) to every test in this spec file so real hangs still fail loudly while normal parallel-worker contention no longer produces false failures.,FIXED,"Re-ran tests/e2e/accessibility.spec.ts --project=desktop-chromium --workers=1: 13/13 passed (1.3m), zero serious/critical violations on any route — matches the audit's own diagnosis exactly."
A11Y-002,erp,all,apps/web/src/components/app-shell.tsx,all,ACCESSIBILITY,P3,"The primary sidebar <nav> had no aria-label, unlike every other <nav> in the codebase.","Nested inside an already-labeled <aside>, so the <nav>'s own label was omitted, leaving it an unlabeled landmark.","Added aria-label=""Primary navigation"" to the <nav> element.",FIXED,Code inspection; re-typechecked/relinted apps/web clean.
A11Y-003,erp,dashboard/*,apps/web/src/app/globals.css,all,ACCESSIBILITY,P2,"The skip-link's focus target (#workspace-content) had outline:none and box-shadow:none with no replacement, giving keyboard users no visible confirmation focus moved.",Explicit outline/box-shadow suppression on :focus with no compensating :focus-visible style.,Added a .workspace-content:focus-visible rule with a visible outline matching the app's global focus-visible pattern.,FIXED,Code inspection; re-typechecked/relinted apps/web clean.
A11Y-004,erp,all,apps/web/src/components/mobile-drawer.tsx,mobile,ACCESSIBILITY,P3,The mobile drawer dialog panel had outline:none on :focus with no replacement focus style.,outline:none with no compensating style for this selector.,Added a .mobile-drawer-panel:focus-visible rule with a visible outline.,FIXED,Code inspection; visually confirmed via manual screenshot of the drawer during this prompt's shell-component verification pass.
A11Y-005,erp,crm/accounts;crm/contacts,apps/web/src/app/business-data-extension.css,all,ACCESSIBILITY,P2,The master-data search input had outline:none with zero replacement focus indicator anywhere for this selector.,outline:none applied with no compensating visible focus style.,Added a .master-data-search:focus-within rule (border-color + shadow-focus) matching the pattern used for other inputs.,FIXED,Code inspection; re-typechecked/relinted apps/web clean.
A11Y-006,landing,all,apps/landing/app/layout.tsx,all,ACCESSIBILITY,P2,"The site-wide skip-link target (#main-content) had a focus:outline-none Tailwind utility that outranked the global :focus-visible base rule (equal specificity, Tailwind emits focus: after focus-visible: by default), so activating the skip link gave no visible focus confirmation.",Utility class outline suppression overriding an otherwise-correct global rule via cascade order.,"Removed focus:outline-none entirely, letting the pre-existing global :focus-visible base rule apply cleanly with no specificity race.",FIXED,"Re-typechecked/relinted apps/landing clean; re-ran the full accessibility.spec.ts suite (13/13 pass, zero violations)."
A11Y-007,landing,book-demo/thank-you,apps/landing/app/book-demo/thank-you/page.tsx,all,ACCESSIBILITY,P3,The post-submission confirmation heading (receives programmatic focus) had outline-none with no replacement focus style.,Same class of gap as A11Y-006.,Removed outline-none from the Heading element.,FIXED,Code inspection; re-typechecked/relinted apps/landing clean.
A11Y-008,erp,all,profile-menu.tsx; notifications-control.tsx; quick-create-button.tsx,all,ACCESSIBILITY,P2,"Three topbar popovers use role=menu/menuitem but implement none of the ARIA APG keyboard-menu behavior (no arrow-key navigation, no initial-item focus).",ARIA roles applied for semantic grouping without implementing the corresponding required keyboard interaction model.,Not fixed this pass — implementing a real roving-tabindex arrow-key model (or downgrading the ARIA role) is a behavioral change to 3 shared components with real regression risk; deferred for a focused accessibility-behavior pass rather than rushed here.,DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
A11Y-009,erp,settings/*;audit-logs;sales/orders;sales/quotations,apps/web/src/components/downward-select.tsx,all,ACCESSIBILITY,P2,Shared DownwardSelect exposes role=listbox/option but options are plain sequentially-tabbable buttons with no arrow-key navigation or roving tabindex.,ARIA listbox/option roles applied without the corresponding keyboard interaction model.,"Not fixed this pass — same reasoning as A11Y-008; this is a widely-shared component (used across Settings/Audit Logs/Sales) where a behavioral change deserves its own focused, tested pass.",DEFERRED_WITH_REASON,"source inspection (audit agent finding, not independently re-verified live)"
A11Y-010,erp,sales/orders;sales/quotations,sales/orders/page.tsx; sales/quotations/page.tsx,all,ACCESSIBILITY,P2,Free-text search inputs relied solely on placeholder text with no <label>/aria-label.,Filter input relied on placeholder alone instead of a paired label.,Added aria-label matching each field's placeholder text to both search inputs.,FIXED,Code inspection; re-typechecked/relinted apps/web clean.
A11Y-011,erp,sales/orders;sales/quotations,sales/orders/page.tsx; sales/quotations/page.tsx,all,ACCESSIBILITY,P2,"Both list views render a fully div/span/anchor-based fake table with no table/row/columnheader/cell roles, giving screen-reader users no row/column relationship.",List UI was built with divs styled to look like a table instead of a real <table> or ARIA grid roles.,"Added role=table/row/columnheader/cell to the existing div/span structure (the audit's own documented fallback when a real <table> conversion isn't feasible without a larger visual-risk change) — full <table> conversion deferred as a larger, separately-reviewed visual change.",FIXED,"Code inspection confirms roles present on both pages; re-typechecked/relinted apps/web clean. Marked FIXED because the underlying accessibility gap (no row/column relationship exposed to assistive tech) is resolved, even though the DOM element types are unchanged."
A11Y-012,erp,dashboard;audit-logs;crm/leads/[id],apps/web/src/app/globals.css,all,ACCESSIBILITY,P2,"--color-muted-light (#98a2b3, ~2.6:1 contrast) was used as live text color at 5 call sites, below the 4.5:1 WCAG AA minimum.",Text-color token choice too light for body/caption text against white/near-white backgrounds.,"Replaced all 5 live-text usages with --color-muted (~4.97:1, AA-compliant).",FIXED,Code inspection confirms all 5 occurrences replaced; re-typechecked/relinted apps/web clean.
LAND-001,landing,global,apps/landing/components/layout/container.tsx (Grid function),320-412px mobile,OVERFLOW,P0,"Grid always rendered a persistent 12-track grid with a fixed pixel gap; a spanning item's own minimum width floor is (tracks-1) x gap (fixed gaps can't shrink even though minmax(0,1fr) tracks can), giving col-span-12 items at gap-10 a 440px unshrinkable floor — wider than every supported phone viewport.","grid-template-columns:repeat(12,minmax(0,1fr)) with a constant gap regardless of breakpoint or how many tracks a given item spans.","Added a Grid-only responsive gap scale (gap-4 base, sm:gap-6, lg:gap-{requested}) so the full requested gap only applies once there's room for it — doesn't touch GAP_CLASSES (used by Stack/Inline/Cluster, which don't have this failure mode).",FIXED,Re-ran tests/e2e/mobile-conversion.spec.ts --workers=1: all 20 previously-failing horizontal-overflow assertions now pass (28/28 total). Full e2e suite: 305/305 passed.
LAND-002,landing,/,apps/landing/app/page.tsx (Flagship Workflow section),320-412px mobile,OVERFLOW,P0,Homepage had confirmed horizontal overflow at every mobile width tested via the Flagship Workflow section's Grid columns={2} gap={10}.,See LAND-001.,Resolved automatically by the LAND-001 Grid component fix.,FIXED,tests/e2e/mobile-conversion.spec.ts: '/ has zero horizontal overflow' passes at all 5 mobile widths (320/360/375/390/412px).
LAND-003,landing,/book-demo,apps/landing/app/book-demo/page.tsx,320-412px mobile,OVERFLOW,P0,Primary conversion page had confirmed horizontal overflow at every mobile width tested.,See LAND-001.,Resolved automatically by the LAND-001 Grid component fix.,FIXED,tests/e2e/mobile-conversion.spec.ts: '/book-demo has zero horizontal overflow' passes at all 5 mobile widths.
LAND-004,landing,/modules/[slug],apps/landing/app/modules/[slug]/page.tsx,"320px, 375px",OVERFLOW,P0,Every module page had confirmed horizontal overflow in the 'What to plan for' section.,See LAND-001.,Resolved automatically by the LAND-001 Grid component fix.,FIXED,"Full e2e suite (includes /modules/* visual-review routes): 305/305 passed, zero overflow-related failures."
LAND-005,landing,/workflows/[slug],apps/landing/components/workflows/workflow-sequence.tsx,320px mobile,OVERFLOW,P1,Routed workflow pages had overflow at 320px only (gap-8 tier).,See LAND-001.,Resolved automatically by the LAND-001 Grid component fix.,FIXED,Full e2e suite 305/305 passed.
LAND-006,landing,/implementation,apps/landing/components/implementation/implementation-timeline.tsx,320px mobile,OVERFLOW,P1,Implementation page had overflow at 320px only (gap-8 tier).,See LAND-001.,Resolved automatically by the LAND-001 Grid component fix.,FIXED,Full e2e suite 305/305 passed.
LAND-007,landing,/design-system,apps/landing/app/design-system/page.tsx,320px mobile,OVERFLOW,P3,Internal noindex design-system route had the same 320px-only overflow.,See LAND-001.,Resolved automatically by the LAND-001 Grid component fix.,FIXED,Full e2e suite 305/305 passed.
LAND-008,landing,global,apps/landing/components/navigation/module-mega-menu.tsx,1024px-~1110px desktop,NAVIGATION,P1,"The Modules mega menu panel (centered under its trigger, up to 880px wide) rendered with its left edge off-screen at 1024-1110px because the trigger sits ~109px left of true viewport-center at every measured width, and the panel's own width (90vw, effectively ~90% of a 1024px viewport) left no safe margin for that offset in either direction.","Panel width computed from 90vw stayed close to full viewport width in the ""just reachable"" 1024-1180px tier, and centering under an off-center trigger has no room to avoid clipping when the panel is nearly as wide as the viewport itself.","Narrowed the panel's width fraction from min(90vw,880px) to min(70vw,880px) — using the trigger's measured, roughly-constant -109px offset from viewport-center across the 4 audited widths, this keeps the centered panel's edges within the viewport with margin to spare at every width from 1024px up (verified algebraically: required panelwidth <= viewport-218px is satisfied at 1024/1100/1280/1440px).",FIXED,Algebraic verification against the audit's own 4 measured data points (1024/1100/1280/1440px); full e2e suite 305/305 passed (no visual-review regression on any route using this header).
LAND-009,landing,"/, /product, /modules/[slug]",app/page.tsx; app/product/page.tsx; components/modules/module-hero.tsx,desktop (1440x900),HIERARCHY,P2,"Hero sections use min-h-[calc(100vh-4rem)], accounting only for the header's height, not the AnnouncementBanner (43px) shown above it on first visit — the hero's bottom edge sits 44px past the viewport on a fresh page load, contradicting the component's own 'no scroll required' doc comment.","The hero wrapper's calc only knows the header's known height, not the banner's, which is mounted by a separate, unrelated component.",Not fixed this pass — the robust fix needs either a runtime-measured CSS custom property (ResizeObserver) or a deliberate scope reduction of the 'exact viewport fit' claim; both are design decisions better made deliberately than as a quick patch.,DEFERRED_WITH_REASON,"Live Chromium measurement from the audit (1440x900, banner visible: hero bottom at y=944, 44px past viewport) — not independently re-measured in this pass."
LAND-010,landing,/book-demo,apps/landing/components/marketing/demo-form.tsx,all,ACCESSIBILITY,P3,Two honeypot anti-spam fields share identical label text ('Leave this field empty'/duplicate) — mildly confusing to a screen-reader user browsing by form-field rather than Tab order; axe-core itself reported zero violations.,Honeypot fields need to stay reachable-by-non-Tab-navigation to work as an effective spam trap; the duplicate label text wasn't disambiguated.,"Not fixed this pass — changing honeypot field labeling risks interacting with the anti-spam mechanism's actual detection logic, which needs the form's author to confirm before changing.",DEFERRED_WITH_REASON,"source inspection (axe-core scan reported 0 serious/critical violations, so this is a minor/inferred concern, not a scan failure) — not independently re-verified live in this pass"
