feature_id,scope,category,feature_name,status,uat_status,ui_evidence,service_evidence,database_evidence,permission_evidence,test_evidence,primary_gap,blocker_type,recommended_prompt_cluster,notes
ACC-019,accounting,Forecast,Cash forecasting,COMPLETE,READY,,forecast.js generateCashForecast probability-weighted,,,,none material,,n/a,
ACC-020,accounting,Accruals,Accruals and deferrals,COMPLETE,READY,,accruals.js createAccrualSchedule/runDueAccruals,,,,none material,,n/a,
ACC-021,accounting,Close,Period close process,COMPLETE,READY,,close.js DEFAULT_TASKS + close_runs/close_tasks,,,,none material,,n/a,
ACC-022,accounting,Close,Year-end close,COMPLETE,LIMITED,,same close-run engine differentiated by close_type,,,,Not independently verified beyond column existence,TESTING,n/a,
ACC-023,accounting,FX,FX / multi-currency,COMPLETE,READY,,advanced.js calculateRevaluation/postRevaluation,,,,none material,,n/a,
ACC-024,accounting,Intercompany,Intercompany transactions,COMPLETE,READY,,advanced.js createIntercompanyRule/Journal,,,,none material,,n/a,
ACC-025,accounting,Consolidation,Consolidation (multi-company),COMPLETE,LIMITED,,advanced.js calculateConsolidation FX-translated,,,,Eliminations are manual-entry only - no automatic intercompany-balance detection,SERVICE,n/a,
ACC-026,accounting,Statements,Financial statements - P&L,COMPLETE,READY,,reports.js getProfitAndLoss real computed,,,,none material,,n/a,
ACC-027,accounting,Statements,Financial statements - Balance Sheet,COMPLETE,READY,,reports.js getBalanceSheet,,,,none material,,n/a,
ACC-028,accounting,Statements,Financial statements - Cash Flow Statement,COMPLETE,READY,,reports.js getCashFlow grouped by cash_flow_category,,,,No automatic indirect-method reconciliation to net income shown,REPORTING,n/a,
ACC-029,accounting,Reports,"Other reports (Trial Balance, GL, Journal Register, Subledger Recon, FX Exposure, Close Status - 17 report keys)",COMPLETE,READY,,reports.js getAccountingReport dispatcher,,,,none material,,n/a,
ACC-030,accounting,Settings,Accounting settings,COMPLETE,READY,,setup.js getAccountingSettings/updateAccountingSettings,,,,none material,,n/a,
ACC-031,accounting,Governance,Governance/exception layer (AR/AP/Bank/Tax),COMPLETE,READY,,4 files ~4400 lines health scoring/saved views/exception cases,,,,none material,,n/a,
ACC-032,accounting,Recurring,Recurring journal templates,COMPLETE,READY,,advanced.js createRecurringTemplate/runDueRecurringTemplates,,,,none material,,n/a,
ACC-033,accounting,Collections,Dunning/collections,COMPLETE,LIMITED,,advanced.js runDunning,dunning_runs/dunning_actions,,,No evidence of actual email/notification dispatch - likely records actions only,INTEGRATION,n/a,
ACC-034,accounting,Tax,TDS (withholding tax),PARTIAL,LIMITED,,per-line withholdingAmount/withholdingAccountId,,,,No India section-rate master (194C/194J/etc.); no Form 16A/26Q generation,SERVICE,85,
ACC-035,accounting,Fixed assets,Depreciation calculation engine,PARTIAL,LIMITED,,assets.js generateDepreciationSchedule,,,,"CORRECTNESS BUG: units_of_production is a selectable enum value but has no calculation branch - silently falls back to straight-line",SERVICE,85,Real user-facing calculation bug not just a gap
ACC-036,accounting,Integration,Sales to Accounting integration,PARTIAL,LIMITED,,createInvoiceFromSalesRequest real consumer,sales_invoice_requests resilient queue,,,Not automatic - requires manual Import click per request; the Prompt 13 worker foundation now exists and could drain this queue but was not wired to it (out of Prompt 13's scope by design),SCHEDULER,85,Re-confirmed still manual after Prompt 13 (Prompt 15 review) — a real, low-risk worker-handler addition for Prompt 85
ACC-037,accounting,Integration,Procurement to Accounting integration,PARTIAL,LIMITED,,importProcurementMatchAsVendorBill,procurement_matching_records,,accounting-service.test.mjs,Same manual-import pattern as Sales; same Prompt-13-worker-exists-but-unwired situation,SCHEDULER,85,Re-confirmed still manual after Prompt 13 (Prompt 15 review)
ACC-038,accounting,Compliance,E-invoice (GST),FOUNDATION_ONLY,NOT_READY,,compliance.js real request/status-tracking shell,compliance_requests + e_invoice_status columns,,,No actual GSTN/IRP integration anywhere - no IRN generation no QR code,EXTERNAL_PROVIDER,85,
ACC-039,accounting,Compliance,E-way bill,FOUNDATION_ONLY,NOT_READY,,same shell as e-invoice,gst_eway_bill enum value,,,No real e-way bill portal integration,EXTERNAL_PROVIDER,86,
ACC-040,accounting,Tax,TCS (tax collected at source),FOUNDATION_ONLY,NOT_READY,,,tcs member of TAX_TYPES enum only,,,No dedicated calculation function; no Section 206C threshold logic,SERVICE,86,
ACC-041,accounting,Integration,POS to Accounting integration,MISSING,BLOCKED,,,,,,"Zero hits for journal/ledger/gl_/accounting in POS service - fully isolated. Re-confirmed after Prompt 12: Prompt 12 fixed POS's stock_balances posting only, added zero accounting integration (re-verified via grep in Prompt 14/15 sessions)",INTEGRATION,86,Depends on POS completion (Prompts 59-64) to have a real checkout flow to post from
ACC-042,accounting,Integration,HR & Payroll to Accounting integration,MISSING,BLOCKED,,transitionPayrollRun post action only stores opaque accountingBatchId,,,,No real journal entry ever created when payroll is posted - confirmed still missing,INTEGRATION,86,Depends on Prompt 17 (payroll correctness) so this posts real numbers, not zeros
ACC-043,accounting,Integration,Assets (equipment module) to Accounting integration,MISSING,BLOCKED,,capitalizeManagedAsset uses plain Number() not the decimal engine,,,,"Two entirely separate, unconnected systems that share vocabulary - Assets module has no dedicated calculation engine at all",INTEGRATION,86,Internal money-handling inconsistency (float vs BigInt) if ever connected — depends on Assets completion (Prompts 54-58)
