feature_id,historical_index,scope,module,category,feature_number,feature_name,source_section,status,uat_status,priority,ui_evidence,service_evidence,database_evidence,permission_evidence,test_evidence,cross_module_evidence,primary_gap,secondary_gap,blocker_type,recommended_prompt,notes
CRM-011,11,module,CRM,Lead management,11,Manual lead creation,Lead management,COMPLETE,READY,P1,"apps/web/src/app/(app)/crm/leads/[id]/page.tsx,apps/web/src/app/(app)/crm/[resource]/page.tsx",services/api/src/crm.js CRUD,tenant.crm_leads,crm.leads.*,field-visibility.test.mjs,,,,NONE,,
CRM-012,12,module,CRM,Lead management,12,Website lead-capture forms,Lead management,COMPLETE,READY,P1,"public form, no internal UI needed",crm/lead-acquisition.js buildLeadFormDefinition/publishLeadForm/submitPublishedLeadForm,"tenant.crm_capture_forms, crm_capture_rate_limits",,crm-public-capture.test.mjs,,,,NONE,,"Rate-limited, origin-checked public form submission endpoint confirmed real."
CRM-013,13,module,CRM,Lead management,13,API-based lead capture,Lead management,COMPLETE,LIMITED,P2,apps/web/src/app/api/crm/public/capture/[key]/route.ts,services/api/src/crm.js captureCrmLead,"tenant.crm_capture_forms, crm_capture_rate_limits",,crm-public-capture.test.mjs,No rate limiting gap already flagged in Prompt 1 remains true for this endpoint,,,NONE,,HMAC-signed capture endpoint with honeypot field; confirmed real (Prompt 11 CRM-016).
CRM-014,14,module,CRM,Lead management,14,Email-to-lead conversion,Lead management,MISSING,NOT_READY,P2,,,,,,,No email-to-lead ingestion pipeline exists at all,,MISSING_SERVICE,24,"No inbound-email-to-lead parsing/ingestion path exists anywhere in services/api/src/crm/lead-acquisition.js or the wider crm folder. Distinct from webhook/CSV/API capture, which are real."
CRM-015,15,module,CRM,Lead management,15,Lead import from CSV/Excel,Lead management,COMPLETE,READY,P1,apps/web/src/app/api/crm/lead-acquisition/imports/route.ts,crm/lead-acquisition.js previewLeadImport/commitLeadImport/rollbackLeadImport,"tenant.crm_import_batches (idempotency, migration 043)",,,,,,NONE,,"Preview/commit/rollback batch import with idempotency keys, genuinely real."
CRM-016,16,module,CRM,Lead management,16,Lead source and campaign tracking,Lead management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/leads/[id]/page.tsx,crm.js CRUD,"tenant.crm_leads.source_id/campaign_id, tenant.crm_lead_sources",,,,,,NONE,,
CRM-017,17,module,CRM,Lead management,17,"Lead assignment by territory, product, workload or round-robin",Lead management,PARTIAL,LIMITED,P1,apps/web/src/app/(app)/crm/settings/page.tsx,services/api/src/crm/lead-governance.js resolveLeadOwner(),"tenant.crm_lead_assignment_policies (mode CHECK allows fixed/round_robin/territory), crm_lead_assignment_state",,,resolveLeadOwner() only implements 'fixed' and 'round_robin' branches; a policy with mode='territory' (DB-legal) silently falls through and does nothing. No 'workload' mode exists in schema or code at all.,'territory' assignment mode is schema-legal but not implemented in code (silent no-op); 'workload' balancing is not modeled at all,Product criteria matching can be approximated via the fixed-mode criteria filter but is not a first-class strategy,MISSING_SERVICE,24,"Compound requirement: round-robin and fixed work end-to-end; territory-based and workload-based assignment do not, despite territory being schema-permitted."
CRM-018,18,module,CRM,Lead management,18,Lead qualification workflow,Lead management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/leads/[id]/page.tsx,"crm/lead-governance.js evaluateLeadReadiness, crm.js status transitions","tenant.crm_leads.status (qualified/unqualified), unqualified_reason",,,,,,NONE,,
CRM-019,19,module,CRM,Lead management,19,Lead scoring,Lead management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/lead-intelligence/page.tsx,crm/lead-intelligence.js calculateLeadScoreBreakdown/recalculateLeadScore/evaluateLeadScoreRule (deterministic weighted rules),"tenant.crm_scoring_rules, crm_lead_score_history",,,,,,NONE,,"Rule-based, not real ML/AI. Requirement text does not say AI so deterministic implementation is a legitimate COMPLETE (matches Prompt 11 CRM-005)."
CRM-020,20,module,CRM,Lead management,20,Lead nurturing stages,Lead management,COMPLETE,READY,P2,apps/web/src/app/(app)/crm/lead-intelligence/page.tsx,crm/lead-intelligence.js refreshLeadNurtureQueue/rankNurtureCandidate/evaluateNurtureEligibility,"tenant.crm_leads.status, nurture queue tables",,,,,,NONE,,
CRM-021,21,module,CRM,Lead management,21,"Lead conversion into account, contact and opportunity",Lead management,COMPLETE,READY,P1,apps/web/src/app/api/crm/leads/[id]/convert/route.ts,services/api/src/crm.js lead conversion,tenant.crm_conversion_records,crm.leads.*,,,,,NONE,,"Converts lead into business_parties account + contact + optional opportunity, snapshot recorded."
CRM-022,22,module,CRM,Lead management,22,Duplicate lead prevention,Lead management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/leads/[id]/page.tsx,crm/lead-acquisition.js findDuplicate() run at creation time,tenant.crm_settings.duplicate_policy (allow/warn/block),,,,,,NONE,,
CRM-023,23,module,CRM,Lead management,23,Lost and disqualified lead reasons,Lead management,COMPLETE,READY,P2,apps/web/src/app/(app)/crm/opportunities/[id]/page.tsx,crm.js,"tenant.crm_lost_reasons, crm_leads.unqualified_reason, crm_opportunities.lost_reason_id",,,,,,NONE,,
CRM-024,24,module,CRM,Opportunity and pipeline management,24,Custom sales pipelines,Opportunity and pipeline management,COMPLETE,READY,P1,"apps/web/src/app/(app)/crm/pipeline/page.tsx,settings/page.tsx",crm.js pipeline CRUD,tenant.crm_pipelines,,,,,,NONE,,Multiple pipelines per org/company supported.
CRM-025,25,module,CRM,Opportunity and pipeline management,25,Configurable opportunity stages,Opportunity and pipeline management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/pipeline/page.tsx,crm.js stage CRUD,"tenant.crm_pipeline_stages (sequence, probability, forecast_category, is_won/is_lost)",,,,,,NONE,,
CRM-026,26,module,CRM,Opportunity and pipeline management,26,Opportunity value and probability,Opportunity and pipeline management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/opportunities/[id]/page.tsx,crm.js,tenant.crm_opportunities.amount/probability,,,,,,NONE,,
CRM-027,27,module,CRM,Opportunity and pipeline management,27,Expected closing date,Opportunity and pipeline management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/opportunities/[id]/page.tsx,crm.js,tenant.crm_opportunities.expected_close_date,,,,,,NONE,,
CRM-028,28,module,CRM,Opportunity and pipeline management,28,Products and services linked to opportunities,Opportunity and pipeline management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/opportunities/[id]/page.tsx,crm.js opportunity items,"tenant.crm_opportunity_items (item_id, price_list_id, quantity, discount, tax, generated totals)",,,,,,NONE,,
CRM-029,29,module,CRM,Opportunity and pipeline management,29,Competitor tracking,Opportunity and pipeline management,COMPLETE,READY,P2,apps/web/src/app/(app)/crm/opportunities/[id]/page.tsx,crm.js,"tenant.crm_competitors, crm_opportunity_competitors",,,,,,NONE,,
CRM-030,30,module,CRM,Opportunity and pipeline management,30,Stakeholder and decision-maker tracking,Opportunity and pipeline management,COMPLETE,READY,P2,apps/web/src/app/(app)/crm/opportunities/[id]/page.tsx,"crm.js, crm_account_stakeholders / crm_buying_committees","tenant.crm_account_stakeholders (stakeholder_role, influence_level, sentiment), crm_buying_committees/members",,,,,,NONE,,"Two overlapping stakeholder models exist (account-plan stakeholders and opportunity buying committees), both real and queried by the relationship-coverage report."
CRM-031,31,module,CRM,Opportunity and pipeline management,31,Next action and follow-up scheduling,Opportunity and pipeline management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/opportunities/[id]/page.tsx,opportunity-operations.js evaluateOpportunityHealth() flags missing next_step,"tenant.crm_opportunities.next_step, tenant.crm_activities (entity_type='opportunity')",,,,,,NONE,,next_step field plus linked activities constitute real follow-up scheduling.
CRM-032,32,module,CRM,Opportunity and pipeline management,32,Opportunity history,Opportunity and pipeline management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/opportunities/[id]/page.tsx,crm/opportunity-operations.js getOpportunityTimeline,tenant.crm_opportunity_stage_history,,,,,,NONE,,
CRM-033,33,module,CRM,Opportunity and pipeline management,33,Win/loss analysis,Opportunity and pipeline management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/opportunity-revenue/page.tsx,"crm/opportunity-revenue-intelligence.js summarizeWinLoss(), submitWinLossReview()",tenant.crm_opportunities.lost_reason_id/loss_notes,,,,,,NONE,,
CRM-034,34,module,CRM,Opportunity and pipeline management,34,Pipeline velocity,Opportunity and pipeline management,MISSING,NOT_READY,P3,,,,,,,"No pipeline velocity metric exists, only its raw components (win rate, avg cycle time) separately",,MISSING_SERVICE,24,No 'velocity' metric is computed anywhere in crm.js or any crm/*.js file; grepped 'velocity' across services/api/src/crm* and apps/web/src - zero matches. revenue-operations report computes win_rate_percent and average_sales_cycle_days separately but never combines them.
CRM-035,35,module,CRM,Opportunity and pipeline management,35,Weighted revenue forecast,Opportunity and pipeline management,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/reports/page.tsx,"crm.js getCrmReport('forecast'/'revenue-operations'), crm_forecast_submissions","tenant.crm_forecast_periods, crm_forecast_submissions, crm_forecast_snapshots, crm_quota_plans",,,,,,NONE,,weighted_amount = amount * probability/100 computed in both dashboard and reports.
CRM-036,36,module,CRM,Activities and communication,36,"Tasks, calls, meetings and reminders",Activities and communication,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/[resource]/page.tsx (activities),"crm.js CRUD, ownership scoping","tenant.crm_activities (activity_type task/call/meeting/email/whatsapp/sms/note, reminder_at)",crm.activities.*,,,,,NONE,,
CRM-037,37,module,CRM,Activities and communication,37,Email integration and email templates,Activities and communication,COMPLETE,LIMITED,P1,apps/web/src/app/(app)/crm/communications/page.tsx,"crm/communications.js renderCommunicationTemplate(), sendEmail path","tenant.crm_engagement_templates, tenant.crm_communications",,,"Real email provider needs live credentials (mock provider is explicitly non-production, confirmed Prompt 11 CRM-009)",,,MISSING_INTEGRATION,,Template rendering and send-orchestration are real; actual delivery depends on a live provider connection.
CRM-038,38,module,CRM,Activities and communication,38,Email open and click tracking,Activities and communication,FOUNDATION_ONLY,NOT_READY,P2,,crm/marketing-execution.js registerMarketingEvent() (manual event registration API),"tenant.crm_marketing_deliveries.opened_at/clicked_at, status enum includes opened/clicked",,,No tracking pixel is embedded and no link-wrapping/redirect exists anywhere in services/api/src/crm/communications.js send path.,"No automatic instrumentation on outbound email - open/click tracking requires manual reporting, not real telemetry",,MISSING_SERVICE,24,Schema and a manual registration endpoint exist; there is no auto-fired tracking pixel or click-redirect wrapper anywhere in the send path.
CRM-039,39,module,CRM,Activities and communication,39,Calendar integration,Activities and communication,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/communications/page.tsx,"crm/communications.js ingestCalendarDelta(), fetchProviderCalendarDelta() (real Google Calendar API call), getMeetingAvailability/bookMeeting","tenant.crm_calendar_events, crm_calendar_attendees, crm_meeting_links, crm_meeting_bookings",,,,,,NONE,,Genuine Google Calendar sync with delta cursor plus a public meeting-booking/availability flow.
CRM-040,40,module,CRM,Activities and communication,40,Notes and internal comments,Activities and communication,COMPLETE,READY,P1,"apps/web/src/app/(app)/crm/leads/[id]/page.tsx,opportunities/[id]",crm.js CRUD,tenant.crm_notes (is_pinned),,,,,,NONE,,
CRM-041,41,module,CRM,Activities and communication,41,WhatsApp/SMS integration,Activities and communication,FOUNDATION_ONLY,BLOCKED,P2,apps/web/src/app/(app)/crm/settings/page.tsx (integrations),crm.js crm_integrations config CRUD,"tenant.crm_integrations (provider CHECK includes whatsapp/twilio), crm_consent_events(channel whatsapp/sms)",,,"Consent tracking per channel is real; per Prompt 10's Administration audit, no WhatsApp/SMS provider is actually wired to send a message.",No live WhatsApp/SMS provider integration exists; only configuration storage and consent tracking are real,,MISSING_PROVIDER,24,"Consistent with Prompt 10 finding: consent infrastructure real, actual sending absent."
CRM-042,42,module,CRM,Activities and communication,42,Call logging and recording integration,Activities and communication,PARTIAL,BLOCKED,P2,apps/web/src/app/(app)/crm/conversation-intelligence/page.tsx,crm/conversation-intelligence.js (real call/recording/transcription data model and consent gating),"tenant.crm_conversations, crm_conversation_recordings, crm_conversation_transcripts",,,"Call logging (crm_activities/crm_communications channel='call') is real and usable today; recording/transcription requires a live telephony provider webhook, and per Prompt 11 CRM-010 the delivery worker (crm:provider-jobs) does not exist.",Recording/transcription requires an external telephony provider not wired in this environment,,MISSING_PROVIDER,24,Logging works now; recording integration is blocked on missing provider/worker (same root cause as CRM-010).
CRM-043,43,module,CRM,Activities and communication,43,Activity automation,Activities and communication,PARTIAL,LIMITED,P2,apps/web/src/app/(app)/crm/settings/page.tsx (automation),crm.js runCrmAutomation() action.type==='create_activity',"tenant.crm_automation_rules, crm_automation_runs",automation.view,,"Per Prompt 13, only 4 of 7 defined event types are ever actually triggered; lead.updated/lead.qualified/campaign.member_responded have no call site at all.",3 of 7 automation trigger event types are never invoked anywhere in the codebase,,CROSS_MODULE_GAP,24,Activity-creation automation genuinely fires for the wired event types only.
CRM-044,44,module,CRM,Activities and communication,44,Team mentions and collaboration,Activities and communication,MISSING,NOT_READY,P3,,,,,,,No team-mention/collaboration feature exists at all,,MISSING_SERVICE,24,"No @mention parsing, mention-notification, or collaboration primitive exists anywhere in services/api/src/crm* or the CRM UI tree."
CRM-045,45,module,CRM,Activities and communication,45,Mobile activity capture,Activities and communication,COMPLETE,READY,P1,"apps/mobile CRM screens, apps/web/src/app/api/mobile/v1/crm/**",crm/offline-sync.js applyOfflineMutation/applyOfflineBatch/resolveOfflineConflict,tenant tables via offline mutation log,,,,,,NONE,,Real conflict resolution and batch application logic (Prompt 11 CRM-019).
CRM-046,46,module,CRM,Campaigns and automation,46,Marketing campaign records,Campaigns and automation,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/marketing/page.tsx,crm/marketing-execution.js saveMarketingCampaign(),tenant.crm_campaigns,,,,,,NONE,,
CRM-047,47,module,CRM,Campaigns and automation,47,Campaign members and target lists,Campaigns and automation,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/marketing/page.tsx,"crm/marketing-execution.js, crm.js campaign members","tenant.crm_campaign_members, crm_marketing_segments",,,,,,NONE,,
CRM-048,48,module,CRM,Campaigns and automation,48,Customer segmentation,Campaigns and automation,COMPLETE,READY,P2,apps/web/src/app/(app)/crm/marketing/page.tsx,crm/marketing-execution.js normalizeMarketingSegmentDefinition/compileMarketingSegmentFilter/refreshMarketingSegment,tenant.crm_marketing_segments,,,,,,NONE,,Dynamic filter-based segment membership recomputation is real.
CRM-049,49,module,CRM,Campaigns and automation,49,Drip campaigns,Campaigns and automation,PARTIAL,LIMITED,P2,apps/web/src/app/(app)/crm/marketing/page.tsx,crm/marketing-execution.js normalizeJourneyDefinition/enrollMarketingJourney/advanceMarketingJourney/processMarketingCampaignRun,"tenant.crm_marketing_journeys, crm_marketing_deliveries",,,"processMarketingCampaignRun() marks deliveries 'sent'/'delivered' without ever calling a real channel provider API - status flip only, so no message is genuinely dispatched.",Delivery status is simulated; no real email/SMS/WhatsApp dispatch occurs even when a provider is configured,,MISSING_PROVIDER,24,Journey/segment/personalization logic is real; final message delivery is not.
CRM-050,50,module,CRM,Campaigns and automation,50,Automated follow-up sequences,Campaigns and automation,FOUNDATION_ONLY,NOT_READY,P2,apps/web/src/app/(app)/crm/[resource]/page.tsx (sequences),"crm.js generic CRUD only (table: tenant.crm_sequence_enrollments, orderBy next_run_at)","tenant.crm_sequences, crm_sequence_steps, crm_sequence_enrollments",,,No worker or scheduled job advances crm_sequence_enrollments.next_run_at anywhere (checked services/worker); enrollments can be created/listed but nothing automatically executes the next step.,"No automatic step-advancement engine exists - sequences are a CRUD list, not a running automation",,MISSING_SERVICE,25,"Same class of gap as CRM-012 automation: schema and CRUD exist, execution engine does not."
CRM-051,51,module,CRM,Campaigns and automation,51,Campaign cost and revenue attribution,Campaigns and automation,COMPLETE,READY,P2,apps/web/src/app/(app)/crm/marketing/page.tsx,"crm/marketing-execution.js calculateMarketingAttributionWeights(), getMarketingAttributionReport()","tenant.crm_campaigns.budget/actual_cost/expected_revenue, crm_marketing_touchpoints",,,,,,NONE,,
CRM-052,52,module,CRM,Campaigns and automation,52,Lead-scoring rules,Campaigns and automation,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/lead-intelligence/page.tsx,crm/lead-intelligence.js evaluateLeadScoreRule(),tenant.crm_scoring_rules,,,,,,NONE,,Same evidence as item 19; rules are independently CRUD-manageable.
CRM-053,53,module,CRM,Campaigns and automation,53,Workflow automation,Campaigns and automation,PARTIAL,LIMITED,P2,apps/web/src/app/(app)/crm/settings/page.tsx (automation),crm.js runCrmAutomation(),"tenant.crm_automation_rules, crm_automation_runs",automation.view,,"Real conditions/actions engine, but only 4/7 event types are wired to a call site (Prompt 13), and there is no visual/no-code workflow builder.",Only a subset of event types actually fire; no no-code builder UI exists,,CROSS_MODULE_GAP,25,Matches Prompt 13's established finding exactly.
CRM-054,54,module,CRM,Campaigns and automation,54,Trigger-based notifications,Campaigns and automation,PARTIAL,LIMITED,P2,,crm.js runCrmAutomation() action.type==='notification' inserting into public.notifications,public.notifications,,,In-app notifications only (no email/push); and only fire for the automation event types that are actually wired.,"No email/push channel for automation-triggered notifications, only in-app",,CROSS_MODULE_GAP,25,Real and functional for the wired subset of triggers.
CRM-055,55,module,CRM,Campaigns and automation,55,Customer journey tracking,Campaigns and automation,COMPLETE,READY,P2,apps/web/src/app/(app)/crm/marketing/page.tsx,"crm/marketing-execution.js recordMarketingTouchpoint(), advanceMarketingJourney()","tenant.crm_marketing_touchpoints, crm_marketing_journey_enrollments",,,,,,NONE,,
CRM-056,56,module,CRM,CRM analytics,56,Lead conversion dashboard,CRM analytics,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/reports/page.tsx,crm.js getCrmReport('conversion'),"tenant.crm_leads, crm_conversion_records",crm.reports.view,,,,,NONE,,
CRM-057,57,module,CRM,CRM analytics,57,Sales pipeline dashboard,CRM analytics,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/reports/page.tsx,"crm.js getCrmReport('pipeline'), getCrmDashboard()","tenant.crm_opportunities, crm_pipeline_stages",crm.reports.view,,,,,NONE,,
CRM-058,58,module,CRM,CRM analytics,58,Lead-source performance,CRM analytics,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/reports/page.tsx,crm.js getCrmReport('sources'),"tenant.crm_leads, crm_lead_sources",crm.reports.view,,,,,NONE,,
CRM-059,59,module,CRM,CRM analytics,59,Salesperson performance,CRM analytics,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/reports/page.tsx,crm.js getCrmReport('forecast'/'revenue-operations'),"tenant.crm_opportunities, crm_quota_plans",crm.reports.view,,,,,NONE,,Groups by owner_user_id with pipeline/weighted/won and quota attainment.
CRM-060,60,module,CRM,CRM analytics,60,Win/loss reporting,CRM analytics,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/opportunity-revenue/page.tsx,crm/opportunity-revenue-intelligence.js summarizeWinLoss(),tenant.crm_opportunities,,,,,,NONE,,
CRM-061,61,module,CRM,CRM analytics,61,Customer acquisition cost,CRM analytics,MISSING,NOT_READY,P3,,,,,,,No CAC metric is computed anywhere,,MISSING_SERVICE,25,No customer-acquisition-cost calculation exists anywhere in crm.js or crm/*.js; campaign actual_cost is tracked but never divided by acquired customers.
CRM-062,62,module,CRM,CRM analytics,62,Customer lifetime value,CRM analytics,MISSING,NOT_READY,P3,,,,,,,No CLV metric is computed anywhere,,MISSING_SERVICE,25,No customer-lifetime-value calculation exists anywhere; crm_account_plans tracks annual_revenue/potential_revenue but never aggregates historical realized revenue into a CLV figure.
CRM-063,63,module,CRM,CRM analytics,63,Sales forecasting,CRM analytics,COMPLETE,READY,P1,apps/web/src/app/(app)/crm/reports/page.tsx,crm.js getCrmReport('forecast'/'revenue-operations'),tenant.crm_forecast_submissions,crm.reports.view,,,,,NONE,,Same evidence as item 35/59.
CRM-064,64,module,CRM,CRM analytics,64,Inactive customer reporting,CRM analytics,MISSING,NOT_READY,P2,,,tenant.crm_settings.inactivity_days column exists but grepped across crm.js - never read by any query,,,inactivity_days is a dead/unused setting; no inactive-customer report or query consumes it,No report or query reads crm_settings.inactivity_days at all,,MISSING_SERVICE,25,Setting exists in schema but is provably unused.
CRM-065,65,module,CRM,CRM analytics,65,AI-generated account and opportunity summaries,CRM analytics,FOUNDATION_ONLY,NOT_READY,P3,apps/web/src/app/(app)/crm/ai-intelligence/page.tsx,crm/ai-intelligence.js buildGenerativeAssistantDraft() - template string assembly from caller-supplied 'facts' array; not an LLM call,tenant.crm_ai_predictions,,,No OpenAI/Anthropic/HuggingFace or any model SDK exists anywhere in the monorepo. buildGenerativeAssistantDraft requires the caller to already supply the facts/body.,"Not genuinely AI-generated - a template-fill function requiring pre-supplied content, no model integration exists",,ARCHITECTURE_DECISION,25,"Per program ground rules, cannot be marked COMPLETE without a genuine model/provider integration; none exists."
CRM-066,66,module,CRM,Advanced,66,AI lead scoring,Advanced,FOUNDATION_ONLY,NOT_READY,P3,apps/web/src/app/(app)/crm/lead-intelligence/page.tsx,"crm/lead-intelligence.js calculateLeadScoreBreakdown() - deterministic weighted rules, same engine as item 19",tenant.crm_scoring_rules,,,No AI/ML model or provider is used; scoring is entirely deterministic weighted-rule evaluation.,Requirement specifically claims AI scoring; only a real deterministic (non-AI) engine exists,,ARCHITECTURE_DECISION,25,A genuinely working scoring engine exists (item 19) but is not AI; per ground rules this specific 'AI ...' item cannot be COMPLETE.
CRM-067,67,module,CRM,Advanced,67,AI next-best-action recommendations,Advanced,FOUNDATION_ONLY,NOT_READY,P3,apps/web/src/app/(app)/crm/ai-intelligence/page.tsx,crm/ai-intelligence.js rankNextBestActions() - deterministic weighted scoring of caller-supplied actions/signals,tenant.crm_ai_predictions,,,No model/provider integration; purely rule-based ranking.,Not genuinely AI; deterministic heuristic only,,ARCHITECTURE_DECISION,25,
CRM-068,68,module,CRM,Advanced,68,Churn prediction,Advanced,COMPLETE,READY,P2,apps/web/src/app/(app)/crm/customer-success/page.tsx,crm/customer-success.js recalculateCustomerHealth() auto-creates a churn intervention when health-score signals cross a threshold; createChurnIntervention()/resolveChurnIntervention(),tenant.crm_churn_interventions,,,,,,NONE,,Deterministic but genuinely automatic early-warning system; requirement text does not claim AI so this is a legitimate COMPLETE.
CRM-069,69,module,CRM,Advanced,69,Sentiment analysis,Advanced,FOUNDATION_ONLY,BLOCKED,P3,apps/web/src/app/(app)/crm/conversation-intelligence/page.tsx,"crm/conversation-intelligence.js stores insight_type='sentiment' rows, but the sentiment value must be supplied by the API caller (input.signals) - never computed from raw transcript text itself",tenant.crm_conversation_insights (insight_type includes 'sentiment'),,,No NLP/sentiment-analysis provider or SDK exists anywhere in the monorepo; storage/review pipeline is real but nothing in-repo actually analyzes text for sentiment.,No genuine sentiment-computation logic exists in the codebase; requires an external NLP provider not wired,,MISSING_PROVIDER,25,"Same root cause as CRM-010/042: real data model, no wired analysis provider."
