feature_id,module,feature_name,capability_id,web_source_files,api_source_files,sample_web_file,e2e_mentions,unit_mentions,register_claims,status,notes
F011,CRM,Probability and expected revenue,CRM-CAP-003,1,1,apps/web/src/app/api/crm/opportunities/[id]/probability/route.ts,,services/api/tests/crm-forecast-calibration-integrity.test.mjs;services/api/tests/crm-probability-expected-revenue-f011.test.mjs;services/api/tests/crm-probability-history-provenance-integrity.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F012,CRM,Sales stages,CRM-CAP-003,4,6,apps/web/src/app/api/crm/lead-assignment-policies/[id]/explain/route.ts,,services/api/tests/crm-opportunity-commercial-f009.test.mjs;services/api/tests/crm-opportunity-scope-f009.test.mjs;services/api/tests/crm-sales-stages-f012.test.mjs;services/api/tests/crm-stage-exit-blocking-integrity.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F013,CRM,Calls,CRM-CAP-004,2,0,apps/web/src/app/api/crm/calls/route.ts,,services/api/tests/crm-activity-detail-view-f013-f016.test.mjs;services/api/tests/crm-calls-f013.test.mjs;services/api/tests/crm-tasks-f015.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F014,CRM,Meetings,CRM-CAP-004,9,2,apps/web/src/app/api/crm/meetings/route.ts,,services/api/tests/crm-activity-detail-view-f013-f016.test.mjs;services/api/tests/crm-meeting-booking-token-expiry-f014.test.mjs;services/api/tests/crm-meeting-calendar-push-f014.test.mjs;services/api/tests/crm-meetings-f014.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F015,CRM,Tasks,CRM-CAP-004,5,2,apps/web/src/app/api/crm/tasks/route.ts,,services/api/tests/crm-activity-detail-view-f013-f016.test.mjs;services/api/tests/crm-automation-triggers.test.mjs;services/api/tests/crm-tasks-f015.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F016,CRM,Follow-ups and reminders,CRM-CAP-004,6,5,apps/web/src/app/api/crm/follow-ups/route.ts,,services/api/tests/crm-activity-detail-view-f013-f016.test.mjs;services/api/tests/crm-follow-ups-f016.test.mjs;services/api/tests/crm-meetings-f014.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F017,CRM,Notes and attachments,CRM-CAP-004,6,4,apps/web/src/app/api/crm/attachments/[entityType]/[entityId]/route.ts,,services/api/tests/crm-attachments-f017.test.mjs;services/api/tests/crm-notes-f017.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F018,CRM,Email history,CRM-CAP-004,0,5,,,services/api/tests/crm-communication-participants-f018.test.mjs;services/api/tests/crm-communications-sensitive-projection-integrity.test.mjs;services/api/tests/crm-email-consent-f018.test.mjs;services/api/tests/crm-email-threading-f018.test.mjs;services/api/tests/crm-leads-record-list-contract.test.mjs;services/api/tests/crm-timeline-f019.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),PARTIAL,Only backend source cites this id; no web surface found
F019,CRM,Activity timeline,CRM-CAP-004,1,2,apps/web/src/app/api/crm/leads/[id]/timeline/route.ts,,services/api/tests/crm-tasks-f015.test.mjs;services/api/tests/crm-timeline-f019.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F020,CRM,Territories and sales teams,CRM-CAP-005,6,5,apps/web/src/features/crm/settings/lost-reasons/screens/OutcomeReasonsSettingsScreen.tsx,,services/api/tests/crm-forecast-submission-owner-scope-f025.test.mjs;services/api/tests/crm-sales-org-hierarchy-f020.test.mjs;services/api/tests/crm-territories-f020.test.mjs;services/api/tests/crm-territory-coverage-gap-f020.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F021,CRM,Lead import and export,CRM-CAP-006,9,1,apps/web/src/app/api/crm/leads/export/route.ts,,services/api/tests/crm-lead-export-f021.test.mjs;services/api/tests/crm-lead-import-f021.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F022,CRM,Lead-to-opportunity conversion,CRM-CAP-007,4,2,apps/web/src/app/api/crm/leads/[id]/convert/preview/route.ts,,services/api/tests/crm-lead-conversion-duplicate-reuse-f022.test.mjs;services/api/tests/crm-lead-conversion-f022.test.mjs;services/api/tests/crm-offline-sync-mechanics.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F023,CRM,Opportunity-to-quotation conversion,CRM-CAP-007,1,1,apps/web/src/shell/navigation/module-navigation-registry.ts,,services/api/tests/crm-quotation-handoff-idempotency-f023.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F024,CRM,Pipeline dashboard,CRM-CAP-008,5,2,apps/web/src/app/api/crm/dashboard/route.ts,,services/api/tests/crm-dashboard-drilldown-reconciliation-f024.test.mjs;services/api/tests/crm-dashboard-stalled-opportunities-f024.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F025,CRM,Sales forecast,CRM-CAP-008,8,5,apps/web/src/app/api/crm/forecast/calibration/route.ts,,services/api/tests/crm-forecast-period-locked-f025.test.mjs;services/api/tests/crm-forecast-review-guards-f025.test.mjs;services/api/tests/crm-forecast-submission-owner-scope-f025.test.mjs;services/api/tests/crm-sales-org-hierarchy-f020.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F026,CRM,Won / lost reasons,CRM-CAP-003,3,3,apps/web/src/app/api/crm/opportunities/[id]/stage/route.ts,,services/api/tests/crm-config-concurrency-integrity.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F027,CRM,Basic lead scoring,CRM-CAP-002,8,9,apps/web/src/app/api/crm/lead-scoring-models/route.ts,,services/api/tests/crm-core.test.mjs;services/api/tests/crm-lead-qualification-f006.test.mjs;services/api/tests/crm-lead-scoring-f027.test.mjs;services/api/tests/crm-leads-record-list-contract.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F028,CRM,Custom fields and tags,CRM-CAP-006,7,5,apps/web/src/app/api/crm/custom-fields/definitions/[entityType]/route.ts,,services/api/tests/crm-custom-field-runtime-f028.test.mjs;services/api/tests/crm-custom-fields-f028.test.mjs;services/api/tests/crm-tag-assignment-f028.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F029,CRM,Bulk actions,CRM-CAP-006,5,2,apps/web/src/app/api/crm/leads/bulk/route.ts,,services/api/tests/crm-lead-bulk-cancellation-f029.test.mjs;services/api/tests/crm-opportunity-bulk-async-f029.test.mjs;services/api/tests/crm-opportunity-bulk-cancellation-f029.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F030,CRM,CRM reports,CRM-CAP-008,4,1,apps/web/src/app/api/crm/reports/[report]/export/route.ts,,services/api/tests/crm-report-drilldown-f030.test.mjs,IMPLEMENTED/PRODUCTION_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F031,Sales,Customer master,SALES-CAP-001,3,0,apps/web/src/features/sales/master/screens/SalesCustomerDetailScreen.tsx,apps/web/e2e/sales-customers.spec.ts,services/api/tests/sales-options-company-scope-f031.test.mjs;services/api/tests/sales-pagination-f031-f036.test.mjs;tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F032,Sales,Customer addresses and contacts,SALES-CAP-001,1,0,apps/web/src/features/sales/master/screens/SalesCustomerDetailScreen.tsx,apps/web/e2e/sales-customers.spec.ts,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F033,Sales,Products and services,SALES-CAP-001,1,0,apps/web/src/features/sales/master/screens/SalesProductsScreen.tsx,apps/web/e2e/sales-customers.spec.ts,,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F034,Sales,Price lists,SALES-CAP-001,0,0,,,services/api/tests/sales-pass1-price-invalidate-f034.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F035,Sales,Customer-specific prices,SALES-CAP-001,0,0,,,services/api/tests/sales-customer-price-reason-f035.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F036,Sales,Quotations,SALES-CAP-002,4,0,apps/web/src/features/sales/quotations/screens/PublicQuoteScreen.tsx,,services/api/tests/sales-pagination-f031-f036.test.mjs;tests/integration/sales-quotation-lifecycle-f036-f041.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F037,Sales,Quotation versions and revisions,SALES-CAP-002,1,0,apps/web/src/features/sales/quotations/screens/SalesQuotationFormScreen.tsx,,tests/integration/sales-quotation-lifecycle-f036-f041.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F038,Sales,Quotation expiry,SALES-CAP-002,0,1,,,services/api/tests/sales-quotation-expiry-f038.test.mjs;tests/integration/sales-quotation-lifecycle-f036-f041.test.mjs,NOT_STARTED/NOT_READY (reference only),PARTIAL,Only backend source cites this id; no web surface found
F039,Sales,Discounts,SALES-CAP-002,1,0,apps/web/src/features/sales/quotations/screens/SalesQuotationFormScreen.tsx,,services/api/tests/sales-header-discount-f039.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F040,Sales,Taxes,SALES-CAP-002,2,0,apps/web/src/features/sales/quotations/screens/SalesQuotationFormScreen.tsx,,services/api/tests/sales-drop-tax-group-schema-f040.test.mjs;tests/integration/sales-quotation-lifecycle-f036-f041.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F041,Sales,Approval workflow,SALES-CAP-002,3,1,apps/web/src/features/sales/quotations/screens/SalesQuotationDetailScreen.tsx,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs;tests/integration/sales-quotation-lifecycle-f036-f041.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F042,Sales,Sales orders,SALES-CAP-003,3,1,apps/web/src/features/sales/orders/screens/SalesOrderDetailScreen.tsx,,services/api/tests/sales-crm-opportunity-sync-f042.test.mjs;services/api/tests/sales-pagination-f031-f036.test.mjs;tests/integration/sales-order-lifecycle-f042-f048.test.mjs;tests/integration/sales-quotation-lifecycle-f036-f041.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F043,Sales,Order confirmation,SALES-CAP-003,2,0,apps/web/src/features/sales/orders/screens/SalesOrdersScreen.tsx,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F044,Sales,Order amendments,SALES-CAP-003,0,0,,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F045,Sales,Availability check,SALES-CAP-004,1,0,apps/web/src/features/sales/orders/screens/LineStockDialog.tsx,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F046,Sales,Stock reservation,SALES-CAP-004,2,2,apps/web/src/features/sales/orders/screens/LineStockDialog.tsx,,services/api/tests/sales-stock-release-on-cancel-f046.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F047,Sales,Partial fulfilment,SALES-CAP-004,1,1,apps/web/src/shell/navigation/module-navigation-registry.ts,,services/api/tests/sales-fulfillment-stock-movement-f047.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F048,Sales,Backorders,SALES-CAP-004,1,1,apps/web/src/features/sales/orders/screens/SalesOrderFormScreen.tsx,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F049,Sales,Delivery and shipment,SALES-CAP-004,0,0,,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F050,Sales,Sales invoices,SALES-CAP-005,1,0,apps/web/src/features/sales/orders/screens/SalesOrderDetailScreen.tsx,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F051,Sales,Partial invoicing,SALES-CAP-005,0,0,,,,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F052,Sales,Advance payments,SALES-CAP-005,1,0,apps/web/src/shell/navigation/module-navigation-registry.ts,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F053,Sales,Credit limits,SALES-CAP-005,1,0,apps/web/src/shell/navigation/module-navigation-registry.ts,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F054,Sales,Customer returns,SALES-CAP-005,1,0,apps/web/src/shell/navigation/module-navigation-registry.ts,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F055,Sales,Credit notes and refunds,SALES-CAP-005,2,0,apps/web/src/features/sales/price-lists/screens/SalesPriceListsScreen.tsx,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F056,Sales,Drop shipping,SALES-CAP-006,0,0,,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F057,Sales,Sales commissions,SALES-CAP-006,0,1,,,services/api/tests/sales-commission-auto-accrual-f057.test.mjs;tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),PARTIAL,Only backend source cites this id; no web surface found
F058,Sales,Payment terms,SALES-CAP-005,2,0,apps/web/src/features/sales/price-lists/screens/SalesPriceListsScreen.tsx,,,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F059,Sales,Order status tracking,SALES-CAP-007,1,0,apps/web/src/shell/navigation/module-navigation-registry.ts,,services/api/tests/sales-order-close-f059.test.mjs;tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F060,Sales,Sales analytics,SALES-CAP-007,0,0,,,,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F061,Sales,Margin and profitability,SALES-CAP-007,0,0,,,,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F062,Sales,Order-to-cash reporting,SALES-CAP-007,1,0,apps/web/src/shell/navigation/module-navigation-registry.ts,,tests/integration/sales-order-lifecycle-f042-f048.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F063,Procurement,Supplier master,PROC-CAP-001,2,0,apps/web/src/features/procurement/screens/SupplierDetailScreen.tsx,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F064,Procurement,Supplier contacts and addresses,PROC-CAP-001,0,0,,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F065,Procurement,Supplier onboarding,PROC-CAP-001,0,0,,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F066,Procurement,Supplier categories,PROC-CAP-001,2,0,apps/web/src/features/procurement/screens/SupplierDetailScreen.tsx,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F067,Procurement,Purchase requisitions,PROC-CAP-002,1,0,apps/web/src/shell/navigation/module-navigation-registry.ts,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F068,Procurement,Requisition approvals,PROC-CAP-002,0,0,,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F069,Procurement,RFQ creation,PROC-CAP-003,1,0,apps/web/src/features/procurement/screens/RfqDetailScreen.tsx,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F070,Procurement,RFQ to multiple vendors,PROC-CAP-003,0,0,,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F071,Procurement,Supplier quotations,PROC-CAP-003,0,0,,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F072,Procurement,Bid comparison,PROC-CAP-003,1,0,apps/web/src/shell/navigation/module-navigation-registry.ts,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F073,Procurement,Supplier selection,PROC-CAP-003,2,0,apps/web/src/features/procurement/screens/RfqDetailScreen.tsx,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F074,Procurement,Purchase orders,PROC-CAP-004,1,0,apps/web/src/features/procurement/screens/OrderDetailScreen.tsx,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F075,Procurement,PO approvals,PROC-CAP-004,0,0,,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),NOT_STARTED,No source cites this feature id (it may still be built without citing it); needs review
F076,Procurement,PO amendments,PROC-CAP-004,1,0,apps/web/src/features/procurement/screens/OrderDetailScreen.tsx,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F077,Procurement,Blanket purchase orders,PROC-CAP-004,1,1,apps/web/src/features/procurement/screens/AgreementDetailScreen.tsx,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F078,Procurement,Purchase agreements and contracts,PROC-CAP-004,2,1,apps/web/src/features/procurement/screens/AgreementDetailScreen.tsx,,tests/integration/procurement-source-to-pay.test.mjs,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
F079,Procurement,Supplier price lists,PROC-CAP-004,1,0,apps/web/src/shell/navigation/module-navigation-registry.ts,,,NOT_STARTED/NOT_READY (reference only),IMPLEMENTED_UNVERIFIED,Web source cites this feature id; behaviour not yet verified by an acceptance run
